Timeline,en_dialogue,telugu_dialogue
"00:28:29,458 --> 00:28:30,750","Where are we, Tanner?","మేము ఎక్కడ ఉన్నాము, టాన్నర్?"
"00:28:30,876 --> 00:28:32,168",New digs.,కొత్త డిగ్స్.
"00:28:40,052 --> 00:28:43,221","The old building was declared ""strategically vulnerable"".","పాత భవనం ప్రకటించబడింది ""వ్యూహాత్మకంగా హాని""."
"00:28:43,555 --> 00:28:45,473",That's putting it mildly.,అది తేలికగా ఉంచుతుంది.
"00:28:45,641 --> 00:28:48,976",He was able to breach the most secure computer system in Britain.,అతను చేయగలిగాడు అత్యంత సురక్షితమైన ఉల్లంఘన బ్రిటన్లో కంప్యూటర్ సిస్టమ్.
"00:28:49,061 --> 00:28:50,853",So we're on war footing now.,కాబట్టి మేము ఇప్పుడు యుద్ధంలో ఉన్నాము.
"00:28:51,688 --> 00:28:53,856",This was part of Churchill's bunker.,ఇది భాగం చర్చిల్స్ బంకర్.
"00:28:54,316 --> 00:28:55,566",We're still discovering tunnels,మేము ఇంకా సొరంగాలను కనుగొనడం
"00:28:55,692 --> 00:28:56,984",dating back to the 1 8th Century.,నాటిది 1 8 వ శతాబ్దం.
"00:28:57,152 --> 00:28:59,487","Quite fascinating, if it wasn't for the rats.","చాలా మనోహరమైన, అది ఎలుకల కోసం కాకపోతే."
"00:28:59,696 --> 00:29:01,155",When do I see M?,నేను ఎప్పుడు M ని చూడగలను?
"00:29:01,240 --> 00:29:04,700","Tomorrow you'll see M and Mallory, too, if you're lucky.","రేపు మీరు చూస్తారు M మరియు మల్లోరీ కూడా, మీరు అదృష్టవంతులైతే."
"00:29:04,827 --> 00:29:05,993",Who's Mallory?,మల్లోరీ ఎవరు?
"00:29:06,161 --> 00:29:08,830",The new Chairman of the Intelligence and Security Committee.,కొత్త ఛైర్మన్ తెలివితేటలు మరియు భద్రతా కమిటీ.
"00:29:08,914 --> 00:29:09,997",Charming man. I think you and he,మనోహరమైన మనిషి. నేను మీరు మరియు అతను అనుకుంటున్నాను
"00:29:10,082 --> 00:29:11,499",are really going to hit it off.,నిజంగా ఉన్నాయి దాన్ని కొట్టడానికి వెళుతున్నాను.
"00:29:13,752 --> 00:29:15,753",Welcome to the new Ml6.,కొత్త ML6 కు స్వాగతం.
"00:29:32,229 --> 00:29:34,897","We've attempted to trace the computer message, but","మేము కనుగొనటానికి ప్రయత్నించాము కంప్యూటర్ సందేశం, కానీ"
"00:29:35,065 --> 00:29:38,025","it was sent by an asymmetrical security algorithm,","ఇది అసమానంగా పంపబడింది భద్రతా అల్గోరిథం,"
"00:29:38,193 --> 00:29:39,694",which bounced the signal all over the globe,ఇది సిగ్నల్‌ను బౌన్స్ చేసింది ప్రపంచవ్యాప్తంగా
"00:29:39,778 --> 00:29:41,779",through over a thousand different servers.,ఓవర్ ద్వారా వెయ్యి వేర్వేరు సర్వర్లు.
"00:29:41,864 --> 00:29:43,573","And now that they've accessed M's codes,","ఇప్పుడు వారు ఉన్నారు M యొక్క సంకేతాలు యాక్సెస్,"
"00:29:43,699 --> 00:29:46,367",it's only a matter of time before they're able to decrypt the list.,ఇది సమయం మాత్రమే వారు చేయగలిగే ముందు జాబితాను డీక్రిప్ట్ చేయడానికి.
"00:29:46,452 --> 00:29:48,953",Q-Branch have been analyzing the picture but so far nothing.,Q-బ్రాంచ్ ఉంది చిత్రాన్ని విశ్లేషించడం కానీ ఇప్పటివరకు ఏమీ లేదు.
"00:29:49,621 --> 00:29:52,373",The general feeling is it's probably someone from her past.,సాధారణ భావన ఇది బహుశా ఎవరో ఆమె గతం నుండి.
"00:29:52,458 --> 00:29:55,042",Perhaps when she was running things in Hong Kong.,బహుశా ఆమె ఉన్నప్పుడు విషయాలు నడుపుతున్నాయి హాంకాంగ్‌లో.
"00:29:55,127 --> 00:29:56,544",She's no idea what it all means.,ఆమెకు తెలియదు ఇవన్నీ అర్థం.
"00:29:56,670 --> 00:29:57,795",You believe that?,మీరు నమ్ముతున్నారా?
"00:29:57,963 --> 00:29:59,964","The truth is, we don't have a clue who took the list","నిజం, మాకు క్లూ లేదు ఎవరు జాబితాను తీసుకున్నారు"
"00:06:42,778 --> 00:06:44,403",(GRUNTING),(గుసగుసలాడుట)
"00:30:01,258 --> 00:30:03,384",or what they plan to do with it.,లేదా వారు ఏమి దానితో చేయటానికి ప్లాన్ చేయండి.
"00:30:10,225 --> 00:30:11,517",We can always do this later.,మేము దీన్ని ఎల్లప్పుడూ తరువాత చేయవచ్చు.
"00:30:12,394 --> 00:30:15,438",You know what? Let's.,మీకు ఏమి తెలుసు? లెట్స్.
"00:31:22,381 --> 00:31:25,466",I'd like to start with some simple word associations.,నేను ప్రారంభించాలనుకుంటున్నాను కొన్ని సాధారణంతో పద సంఘాలు.
"00:31:25,551 --> 00:31:27,969",Just tell me the first word that pops into your head.,మొదటి పదం నాకు చెప్పండి అది మీ తలపైకి వస్తుంది.
"00:31:28,136 --> 00:31:30,513","For example, I might say ""Day"" and you might say. . .","ఉదాహరణకు, నేను ""రోజు"" అని చెప్పవచ్చు మరియు మీరు అనవచ్చు. . ."
"00:31:30,639 --> 00:31:31,639",Wasted.,వృధా.
"00:31:35,894 --> 00:31:37,228",All right.,అంతా సరే.
"00:31:41,608 --> 00:31:42,942",Gun.,తుపాకీ.
"00:31:44,069 --> 00:31:46,028",Shot. Agent.,షాట్. ఏజెంట్.
"00:31:46,154 --> 00:31:47,530",Provocateur.,రెచ్చగొట్టేవాడు.
"00:31:47,656 --> 00:31:48,614",Woman.,స్త్రీ.
"00:31:48,740 --> 00:31:49,657",Provocatrix.,ప్రోవోకాట్రిక్స్.
"00:31:49,908 --> 00:31:50,866",Heart.,గుండె.
"00:31:50,993 --> 00:31:51,993",Target.,లక్ష్యం.
"00:31:52,995 --> 00:31:54,203",Bird.,పక్షి.
"00:31:54,329 --> 00:31:55,538",Sky.,ఆకాశం.
"00:31:55,706 --> 00:31:56,747",M.,M.
"00:31:56,873 --> 00:31:57,915",Bitch.,బిచ్.
"00:32:00,335 --> 00:32:01,419",MAN: Sunlight.,మనిషి: సూర్యకాంతి.
"00:32:01,545 --> 00:32:02,670",Swim.,ఈత.
"00:32:02,754 --> 00:32:04,505",Moonlight. Dance.,మూన్లైట్. డాన్స్.
"00:32:04,673 --> 00:32:05,840",Murder.,హత్య.
"00:32:06,049 --> 00:32:07,258",Employment.,ఉపాధి.
"00:32:07,676 --> 00:32:09,552",Country. England.,దేశం. ఇంగ్లాండ్.
"00:32:09,678 --> 00:32:17,935",Skyfall.,స్కైఫాల్.
"00:32:21,356 --> 00:32:22,607",Done.,పూర్తయింది.
"00:32:28,905 --> 00:32:30,865","Well, this is going well.","బాగా, ఇది బాగా జరుగుతోంది."
"00:33:18,747 --> 00:33:20,498",Get these analyzed.,వీటిని విశ్లేషించండి.
"00:33:21,416 --> 00:33:23,084",For her eyes only.,ఆమె కళ్ళకు మాత్రమే.
"00:33:51,446 --> 00:33:53,114",She's ready for you.,ఆమె మీ కోసం సిద్ధంగా ఉంది.
"00:33:53,490 --> 00:33:55,700","I'm sorry, have we met before?","నన్ను క్షమించండి, మేము ఇంతకు ముందు కలుసుకున్నామా?"
"00:33:56,493 --> 00:33:58,619","I'm the one who should say ""sorry"".","నేను ఎవరు ""క్షమించండి"" అని చెప్పాలి."
"00:34:00,872 --> 00:34:02,707",lt was only four ribs.,LT నాలుగు పక్కటెముకలు మాత్రమే.
"00:34:02,999 --> 00:34:05,209",Some of the less vital organs.,కొన్ని తక్కువ ముఖ్యమైన అవయవాలు.
"00:34:06,962 --> 00:34:08,421",Nothing major.,పెద్దగా ఏమీ లేదు.
"00:34:13,802 --> 00:34:15,386",Not enough excitement in Istanbul?,సరిపోదు ఇస్తాంబుల్‌లో ఉత్సాహం?
"00:34:15,554 --> 00:34:17,138",I've been reassigned.,నేను తిరిగి కేటాయించాను.
"00:34:17,222 --> 00:34:19,306",Temporary suspension from field work.,తాత్కాలిక సస్పెన్షన్ ఫీల్డ్ వర్క్ నుండి.
"00:34:19,474 --> 00:34:20,891",Really? Mmm.,నిజంగా? Mmm.
"00:34:20,976 --> 00:34:22,643",Something to do with killing 007.,చేయవలసిన పని చంపడం 007 తో.
"00:34:23,019 --> 00:34:24,770","Well, you gave it your best shot.","బాగా, మీరు ఇచ్చారు మీ ఉత్తమ షాట్."
"00:34:24,896 --> 00:34:26,647",That was hardly my best shot.,అది నా ఉత్తమ షాట్ కాదు.
"00:34:27,065 --> 00:34:29,066",I'm not sure I could survive your best.,నాకు ఖచ్చితంగా తెలియదు మీ వంతు తట్టుకోగలదు.
"00:34:29,234 --> 00:34:30,985",I doubt you'll get the chance.,మీకు అవకాశం లభిస్తుందని నా అనుమానం.
"00:34:31,403 --> 00:34:34,405","Well, do me a favor, will you? If they do ever let you back out there,","బాగా, నాకు సహాయం చేయండి, మీరు చేస్తారా? వారు ఎప్పుడైనా అనుమతిస్తే మీరు అక్కడకు తిరిగి వచ్చారు,"
"00:34:35,991 --> 00:34:37,158",warn me first.,మొదట నన్ను హెచ్చరించండి.
"00:34:37,826 --> 00:34:40,494","I'm assisting Gareth Mallory in the transition,","నేను గారెత్ మల్లోరీకి సహాయం చేస్తున్నాను పరివర్తనలో,"
"00:34:40,662 --> 00:34:42,496",and then I'll be back in the field.,ఆపై నేను ఉంటాను తిరిగి ఫీల్డ్‌లో.
