en_dialogue,Timeline,telugu_dialogue
you seemed to meet with a wide range,"00:13:03,751 --> 00:13:05,320",మీరు కలిసినట్లు అనిపించింది విస్తృత పరిధితో
of other countries' physicists.,"00:13:05,353 --> 00:13:06,788",ఇతర దేశాల భౌతిక శాస్త్రవేత్తలు.
"Yes, that's right.","00:13:06,822 --> 00:13:07,823",అవును అది ఒప్పు.
Any Russians?,"00:13:07,856 --> 00:13:10,124",ఎవరైనా రష్యన్లు?
None that spring to mind.,"00:13:11,192 --> 00:13:12,627",గుర్తుకు వచ్చేది ఏదీ లేదు.
If you'll just allow me to continue with my statement...,"00:13:12,660 --> 00:13:15,563",మీరు నన్ను అనుమతించినట్లయితే నా ప్రకటనతో కొనసాగండి...
"Mr. Robb, you'll have ample opportunity to cross-examine.","00:13:15,597 --> 00:13:18,566","మిస్టర్ రాబ్, మీకు పుష్కలంగా ఉంటుంది క్రాస్ ఎగ్జామిన్ అవకాశం."
"ROBERT: After Göttingen, I moved on to Leiden in Holland","00:13:20,803 --> 00:13:23,738","రాబర్ట్: గోట్టింగెన్ తర్వాత, I హాలండ్‌లోని లైడెన్‌కు వెళ్లారు"
<i>where I first met Isidor Rabi.</i>,,
(clears throat) Excuse me.,"00:13:26,842 --> 00:13:29,344",(గొంతు క్లియర్) నన్ను క్షమించండి.
(grunts),"00:13:29,377 --> 00:13:30,478",(గుర్రున)
(sighs),"00:13:32,380 --> 00:13:33,247",(నిట్టూర్పులు)
"A Yank, lecturing on the new physics?","00:13:33,281 --> 00:13:35,617","ఒక యాంక్, ఉపన్యాసాలు ఇస్తున్నాడు కొత్త భౌతికశాస్త్రంపైనా?"
This I have to hear.,"00:13:35,650 --> 00:13:36,718",ఇది నేను వినాలి.
I'm an American myself.,"00:13:36,751 --> 00:13:38,786",నేను స్వయంగా అమెరికన్‌ని.
How surprising.,"00:13:38,821 --> 00:13:40,321",ఎంత ఆశ్చర్యం.
Um...,"00:13:40,355 --> 00:13:41,422",అమ్మో...
Let me know if you need any help with the English.,"00:13:41,456 --> 00:13:43,725",మీకు అవసరమైతే నాకు తెలియజేయండి ఇంగ్లీష్ తో ఏదైనా సహాయం.
(scattered laughter),"00:13:45,259 --> 00:13:48,162",(చెదురుగా నవ్వు)
(speaking Dutch),"00:13:50,732 --> 00:13:53,401",(డచ్ మాట్లాడటం)
"Wait, what's he saying?","00:13:57,705 --> 00:13:59,674","వేచి ఉండండి, అతను ఏమి చెబుతున్నాడు?"
(door opens),"00:14:02,777 --> 00:14:05,279",(తలుపు తెరుచుకుంటుంది)
(Rabi grunts),"00:14:07,850 --> 00:14:09,283",(రబీ గుసగుసలాడుతోంది)
"No, thank you.","00:14:10,218 --> 00:14:11,252",అక్కర్లేదు.
It's a long way to Zurich.,"00:14:11,285 --> 00:14:13,254",ఇది జ్యూరిచ్‌కి చాలా దూరం.
"You get any skinnier, we're gonna lose you","00:14:13,287 --> 00:14:14,927","మీరు ఏదైనా సన్నగా ఉంటారు, మేము నిన్ను కోల్పోతాము"
between the seat cushions.,"00:14:14,957 --> 00:14:16,791",సీటు కుషన్ల మధ్య.
I'm Rabi.,"00:14:16,825 --> 00:14:17,860",నేను రబీని.
Oppenheimer.,"00:14:17,893 --> 00:14:19,260",ఓపెన్‌హైమర్.
I caught your lecture on molecules.,"00:14:19,293 --> 00:14:21,329",నేను నిన్ను పట్టుకున్నాను అణువులపై ఉపన్యాసం.
Caught some of it.,"00:14:21,362 --> 00:14:22,497",అందులో కొంత పట్టుకున్నారు.
We're a couple of New York Jews. How do you know Dutch?,"00:14:23,631 --> 00:14:25,800",మేము న్యూయార్క్‌కు చెందిన జంట యూదులు. మీకు డచ్ ఎలా తెలుసు?
"Well, I thought I'd better learn it","00:14:25,834 --> 00:14:27,402","బాగా, నేను అనుకున్నాను నేను దానిని నేర్చుకుంటే మంచిది"
when I got here this semester.,"00:14:27,435 --> 00:14:28,612",నేను ఈ సెమిస్టర్‌కి వచ్చినప్పుడు.
You learned enough Dutch in six weeks,"00:14:28,636 --> 00:14:30,238",మీరు తగినంత నేర్చుకున్నారు ఆరు వారాల్లో డచ్
to give a lecture on quantum mechanics?,"00:14:30,271 --> 00:14:31,974",ఒక ఉపన్యాసం ఇవ్వడానికి క్వాంటం మెకానిక్స్?
Wanted to challenge myself.,"00:14:32,007 --> 00:14:33,508",నన్ను నేను సవాలు చేసుకోవాలనుకున్నాను.
Quantum physics wasn't challenging enough.,"00:14:33,541 --> 00:14:35,911",క్వాంటం ఫిజిక్స్ కాదు తగినంత సవాలు.
<i>- Schvitzer. - Schvitzer?</i>,,
- Show-off. - (chuckles),"00:14:37,712 --> 00:14:39,614",- షో-ఆఫ్. - (నవ్వులు)
"Dutch in six weeks, but you never learned Yiddish?","00:14:39,647 --> 00:14:41,492","ఆరు వారాల్లో డచ్, కానీ మీరు యిడ్డిష్ నేర్చుకోలేదా?"
They don't speak it so much my side of the park.,"00:14:41,516 --> 00:14:43,584",వాళ్ళు అలా మాట్లాడరు పార్క్ యొక్క నా వైపు చాలా.
Screw you.,"00:14:43,618 --> 00:14:44,686",మీరు స్క్రూ.
You homesick?,"00:14:45,787 --> 00:14:47,288",మీరు ఇంటిలో ఉన్నారా?
"Oh, you know it.","00:14:47,321 --> 00:14:48,723","ఓ, మీకు తెలుసు."
Ever get the feeling our kind isn't entirely welcome here?,"00:14:49,691 --> 00:14:52,694",ఎప్పుడైనా మన రకమైన అనుభూతిని పొందండి ఇక్కడ పూర్తిగా స్వాగతం లేదా?
Physicists?,"00:14:52,727 --> 00:14:53,795",భౌతిక శాస్త్రవేత్తలు?
'S funny.,"00:14:53,829 --> 00:14:55,329",ఫన్నీ.
Not in the department.,"00:14:55,363 --> 00:14:57,432",డిపార్ట్‌మెంట్‌లో కాదు.
They're all Jewish too.,"00:14:57,465 --> 00:14:58,766",వారంతా కూడా యూదులే.
Eat.,"00:15:00,869 --> 00:15:02,270",తినండి.
There's a German you have to seek out.,"00:15:04,572 --> 00:15:06,708",మీరు ఒక జర్మన్ ఉన్నారు వెతకాలి.
- Heisenberg. - Right.,"00:15:07,742 --> 00:15:10,278",- హైసెన్‌బర్గ్. - కుడి.
(Heisenberg speaking German),"00:15:12,346 --> 00:15:14,682",(హైసెన్‌బర్గ్ జర్మన్ మాట్లాడుతున్నారు)
One might be led to the presumption,"00:15:19,454 --> 00:15:20,956",ఒకరు నడిపించబడవచ్చు ఊహకు
"that behind the quantum world,","00:15:20,989 --> 00:15:23,458","క్వాంటం ప్రపంచం వెనుక,"
"there still hides a real world in which causality holds,","00:15:23,491 --> 00:15:27,361","ఇప్పటికీ ఒక వాస్తవ ప్రపంచాన్ని దాచిపెట్టాడు దీనిలో కారణవాదం ఉంటుంది,"
"but such speculation seem to us,","00:15:27,395 --> 00:15:29,597","కానీ అలాంటి ఊహాగానాలు మనకు అనిపిస్తాయి,"
"to say it explicitly, fruitless. Thank you.","00:15:29,630 --> 00:15:32,366","స్పష్టంగా చెప్పాలంటే, ఫలించని. ధన్యవాదాలు."
Have a great day.,"00:15:32,400 --> 00:15:33,836",ఈ రోజు మీకు కుశలంగా ఉండును.
- Wonderful. - Thank you.,"00:15:39,041 --> 00:15:40,742",- అద్భుతమైన. - ధన్యవాదాలు.
"Oppenheimer, yes.","00:15:42,044 --> 00:15:43,979","ఓపెన్‌హైమర్, అవును."
I liked your paper on molecules.,"00:15:44,012 --> 00:15:45,881",అణువులపై మీ కాగితం నాకు నచ్చింది.
Probably because you inspired it.,"00:15:45,914 --> 00:15:47,415",బహుశా ఎందుకంటే మీరు దానిని ప్రేరేపించారు.
"If I inspire anything else, let me know.","00:15:47,448 --> 00:15:48,960","నేను ఏదైనా స్ఫూర్తినిస్తే లేకపోతే, నాకు తెలియజేయండి."
We could publish together.,"00:15:48,984 --> 00:15:50,024",మేము కలిసి ప్రచురించవచ్చు.
I have to get back to America.,"00:15:50,052 --> 00:15:51,887",నేను తిరిగి అమెరికా వెళ్లాలి.
Why? There's no one there,"00:15:51,920 --> 00:15:53,654",ఎందుకు? అక్కడ ఎవరూ లేరు
taking quantum mechanics seriously.,"00:15:53,688 --> 00:15:55,891",క్వాంటం తీసుకోవడం మెకానిక్స్ తీవ్రంగా.
- That's exactly why. - (sighs),"00:15:55,924 --> 00:15:57,525",- సరిగ్గా అందుకే. - (నిట్టూర్పులు)
He's pining for the canyons of Manhattan.,"00:15:57,558 --> 00:15:59,995",అతను కోసం pining వార్తలు మాన్హాటన్ యొక్క లోయలు.
ROBERT: Canyons of New Mexico.,"00:16:00,028 --> 00:16:02,463",రాబర్ట్: కాన్యోన్స్ ఆఫ్ న్యూ మెక్సికో.
- You're from New Mexico? - No.,"00:16:02,497 --> 00:16:03,640",- మీరు న్యూ మెక్సికో నుండి వచ్చారా? - లేదు.
"New York, but my brother and I have a ranch","00:16:03,664 --> 00:16:05,767","న్యూయార్క్, కానీ నా సోదరుడు మరియు నాకు గడ్డిబీడు ఉంది"
outside Santa Fe. (inhales),"00:16:05,800 --> 00:16:07,903",శాంటా ఫే వెలుపల. (పీల్చడం)
That's the America I miss right now.,"00:16:07,936 --> 00:16:10,304",అదే అమెరికా నేను ప్రస్తుతం మిస్ అవుతున్నాను.
"Then it's best you get home, cowboys.","00:16:10,338 --> 00:16:12,406","అప్పుడు మీరు ఉత్తమం ఇంటికి చేరుకోండి, కౌబాయ్లు."
- (Robert chuckles) - (chuckles) That's him.,"00:16:12,440 --> 00:16:14,052",- (రాబర్ట్ నవ్వుతాడు) - (నవ్వుతూ) అతనే.
"No, me and horses. I don't think so.","00:16:14,076 --> 00:16:17,512","లేదు, నేను మరియు గుర్రాలు. నేను అలా అనుకోవడం లేదు."
- (Rabi chuckles) - Nice to meet you.,"00:16:17,545 --> 00:16:19,680",- (రబీ నవ్వుతూ) - మిమ్ములని కలసినందుకు సంతోషం.
Did you ever encounter Heisenberg again?,"00:16:21,415 --> 00:16:23,551",మీరు ఎప్పుడైనా ఎదుర్కొన్నారా మళ్లీ హైసెన్‌బర్గ్?
