en_dialogue,Timeline,telugu_dialogue
Two hours and 40 minutes after the collision.,"00:17:49,114 --> 00:17:52,504",రెండు గంటల 40 నిమిషాలు ఘర్షణ తర్వాత.
"The bow section planes away, landing about half a mile away,...","00:17:52,594 --> 00:17:57,110","విల్లు విభాగం విమానాలు దూరంగా, అర మైలు దూరంలో దిగడం,..."
"..going 20, 30 knots when it hits the ocean floor.","00:17:57,194 --> 00:18:00,231",".. 20, 30 నాట్లు వెళ్తున్నాయి అది సముద్రపు అడుగుభాగాన్ని తాకినప్పుడు."
"Pretty cool, huh?","00:18:02,794 --> 00:18:04,546","చాలా బాగుంది, అవునా?"
"Thank you for that fine forensic analysis, Mr Bodine.","00:18:04,634 --> 00:18:09,754","ఆ జరిమానాకు ధన్యవాదాలు ఫోరెన్సిక్ విశ్లేషణ, Mr బోడిన్."
"Of course, the experience of it was... somewhat different.","00:18:09,834 --> 00:18:15,466","వాస్తవానికి, దాని అనుభవం ... కొంత భిన్నమైనది."
Will you share it with us?,"00:18:15,554 --> 00:18:17,988",మీరు దానిని మాతో పంచుకుంటారా?
- I'm taking her to rest. - No.,"00:19:10,394 --> 00:19:12,783",- నేను ఆమెను విశ్రాంతి తీసుకుంటున్నాను. - లేదు.
"- Come on, Nana. - No!","00:19:12,874 --> 00:19:14,865","- రండి, నానా. - లేదు!"
Tape recorder.,"00:19:19,274 --> 00:19:21,265",టేప్ రికార్డర్.
"Tell us, Rose.","00:19:22,594 --> 00:19:24,585","మాకు చెప్పండి, రోజ్."
It's been 84 years.,"00:19:26,674 --> 00:19:28,630",84 ఏళ్లయింది.
Try to remember anything.,"00:19:28,714 --> 00:19:30,625",ఏదైనా గుర్తుంచుకోవడానికి ప్రయత్నించండి.
Anything at all.,"00:19:30,714 --> 00:19:32,227",ఏదైనా సరే.
"Do you want to hear this or not, Mr Lovett?","00:19:32,314 --> 00:19:35,943","మీరు దీన్ని వినాలనుకుంటున్నారా లేదా, మిస్టర్ లోవెట్?"
It's been 84 years...,"00:19:39,954 --> 00:19:42,946",84 ఏళ్లు...
..and I can still smell the fresh paint.,"00:19:43,674 --> 00:19:47,269",.. మరియు నేను ఇప్పటికీ తాజా పెయింట్ వాసన చూడగలను.
The china had never been used.,"00:19:49,274 --> 00:19:51,868",చైనా ఎప్పుడూ ఉపయోగించబడలేదు.
The sheets had never been slept in.,"00:19:52,754 --> 00:19:55,222",షీట్‌లు ఎప్పుడూ పడుకోలేదు.
"Titanic was called ""The Ship of Dreams"".","00:19:56,794 --> 00:20:00,184","టైటానిక్ అని పిలిచారు ""ది షిప్ ఆఫ్ డ్రీమ్స్""."
And it was.,"00:20:02,074 --> 00:20:04,065",మరియు అది.
It really was.,"00:20:04,194 --> 00:20:06,185",ఇది నిజంగా ఉంది.
All third-class passengers...,"00:20:33,474 --> 00:20:36,193",మూడో తరగతి ప్రయాణికులందరూ...
"..with a forward berth,...","00:20:36,274 --> 00:20:38,310",".. ముందుకు బెర్త్ తో,..."
"..this way, please. This queue. Right here.","00:20:38,394 --> 00:20:41,466",".. ఈ విధంగా, దయచేసి. ఈ క్యూ. ఇక్కడే."
"Big boat, uh?","00:20:41,554 --> 00:20:42,782","పెద్ద పడవ, ఉహ్?"
"- Daddy, it's a ship. - You're right.","00:20:42,874 --> 00:20:45,104","- డాడీ, ఇది ఓడ. - నువ్వు చెప్పింది నిజమే."
(Car horn),"00:20:45,194 --> 00:20:47,185",(కారు హారన్)
Why all the fuss? It doesn't look any bigger than the Mauretania.,"00:21:14,594 --> 00:21:18,951",ఇంత గొడవ ఎందుకు? అది కనిపించడం లేదు మౌరేటానియా కంటే పెద్దది.
"You can be blasé about some things, Rose, but not about Titanic.","00:21:19,034 --> 00:21:22,868","మీరు కొన్ని విషయాలలో నిష్కపటంగా ఉండవచ్చు, రోజ్, కానీ టైటానిక్ గురించి కాదు."
It's 100 feet longer...,"00:21:22,954 --> 00:21:24,546",ఇది 100 అడుగుల పొడవు...
..and far more luxurious.,"00:21:24,634 --> 00:21:26,590",.. మరియు చాలా విలాసవంతమైన.
"Your daughter is difficult to impress, Ruth.","00:21:26,674 --> 00:21:29,586","నీ కూతురు కష్టం ఆకట్టుకోవడానికి, రూత్."
So this is the ship they say is unsinkable.,"00:21:29,674 --> 00:21:32,552",కాబట్టి ఇది ఓడ మునిగిపోలేనిది అని వారు అంటున్నారు.
God himself could not sink this ship.,"00:21:32,634 --> 00:21:35,194",దేవుడే ఈ ఓడను ముంచలేకపోయాడు.
"Sir, you have to check your baggage through the main terminal.","00:21:35,274 --> 00:21:38,869","సార్, మీరు మీ బ్యాగేజీని చెక్ చేసుకోవాలి ప్రధాన టెర్మినల్ ద్వారా."
"I put my faith in you, good sir. Now kindly see my man.","00:21:38,954 --> 00:21:42,185",మీ మీద నమ్మకం ఉంచాను సార్. ఇప్పుడు దయతో నా మనిషిని చూడు.
"Yes, sir. My pleasure, sir.","00:21:42,274 --> 00:21:44,230","అవును అండి. నా ఆనందం, సార్."
"All the trunks from that car there,...","00:21:45,554 --> 00:21:48,193","అక్కడ ఆ కారులోని ట్రంక్‌లన్నీ,..."
"..12 from here, and the safe,...","00:21:48,274 --> 00:21:51,505","..12 ఇక్కడ నుండి, మరియు సురక్షితంగా,..."
"..to the Parlour Suite, rooms B52, 54, 56.","00:21:51,594 --> 00:21:54,347","..పార్లర్ సూట్‌కి, B52, 54, 56 గదులు."
(Whistle),"00:21:54,434 --> 00:21:55,833",(విజిల్)
Ladies...,"00:21:55,914 --> 00:21:57,870",లేడీస్...
Better hurry.,"00:21:57,954 --> 00:21:59,592",తొందరపడటం మంచిది.
"- My coat? - I have it, miss.","00:22:04,354 --> 00:22:06,822","- నా కోటు? - నా దగ్గర ఉంది, మిస్."
All third-class passengers queue here for health inspection.,"00:22:08,194 --> 00:22:12,824",అందరూ మూడవ తరగతి ప్రయాణీకులే ఆరోగ్య తనిఖీ కోసం ఇక్కడ క్యూలో నిలబడండి.
Chin up.,"00:22:12,914 --> 00:22:14,233",గడ్డం.
"Welcome aboard, ma'am. Welcome to Titanic.","00:22:18,954 --> 00:22:22,708","పైకి స్వాగతం, మేడమ్. టైటానిక్‌కి స్వాగతం."
Rose: <i>It was the ship</i> <i>of dreams to everyone else.</i>,,
<i>To me it was a slave ship...</i>,,
<i>..taking me back to America in chains.</i>,,
<i>Outwardly I was everything</i> <i>a well-brought-up girl should be.</i>,,
"<i>Inside, I was screaming.</i>",,
(Steam whistle),"00:22:40,274 --> 00:22:41,992",(ఆవిరి విజిల్)
(Speaking Swedish),"00:22:52,474 --> 00:22:54,465",(స్వీడిష్ మాట్లాడుతున్నారు)
"Jack, you are pazzo. You bet everything we have.","00:22:55,754 --> 00:22:58,985","జాక్, నువ్వు పజ్జో. మా వద్ద ఉన్నదంతా మీరు పందెం వేస్తారు."
"When you got nothing, you got nothing to lose.","00:22:59,074 --> 00:23:02,191","నీకు ఏమీ లేనప్పుడు, మీరు కోల్పోవడానికి ఏమీ లేదు."
Swedish: You moron. I can't believe you bet our tickets.,"00:23:03,634 --> 00:23:08,230",స్వీడిష్: మూర్ఖుడు. మీరు మా టిక్కెట్లను పందెం వేస్తారని నేను నమ్మలేకపోతున్నాను.
Sven?,"00:23:09,034 --> 00:23:10,023",స్వెన్?
All right... moment of truth.,"00:23:30,794 --> 00:23:33,308",సరే... సత్యం యొక్క క్షణం.
Somebody's life's about to change.,"00:23:33,674 --> 00:23:36,188",ఒకరి జీవితం మారబోతోంది.
Fabrizio?,"00:23:36,274 --> 00:23:37,229",ఫ్యాబ్రిజియో?
Niente.,"00:23:39,234 --> 00:23:40,223",నీన్టే.
Olaf?,"00:23:42,794 --> 00:23:44,386",ఓలాఫ్?
Nothing.,"00:23:44,674 --> 00:23:45,743",ఏమిలేదు.
Uh-oh. Two pair.,"00:23:49,714 --> 00:23:52,308",ఓ హో. రెండు జంట.
"I'm sorry, Fabrizio.","00:23:52,514 --> 00:23:54,470","నన్ను క్షమించండి, ఫాబ్రిజియో."
"""Sorry""? You bet all the money!","00:23:54,554 --> 00:23:56,829","""క్షమించండి""? మీరు మొత్తం డబ్బు పందెం!"
I'm sorry. You're not gonna see your mom for a long time.,"00:23:56,914 --> 00:24:00,623",నన్ను క్షమించండి. మీరు చూడరు చాలా కాలంగా మీ అమ్మ.
"Cos we're going to America! Full house, boys!","00:24:00,714 --> 00:24:03,990","మనం అమెరికా వెళ్తున్నాం కాబట్టి! హౌస్ ఫుల్, అబ్బాయిలు!"
Whoa!,"00:24:04,074 --> 00:24:05,587",అయ్యో!
Yeah!,"00:24:05,674 --> 00:24:06,948",అవును!
"Dio mio, grazie!","00:24:07,034 --> 00:24:09,070","డియో మియో, గ్రేజీ!"
(Cursing in Swedish),"00:24:10,674 --> 00:24:12,983",(స్వీడిష్‌లో శపించడం)
Come on!,"00:24:16,274 --> 00:24:17,866",రా!
Figlio di puttana!,"00:24:17,954 --> 00:24:19,148",ఫిగ్లియో డి పుట్టనా!
I'm going home!,"00:24:19,234 --> 00:24:20,906",నేను ఇంటికి వెళుతున్నాను!
I go to America!,"00:24:24,914 --> 00:24:26,870",నేను అమెరికా వెళతాను!
"No, mate.","00:24:26,954 --> 00:24:28,103","లేదు, సహచరుడు."
"Titanic go to America, in five minutes.","00:24:28,194 --> 00:24:30,913",టైటానిక్ ఐదు నిమిషాల్లో అమెరికాకు వెళ్తుంది.
"Come on! Come on, here!","00:24:32,034 --> 00:24:34,389",రా! ఇక్కడకి రా!
Andiamo!,"00:24:34,474 --> 00:24:36,544",ఏండియామో!
We're riding in high style now! We're a couple of swells!,"00:24:36,634 --> 00:24:40,309",మేము ఇప్పుడు హై స్టైల్‌లో రైడ్ చేస్తున్నాము! మేము ఒక జంట ఊచలు!
"Practically goddamn royalty, ragazzo mio!","00:24:40,394 --> 00:24:43,192","ఆచరణాత్మకంగా గాడ్డామ్ రాయల్టీ, రాగాజో మియో!"
"You see, it's my destino!","00:24:43,274 --> 00:24:46,186","మీరు చూడండి, ఇది నా డెస్టినో!"
I go to America to be millionario!,"00:24:46,274 --> 00:24:48,663",నేను కోటీశ్వరుడు కావడానికి అమెరికా వెళతాను!
