Timeline,en_dialogue,bengali_dialogue
"00:21:18,445 --> 00:21:20,531","Perhaps ""awareness"" is a better word. 2 3 4 00:21:21,406 --> 00:21:26,537 It's like she's whole biosphere Pandora conscious","সম্ভবত ""সচেতনতা"" একটি ভাল শব্দ। 2 3 4 00:21:21,406 --> 00:21:26,537 যেন সে পুরোটাই বায়োস্ফিয়ার প্যান্ডোরা সচেতন"
"00:21:26,954 --> 00:21:30,207",and capable of such cognitive reaction.,এবং এই ধরনের করতে সক্ষম জ্ঞানীয় প্রতিক্রিয়া।
"00:21:32,334 --> 00:21:34,211","Shit, I can't say that.","ছিঃ, আমি এটা বলতে পারি না।"
"00:21:34,419 --> 00:21:35,929",He will crucify me.,তিনি আমাকে ক্রুশবিদ্ধ করবেন।
"00:21:36,088 --> 00:21:37,547",I must say...,আমাকে বলতেই হবে...
"00:21:37,548 --> 00:21:40,474",Who do you think pumped her up?,কে তাকে পাম্প আপ মনে করেন?
"00:21:40,509 --> 00:21:44,471",I'm pretty sure it was Norm. -100%.,আমি মোটামুটি নিশ্চিত যে এটি আদর্শ ছিল। -100%।
"00:21:44,513 --> 00:21:47,474",You two don't deserve to live. -No no. Think about that.,তোমরা দুজন বেঁচে থাকার যোগ্য নও। -না না। যে সম্পর্কে চিন্তা করুন.
"00:21:47,516 --> 00:21:50,477",He is the teacher's pet. He is always with her in the laboratory.,তিনি শিক্ষকের পোষা প্রাণী। তিনি সর্বদা পরীক্ষাগারে তার সাথে থাকেন।
"00:21:50,519 --> 00:21:54,481",I would kill myself. I would drink acid.,আমি আত্মহত্যা করতাম। আমি অ্যাসিড পান করতাম।
"00:21:54,523 --> 00:21:59,486","Bro, you are right. He is on everyone recording. Brother, look how he's looking at her.","ভাই আপনি ঠিক বলেছেন। তিনি সবার উপরে রেকর্ডিং ভাই, দেখো সে তার দিকে কেমন তাকিয়ে আছে।"
"00:22:00,529 --> 00:22:05,075","I mean, their two avatars they were in the forest alone...",মানে তাদের দুই অবতার তারা একা বনে ছিল...
"00:22:05,117 --> 00:22:07,417",Bullshit! - People.,বুলশিট! - মানুষ।
"00:22:07,452 --> 00:22:10,497",Sometimes it's not so great know who your father is.,কখনও কখনও এটা এত মহান না জান তোমার বাবা কে।
"00:22:15,502 --> 00:22:18,463",No preference. I don't even remember him.,কোন পছন্দ নেই। তার কথাও আমার মনে নেই।
"00:22:18,505 --> 00:22:20,465","No, Spider. - Mate.","না, স্পাইডার। - সাথী।"
"00:22:20,507 --> 00:22:23,510",Spiders...,মাকড়সা...
"00:22:23,545 --> 00:22:26,513",You are not him.,তুমি সে নও।
"00:22:34,479 --> 00:22:37,482",BRIDGEHEAD CITY,ব্রিজহেড সিটি
"00:23:05,511 --> 00:23:08,472",Go! Straight to the terminal.,যাও! সোজা টার্মিনালে।
"00:23:08,514 --> 00:23:11,517",Don't stop you!,আপনি থামবেন না!
"00:23:14,520 --> 00:23:16,480",Take off the masks.,মুখোশ খুলে ফেলুন।
"00:23:20,484 --> 00:23:23,487","Sir, this is the general.","স্যার, এই জেনারেল।"
"00:23:32,496 --> 00:23:34,006",General Ardmore.,জেনারেল আরডমোর।
"00:23:34,498 --> 00:23:38,460","I'm glad, Colonel. I've heard good things,","আমি খুশি, কর্নেল. ভালো কথা শুনেছি,"
"00:23:38,502 --> 00:23:41,213",but a lot has changed since your last service here.,কিন্তু অনেক পরিবর্তন হয়েছে এখানে আপনার শেষ সেবা থেকে.
"00:23:41,248 --> 00:23:42,758",Take a walk with me.,আমার সাথে একটু হাঁটুন।
"00:23:45,509 --> 00:23:49,471",The new operations center is here. It just worked.,নতুন অপারেশন সেন্টার এখানে. এটা শুধু কাজ.
"00:23:49,513 --> 00:23:53,475",These editors can build a building in 6 days.,এই সম্পাদকরা পারেন 6 দিনে একটি বিল্ডিং তৈরি করুন।
"00:23:53,517 --> 00:23:58,438",We have done more in a year than for the previous 30.,এক বছরে আমরা আরও কিছু করেছি আগের 30 এর চেয়ে।
"00:23:58,522 --> 00:24:00,691","We're not here to run a mine, Colonel.","আমরা এখানে মাইন চালাতে আসিনি, কর্নেল."
"00:24:01,191 --> 00:24:04,528",As a planetary commander I have a more important mission.,গ্রহের সেনাপতি হিসেবে আমার আরও গুরুত্বপূর্ণ মিশন আছে।
"00:24:09,491 --> 00:24:11,458",The earth is dying.,পৃথিবী মরে যাচ্ছে।
"00:24:11,493 --> 00:24:15,462",Our task is to subdue this wilderness.,আমাদের কাজ হল এই প্রান্তরকে বশ করতে।
"00:24:15,497 --> 00:24:20,502",The goal is to make Pandora a new home for humanity.,লক্ষ্য প্যান্ডোরা তৈরি করা মানবতার জন্য একটি নতুন বাড়ি।
"00:24:21,503 --> 00:24:26,508","But before we can do that, we must pacify the enemies.","কিন্তু আমরা তা করতে পারার আগে, আমাদের শত্রুদের শান্ত করতে হবে।"
"00:24:28,510 --> 00:24:32,472",Sali's attacks they become bolder and more frequent.,সালির আক্রমণ তারা সাহসী এবং আরো ঘন ঘন হয়ে ওঠে।
"00:24:32,514 --> 00:24:34,398",His attacks are well planned.,তার হামলা সুপরিকল্পিত।
"00:24:34,433 --> 00:24:37,352",It has good coordination between of its ground and air troops.,এর মধ্যে ভালো সমন্বয় রয়েছে এর স্থল ও বিমান বাহিনীর।
"00:24:37,519 --> 00:24:40,112",His troops they attack our remote places.,তার সৈন্যরা তারা আমাদের দূরবর্তী স্থানে আক্রমণ করে।
"00:24:40,147 --> 00:24:43,400","Mines, pipelines, cutting our supply chain.","খনি, পাইপলাইন, আমাদের সাপ্লাই চেইন কাটছে।"
"00:24:43,525 --> 00:24:47,487",They attacked the maglev two days ago.,দুদিন আগে তারা ম্যাগলেভ আক্রমণ করে।
"00:24:51,492 --> 00:24:56,497",Some information about Sally's operative base? -Yes. Show me the mountains.,স্যালির অপারেটিভ সম্পর্কে কিছু তথ্য ভিত্তি? -হ্যাঁ। আমাকে পাহাড় দেখাও।
"00:24:57,498 --> 00:25:00,501",It is a cave system in the Hallelujah Mountains somewhere.,এটি একটি গুহা ব্যবস্থা কোথাও হালেলুজা পাহাড়ে।
"00:25:02,503 --> 00:25:06,507","But every time we send ours troops up there, we are suffering losses.","কিন্তু প্রতিবার আমরা আমাদের পাঠাই সেখানে সৈন্যরা, আমরা ক্ষতির সম্মুখীন হচ্ছি।"
"00:25:07,508 --> 00:25:10,511",Our machines dig up the hornet's nest.,আমাদের মেশিনগুলি হর্নেটের বাসা খনন করে।
"00:25:11,512 --> 00:25:15,516",After 10 minutes in the enemy airspace they overwhelm us.,10 মিনিট পর শত্রুপক্ষে আকাশপথ তারা আমাদের অভিভূত করে।
"00:25:17,518 --> 00:25:21,438","Colonel, we believe yours will The blue team will be accepted as the home team","কর্নেল, আমরা বিশ্বাস করি আপনার ইচ্ছা নীল দলকে হোম টিম হিসেবে গ্রহণ করা হবে"
"00:25:21,480 --> 00:25:24,483",and will not cause an immune response.,এবং একটি ইমিউন প্রতিক্রিয়া সৃষ্টি করবে না।
"00:25:24,525 --> 00:25:27,486","And how can we test that hypothesis, general?","এবং আমরা কিভাবে পরীক্ষা করতে পারি যে অনুমান, সাধারণ?"
"00:25:28,487 --> 00:25:30,489",In a hard way.,কঠিন ভাবে।
"00:25:31,490 --> 00:25:33,492",Excellent.,চমৎকার।
"00:25:46,505 --> 00:25:50,509",We are entering the hostile air space. -I understand.,আমরা প্রতিকূলতায় প্রবেশ করছি বায়ু স্থান -বুঝছি।
"00:26:00,519 --> 00:26:03,480","Brother! - Come on, Monkey! - People, wait for me!","ভাই! - চল, বানর! - মানুষ, আমার জন্য অপেক্ষা করুন!"
"00:26:40,517 --> 00:26:44,438","Tuk, keep up. -OK OK.","টুক, চালিয়ে যান। -ঠিক আছে ঠিক আছে।"
"00:26:44,479 --> 00:26:46,481","Bro, why did you even take her?","ভাই, ওকে নিয়ে গেলেন কেন?"
"00:26:46,523 --> 00:26:51,486","She is a real robber. Says, ""I will say. You must not go to the battlefield.""","সে একজন সত্যিকারের ডাকাত। বলে, ""আমি বলব। তুমি যুদ্ধক্ষেত্রে যাবে না।"""
"00:26:51,521 --> 00:26:54,364","""I'll tell mom if you don't take me."" - Don't tease her.","""আপনি আমাকে না নিয়ে গেলে আমি মাকে বলব।"" - তাকে জ্বালাতন করবেন না।"
"00:26:56,533 --> 00:26:59,953",Come on. - Crazy!,চলো। -পাগল!
"00:27:01,455 --> 00:27:04,124","Are there any corpses up there? -Brother, look at this. Come on.","সেখানে কি কোন লাশ আছে? -ভাই, এইটা দেখুন। চলো।"
"00:27:49,002 --> 00:27:50,512",Fuck it.,এটা চোদো.
"00:28:00,514 --> 00:28:03,517",Curry? Kiri.,তরকারি? কিরি।
"00:28:06,520 --> 00:28:08,480",Kiri... Kiri.,কিরি... কিরি.
"00:28:10,190 --> 00:28:11,775",Kiri.,কিরি।
"00:28:15,487 --> 00:28:19,491","Are you OK? - I did that again, didn't I?","আপনি ঠিক আছেন? - আমি আবার তাই করেছি, তাই না?"
"00:28:19,526 --> 00:28:21,493",Yes you are.,হ্যাঁ আপনি.
"00:28:22,494 --> 00:28:24,461",Kiri! - Kiri!,কিরি ! -কিরি !
"00:28:24,496 --> 00:28:26,498","Kiri, we have to go back. -Okay, come on.","কিরি, আমাদের ফিরে যেতে হবে। -ঠিক আছে চলো।"
"00:28:32,379 --> 00:28:34,339",What is that?,এটা কি?
"00:28:34,381 --> 00:28:37,384",We should always be at home before the eclipse.,আমাদের সবসময় থাকা উচিত সূর্যগ্রহণের আগে বাড়িতে।
