Timeline,en_dialogue,hindi_dialogue
"00:19:39,345 --> 00:19:41,012",I won't take much of your time.,मैं आपका ज्यादा समय नहीं लूंगा.
"00:19:41,180 --> 00:19:45,558",Now I remember you. You're Connors' student. He tells me you're brilliant.,अब मुझे तुम्हारी याद आती है. आप कॉनर्स हैं' विद्यार्थी। वह मुझसे कहता है कि तुम प्रतिभाशाली हो।
"00:19:46,352 --> 00:19:48,436",He also tells me you're lazy.,वह मुझसे यह भी कहता है कि तुम आलसी हो।
"00:19:49,438 --> 00:19:50,689",I'm trying to do better.,मैं बेहतर करने की कोशिश कर रहा हूं.
"00:19:50,856 --> 00:19:54,442","Being brilliant's not enough, young man. You have to work hard.","प्रतिभाशाली होना ही काफी नहीं है, नव युवक। आपको मेहनत करना होगी।"
"00:19:54,777 --> 00:19:57,946","Intelligence is not a privilege, it's a gift.","बुद्धिमत्ता कोई विशेषाधिकार नहीं है, यह एक उपहार है।"
"00:19:58,114 --> 00:20:00,282",And you use it for the good of mankind.,और आप इसका प्रयोग करें मानव जाति की भलाई के लिए.
"00:20:00,449 --> 00:20:01,908",You want to try it back there?,क्या आप इसे वापस वहां आज़माना चाहते हैं?
"00:20:02,743 --> 00:20:04,286",So is that it?,तो क्या यही है?
"00:20:04,453 --> 00:20:08,873",Yes. My design to initiate and sustain fusion.,हाँ। आरंभ करने के लिए मेरा डिज़ाइन और संलयन बनाए रखें।
"00:20:09,292 --> 00:20:12,168",I understand you use harmonics of atomic frequencies.,मैं समझता हूं कि आप हार्मोनिक्स का उपयोग करते हैं परमाणु आवृत्तियों का.
"00:20:12,336 --> 00:20:13,712",Sympathetic frequencies.,सहानुभूतिपूर्ण आवृत्तियाँ।
"00:20:13,879 --> 00:20:15,922",Harmonic reinforcement?,हार्मोनिक सुदृढीकरण?
"00:20:16,257 --> 00:20:17,966",Go on.,जारी रखें।
"00:20:18,551 --> 00:20:22,095",An exponential increase in energy output.,एक घातीय वृद्धि ऊर्जा उत्पादन में.
"00:20:22,263 --> 00:20:23,930",A huge amount of energy.,ऊर्जा की एक बड़ी मात्रा.
"00:20:24,098 --> 00:20:28,268",Like a perpetual sun providing renewable power for the whole world.,निरंतर प्रदान करने वाले सूर्य की तरह पूरी दुनिया के लिए नवीकरणीय ऊर्जा।
"00:20:28,436 --> 00:20:31,646",Are you sure you could stabilise the fusion reaction?,क्या आप आश्वस्त हैं कि आप स्थिर हो सकते हैं? संलयन प्रतिक्रिया?
"00:20:31,814 --> 00:20:35,150","Peter, what have we been talking about for the last hour and a half?","पीटर, हम क्या बात कर रहे थे? पिछले डेढ़ घंटे के बारे में?"
"00:20:35,818 --> 00:20:37,652",This is my life's work.,यह मेरे जीवन का काम है.
"00:20:37,945 --> 00:20:41,156",I certainly know the consequences of the slightest miscalculation.,मैं निश्चित रूप से परिणाम जानता हूं जरा सी चूक से.
"00:20:41,324 --> 00:20:43,616",I'm sorry. I didn't mean to question you.,मुझे माफ़ करें। मेरा आपसे सवाल करने का इरादा नहीं था.
"00:20:43,784 --> 00:20:47,162","Rosie, our new friend thinks I'm gonna blow up the city.","रोज़ी, हमारी नई दोस्त सोचती है मैं शहर को उड़ा दूँगा।"
"00:20:47,330 --> 00:20:49,164",You can sleep soundly tonight.,आज रात आप गहरी नींद सो सकते हैं.
"00:20:49,332 --> 00:20:51,041",Otto's done his homework.,ओटो ने अपना होमवर्क कर लिया है।
"00:20:51,208 --> 00:20:54,336","Come to the demonstration tomorrow, and you'll see for yourself.","कल प्रदर्शन में आओ, और आप स्वयं देख लेंगे."
"00:20:54,795 --> 00:20:57,005","And you need to sleep soundly tonight, Otto.","और आपको चाहिए आज रात आराम से सोना, ओटो।"
"00:20:57,173 --> 00:20:59,341",Did Edison sleep before he turned on the light?,क्या एडिसन सो गया? इससे पहले कि वह प्रकाश चालू करे?
"00:20:59,800 --> 00:21:02,135",Did Marconi sleep before he turned on the radio?,क्या मार्कोनी सो गये? रेडियो चालू करने से पहले?
"00:21:02,303 --> 00:21:04,429",Did Beethoven sleep before he wrote the 5th?,क्या बीथोवेन सोये? 5वीं लिखने से पहले?
"00:21:04,597 --> 00:21:07,891",Did Bernoulli sleep before he found the curves of quickest descent?,क्या बर्नौली मिलने से पहले सो गया था? सबसे तेज अवतरण के वक्र?
"00:21:08,059 --> 00:21:10,560","Rosie, l love this boy.","रोज़ी, मैं इस लड़के से प्यार करता हूँ।"
"00:21:10,728 --> 00:21:14,522","Peter, tell us about yourself. Do you have a girlfriend?","पीटर, हमें अपने बारे में बताओ। क्या आपकी कोई प्रेमिका है?"
"00:21:15,566 --> 00:21:17,150",Well....,कुंआ....
"00:21:18,235 --> 00:21:19,652",I don't really know.,मैं वास्तव में नहीं जानता.
"00:21:19,820 --> 00:21:22,906","Well, shouldn't you know? I mean, who would know?","अच्छा, क्या आपको नहीं पता होना चाहिए? मेरा मतलब है, कौन जानता होगा?"
"00:21:23,157 --> 00:21:26,117",Leave him alone. Maybe it's a secret love.,उसे अकेला छोड़ दें। शायद यह एक गुप्त प्रेम है.
"00:21:26,285 --> 00:21:28,203",Love should never be a secret.,प्यार कभी भी राज़ नहीं रहना चाहिए.
"00:21:28,371 --> 00:21:31,623",If you keep something as complicated as love stored up inside...,यदि आप किसी चीज़ को जटिल बनाकर रखते हैं जैसे प्यार अंदर जमा हो गया...
"00:21:32,375 --> 00:21:34,000",...gonna make you sick.,...तुम्हें बीमार कर दूंगा।
"00:21:34,585 --> 00:21:36,419",I finally got lucky in love.,आख़िरकार मैं प्यार के मामले में भाग्यशाली हो गया।
"00:21:36,587 --> 00:21:37,921",We both did.,हम दोनों ने किया.
"00:21:38,089 --> 00:21:41,800",But it's hardly perfect. You have to work at it.,लेकिन यह शायद ही पूर्ण है. आपको इस पर काम करना होगा.
"00:21:41,967 --> 00:21:45,678","I met him on the college steps, and l knew it wasn't going to be easy.","मैं उनसे कॉलेज की सीढ़ियों पर मिला, और मैं जानता था कि यह आसान नहीं होगा।"
"00:21:45,846 --> 00:21:49,099","He was studying science, and l was studying English literature.","वह विज्ञान का अध्ययन कर रहा था, और मैं अंग्रेजी साहित्य का अध्ययन कर रहा था।"
"00:21:49,266 --> 00:21:52,435",That's right. l was trying to explain the theory of relativity.,यह सही है। मैं समझाने की कोशिश कर रहा था सापेक्षता का सिद्धांत।
"00:21:52,603 --> 00:21:55,105",And Rosie was trying to explain T.S. Eliot.,और रोज़ी कोशिश कर रही थी टी.एस. को समझाने के लिए एलियट.
"00:21:56,399 --> 00:21:58,358",I still don't understand what he was talking about.,मुझे अभी भी समझ नहीं आया वह किस बारे में बात कर रहा था।
"00:21:58,526 --> 00:21:59,734","-Yes, you do. -l'm serious.",-हाँ आप कीजिए। -मैं गंभीर हूं.
"00:21:59,902 --> 00:22:03,446",T.S. Eliot is more complicated than advanced science.,टी.एस. एलियट अधिक जटिल है उन्नत विज्ञान की तुलना में.
"00:22:04,031 --> 00:22:07,951","But if you want to get a woman to fall in love with you, feed her poetry.",लेकिन अगर आप किसी औरत को गिराना चाहते हो तुमसे प्यार है तो उसे शायरी खिलाओ.
"00:22:08,411 --> 00:22:09,619",Poetry.,कविता।
"00:22:11,080 --> 00:22:12,288",Never fails.,कभी विफल नहीं रहता।
"00:22:16,919 --> 00:22:19,838",A tall and slender maiden All alone upon a prairie,एक लम्बी और दुबली युवती एक घास के मैदान पर बिल्कुल अकेले
"00:22:20,005 --> 00:22:22,382",Brightest green were all her garments,उसके सभी वस्त्र सबसे चमकीले हरे थे
"00:22:22,550 --> 00:22:24,926",And her hair was like the sunshine,और उसके बाल धूप की तरह थे
"00:22:25,302 --> 00:22:27,971",Day by day he gazed upon her,वह दिन-ब-दिन उस पर नजर रखता था
"00:23:25,196 --> 00:23:26,863",Rent!,किराया!
"00:23:28,741 --> 00:23:30,450",Where is my money?!,मेरा पैसा कहाँ है?!
"00:23:56,101 --> 00:23:58,394",You seem jittery tonight.,आप आज रात घबराए हुए लग रहे हैं।
"00:23:58,562 --> 00:24:00,230",You never know who's coming.,आप कभी नहीं जानते कि कौन आ रहा है।
"00:24:15,704 --> 00:24:18,665","Ladies, five minutes. Five minutes.","देवियों, पाँच मिनट। पाँच मिनट।"
"00:24:35,849 --> 00:24:37,183",How'd you do that?,आपने ऐसा कैसे किया?
"00:24:40,187 --> 00:24:42,564","Work out, plenty of rest.","वर्कआउट करें, भरपूर आराम करें।"
"00:24:42,731 --> 00:24:44,524","You know, eat your green vegetables.","तुम्हें पता है, अपनी हरी सब्जियाँ खाओ।"
"00:24:45,442 --> 00:24:48,945",That's what my mom is always saying. I just never actually believed her.,मेरी माँ हमेशा यही कहती रहती है। मैंने वास्तव में उस पर कभी विश्वास नहीं किया।
"00:24:51,740 --> 00:24:53,116",Come on. Go.,चलो भी। जाना।
"00:24:56,036 --> 00:24:57,453",Keep it steady.,इसे स्थिर रखें.
"00:25:19,977 --> 00:25:21,477",It's a web.,यह एक वेब है.
"00:25:22,605 --> 00:25:24,314","Go, Spidey, go!","जाओ, स्पाइडी, जाओ!"
"00:25:32,323 --> 00:25:33,656",We got trouble!,हमें परेशानी हुई!
"00:25:52,259 --> 00:25:54,218",Get me down!,मुझे नीचे उतारो!
"00:25:54,928 --> 00:25:57,764",I am more than content with what Mr. Moncrieff said.,मैं सामग्री से कहीं अधिक हूं श्री मोनक्रिफ़ ने जो कहा उसके साथ।
"00:25:57,931 --> 00:26:01,225",His voice alone inspires one with absolute credulity.,उनकी आवाज ही किसी को प्रेरित करती है पूर्ण विश्वसनीयता के साथ.
"00:26:01,393 --> 00:26:03,519",Then you think we should forgive them?,तो फिर आप सोचते हैं कि हमें ऐसा करना चाहिए उन्हे माफ कर दो?
"00:26:06,398 --> 00:26:08,066",Yes.,हाँ।
"00:26:08,567 --> 00:26:10,068","I mean, no.",मेरा मतलब है नहीं।
"00:26:14,365 --> 00:26:18,660","Hey. Hey. Hey, chief. You park there, I'm towing it.","अरे। अरे। अरे मुखिया जी. तुम वहाँ पार्क करो, मैं उसे खींच रहा हूँ।"
"00:26:19,328 --> 00:26:20,662",Whatever.,जो कुछ भी।
