en_dialogue,Timeline,hindi_dialogue
Caught some of it.,"00:14:21,362 --> 00:14:22,497",इसमें से कुछ को पकड़ लिया.
We're a couple of New York Jews. How do you know Dutch?,"00:14:23,631 --> 00:14:25,800",हम न्यूयॉर्क के एक जोड़े हैं यहूदी. आप डच कैसे जानते हैं?
"Well, I thought I'd better learn it","00:14:25,834 --> 00:14:27,402","खैर, मैंने सोचा बेहतर होगा कि मैं इसे सीख लूं"
when I got here this semester.,"00:14:27,435 --> 00:14:28,612",जब मैं इस सेमेस्टर में यहाँ आया।
You learned enough Dutch in six weeks,"00:14:28,636 --> 00:14:30,238",आपने काफी कुछ सीखा छह सप्ताह में डच
to give a lecture on quantum mechanics?,"00:14:30,271 --> 00:14:31,974",पर व्याख्यान देने के लिए क्वांटम यांत्रिकी?
Wanted to challenge myself.,"00:14:32,007 --> 00:14:33,508",खुद को चुनौती देना चाहता था.
Quantum physics wasn't challenging enough.,"00:14:33,541 --> 00:14:35,911",क्वांटम भौतिकी नहीं थी काफी चुनौतीपूर्ण.
<i>- Schvitzer. - Schvitzer?</i>,,
- Show-off. - (chuckles),"00:14:37,712 --> 00:14:39,614",- दिखावा। - (मुस्कुराते हुए)
"Dutch in six weeks, but you never learned Yiddish?","00:14:39,647 --> 00:14:41,492","छह सप्ताह में डच, लेकिन आपने कभी येहुदी नहीं सीखी?"
They don't speak it so much my side of the park.,"00:14:41,516 --> 00:14:43,584",वे ऐसा नहीं बोलते पार्क में मेरी तरफ से बहुत कुछ।
Screw you.,"00:14:43,618 --> 00:14:44,686",जा मर।
You homesick?,"00:14:45,787 --> 00:14:47,288",तुम्हें घर की याद आती है?
"Oh, you know it.","00:14:47,321 --> 00:14:48,723","ओह, आप इसे जानते हैं."
Ever get the feeling our kind isn't entirely welcome here?,"00:14:49,691 --> 00:14:52,694",कभी महसूस करो हमारी तरह का क्या यहाँ पूरी तरह से स्वागत नहीं है?
Physicists?,"00:14:52,727 --> 00:14:53,795",भौतिक विज्ञानी?
'S funny.,"00:14:53,829 --> 00:14:55,329",यह अजीब है.
Not in the department.,"00:14:55,363 --> 00:14:57,432",विभाग में नहीं.
They're all Jewish too.,"00:14:57,465 --> 00:14:58,766",वे सभी भी यहूदी हैं.
Eat.,"00:15:00,869 --> 00:15:02,270",खाओ।
There's a German you have to seek out.,"00:15:04,572 --> 00:15:06,708",तुम एक जर्मन हो खोजना होगा.
- Heisenberg. - Right.,"00:15:07,742 --> 00:15:10,278",- हाइजेनबर्ग. - सही।
(Heisenberg speaking German),"00:15:12,346 --> 00:15:14,682",(हाइजेनबर्ग जर्मन बोल रहे हैं)
One might be led to the presumption,"00:15:19,454 --> 00:15:20,956",किसी का नेतृत्व किया जा सकता है अनुमान के लिए
"that behind the quantum world,","00:15:20,989 --> 00:15:23,458","क्वांटम दुनिया के पीछे,"
"there still hides a real world in which causality holds,","00:15:23,491 --> 00:15:27,361","वहाँ अभी भी एक वास्तविक दुनिया छिपी हुई है जिसमें कार्य-कारण निहित है,"
"but such speculation seem to us,","00:15:27,395 --> 00:15:29,597","लेकिन ऐसी अटकलें हमें लगती हैं,"
"to say it explicitly, fruitless. Thank you.","00:15:29,630 --> 00:15:32,366","इसे स्पष्ट रूप से कहने के लिए, निष्फल. धन्यवाद।"
Have a great day.,"00:15:32,400 --> 00:15:33,836",आपका दिन अच्छा रहे।
- Wonderful. - Thank you.,"00:15:39,041 --> 00:15:40,742",- आश्चर्यजनक। - धन्यवाद।
"Oppenheimer, yes.","00:15:42,044 --> 00:15:43,979","ओपेनहाइमर, हाँ।"
I liked your paper on molecules.,"00:15:44,012 --> 00:15:45,881",मुझे अणुओं पर आपका पेपर पसंद आया।
Probably because you inspired it.,"00:15:45,914 --> 00:15:47,415",शायद इसलिए आपने इसे प्रेरित किया.
"If I inspire anything else, let me know.","00:15:47,448 --> 00:15:48,960","अगर मैं कुछ भी प्रेरित करता हूँ अन्यथा, मुझे बताएं."
We could publish together.,"00:15:48,984 --> 00:15:50,024",हम एक साथ प्रकाशित कर सकते हैं.
I have to get back to America.,"00:15:50,052 --> 00:15:51,887",मुझे अमेरिका वापस जाना है.
Why? There's no one there,"00:15:51,920 --> 00:15:53,654",क्यों? वहां कोई नहीं है
taking quantum mechanics seriously.,"00:15:53,688 --> 00:15:55,891",क्वांटम ले रहा हूँ यांत्रिकी गंभीरता से.
- That's exactly why. - (sighs),"00:15:55,924 --> 00:15:57,525",- बिल्कुल यही कारण है। - (आह)
He's pining for the canyons of Manhattan.,"00:15:57,558 --> 00:15:59,995",वह इसके लिए उत्सुक है मैनहट्टन की घाटियाँ.
ROBERT: Canyons of New Mexico.,"00:16:00,028 --> 00:16:02,463",रॉबर्ट: न्यू मैक्सिको की घाटियाँ।
- You're from New Mexico? - No.,"00:16:02,497 --> 00:16:03,640",- आप न्यू मैक्सिको से हैं? - नहीं।
"New York, but my brother and I have a ranch","00:16:03,664 --> 00:16:05,767","न्यूयॉर्क, लेकिन मेरे भाई और मेरे पास एक खेत है"
outside Santa Fe. (inhales),"00:16:05,800 --> 00:16:07,903",सांता फ़े के बाहर. (श्वास लेना)
That's the America I miss right now.,"00:16:07,936 --> 00:16:10,304",वह अमेरिका है मुझे अभी याद आ रहा है.
"Then it's best you get home, cowboys.","00:16:10,338 --> 00:16:12,406","तो फिर यह सबसे अच्छा है आप घर जाओ, काउबॉय।"
- (Robert chuckles) - (chuckles) That's him.,"00:16:12,440 --> 00:16:14,052",- (रॉबर्ट हँसते हुए) - (मुस्कुराते हुए) वह वही है।
"No, me and horses. I don't think so.","00:16:14,076 --> 00:16:17,512","नहीं, मैं और घोड़े। मुझे ऐसा नहीं लगता।"
- (Rabi chuckles) - Nice to meet you.,"00:16:17,545 --> 00:16:19,680",- (रबी हँसती है) - आपसे मिलकर अच्छा लगा।
Did you ever encounter Heisenberg again?,"00:16:21,415 --> 00:16:23,551",क्या आपका कभी सामना हुआ हाइजेनबर्ग फिर से?
