en_dialogue,Timeline,hindi_dialogue
(Car horn),"00:20:45,194 --> 00:20:47,185",(कार का हॉर्न)
Why all the fuss? It doesn't look any bigger than the Mauretania.,"00:21:14,594 --> 00:21:18,951",क्यों सभी झगड़ा? यह नहीं दिखता है मॉरेटानिया से बड़ा कोई भी।
"You can be blasé about some things, Rose, but not about Titanic.","00:21:19,034 --> 00:21:22,868","आप कुछ चीजों के बारे में ब्लेज़ हो सकते हैं, गुलाब, लेकिन टाइटैनिक के बारे में नहीं।"
It's 100 feet longer...,"00:21:22,954 --> 00:21:24,546",यह 100 फीट लंबा है ...
..and far more luxurious.,"00:21:24,634 --> 00:21:26,590",..और बहुत अधिक शानदार।
"Your daughter is difficult to impress, Ruth.","00:21:26,674 --> 00:21:29,586","आपकी बेटी मुश्किल है प्रभावित करने के लिए, रूथ।"
So this is the ship they say is unsinkable.,"00:21:29,674 --> 00:21:32,552",तो यह जहाज है वे कहते हैं कि असंभव है।
God himself could not sink this ship.,"00:21:32,634 --> 00:21:35,194",ईश्वर स्वयं इस जहाज को डुबो नहीं सकता था।
"Sir, you have to check your baggage through the main terminal.","00:21:35,274 --> 00:21:38,869","महोदय, आपको अपने सामान की जांच करनी है मुख्य टर्मिनल के माध्यम से।"
"I put my faith in you, good sir. Now kindly see my man.","00:21:38,954 --> 00:21:42,185","मैंने तुम पर मेरा विश्वास रखा, अच्छा महोदय। अब कृपया मेरे आदमी को देखें।"
"Yes, sir. My pleasure, sir.","00:21:42,274 --> 00:21:44,230",जी श्रीमान। मुझे खुशी होगी महाशय।
"All the trunks from that car there,...","00:21:45,554 --> 00:21:48,193","उस कार से सभी ट्रंक, ..."
"..12 from here, and the safe,...","00:21:48,274 --> 00:21:51,505","..12 यहाँ से, और सुरक्षित, ..."
"..to the Parlour Suite, rooms B52, 54, 56.","00:21:51,594 --> 00:21:54,347",".. पार्लर सूट के लिए, कमरे बी 52, 54, 56।"
(Whistle),"00:21:54,434 --> 00:21:55,833",(सीटी)
Ladies...,"00:21:55,914 --> 00:21:57,870",महिलाओं ...
Better hurry.,"00:21:57,954 --> 00:21:59,592",बेहतर जल्दी करो।
"- My coat? - I have it, miss.","00:22:04,354 --> 00:22:06,822","- मेरे कोट? - मेरे पास है, मिस।"
All third-class passengers queue here for health inspection.,"00:22:08,194 --> 00:22:12,824",सभी तीसरे श्रेणी के यात्रियों स्वास्थ्य निरीक्षण के लिए यहां कतार।
Chin up.,"00:22:12,914 --> 00:22:14,233",चिन अप।
"Welcome aboard, ma'am. Welcome to Titanic.","00:22:18,954 --> 00:22:22,708","आपका स्वागत है, महोदया। टाइटैनिक में आपका स्वागत है।"
Rose: <i>It was the ship</i> <i>of dreams to everyone else.</i>,,
<i>To me it was a slave ship...</i>,,
<i>..taking me back to America in chains.</i>,,
<i>Outwardly I was everything</i> <i>a well-brought-up girl should be.</i>,,
"<i>Inside, I was screaming.</i>",,
(Steam whistle),"00:22:40,274 --> 00:22:41,992",(भाप सीटी)
(Speaking Swedish),"00:22:52,474 --> 00:22:54,465",(स्वीडिश बोलना)
"Jack, you are pazzo. You bet everything we have.","00:22:55,754 --> 00:22:58,985","जैक, आप पज़ो हैं। आप हमारे पास सबकुछ शर्त लगाते हैं।"
"When you got nothing, you got nothing to lose.","00:22:59,074 --> 00:23:02,191","जब आपको कुछ नहीं मिला, आपको खोने के लिए कुछ नहीं मिला।"
Swedish: You moron. I can't believe you bet our tickets.,"00:23:03,634 --> 00:23:08,230",स्वीडिश: तुम मूर्ख हो। मुझे विश्वास नहीं है कि आप हमारे टिकट शर्त लगाते हैं।
Sven?,"00:23:09,034 --> 00:23:10,023",स्वेन?
All right... moment of truth.,"00:23:30,794 --> 00:23:33,308",ठीक है ... सच का क्षण।
Somebody's life's about to change.,"00:23:33,674 --> 00:23:36,188",किसी के जीवन को बदलने वाला है।
Fabrizio?,"00:23:36,274 --> 00:23:37,229",फैब्रिजियो?
Niente.,"00:23:39,234 --> 00:23:40,223",Niente।
Olaf?,"00:23:42,794 --> 00:23:44,386",ओलाफ?
Nothing.,"00:23:44,674 --> 00:23:45,743",कुछ भी तो नहीं।
Uh-oh. Two pair.,"00:23:49,714 --> 00:23:52,308",उह ओह। दो जोड़ी।
"I'm sorry, Fabrizio.","00:23:52,514 --> 00:23:54,470","मुझे खेद है, Fabrizio।"
"""Sorry""? You bet all the money!","00:23:54,554 --> 00:23:56,829","""माफ़ कीजिये""? आप सभी पैसे शर्त लगाते हैं!"
I'm sorry. You're not gonna see your mom for a long time.,"00:23:56,914 --> 00:24:00,623",मुझे माफ कर दो। आप नहीं देख रहे हैं आपकी माँ लंबे समय तक।
"Cos we're going to America! Full house, boys!","00:24:00,714 --> 00:24:03,990","क्या हम अमेरिका जा रहे हैं! पूरा घर, लड़के!"
Whoa!,"00:24:04,074 --> 00:24:05,587",वाह!
Yeah!,"00:24:05,674 --> 00:24:06,948",हाँ!
"Dio mio, grazie!","00:24:07,034 --> 00:24:09,070","डायो Mio, grazie!"
(Cursing in Swedish),"00:24:10,674 --> 00:24:12,983",(स्वीडिश में शापित)
Come on!,"00:24:16,274 --> 00:24:17,866",आ जाओ!
Figlio di puttana!,"00:24:17,954 --> 00:24:19,148",Figlio di Puttana!
I'm going home!,"00:24:19,234 --> 00:24:20,906",मैं घर जा रहा हूँ!
I go to America!,"00:24:24,914 --> 00:24:26,870",मैं अमेरिका जाता हूँ!
"No, mate.","00:24:26,954 --> 00:24:28,103",कोई दोस्त नहीं है।
"Titanic go to America, in five minutes.","00:24:28,194 --> 00:24:30,913",टाइटैनिक अमेरिका में पांच मिनट में जाता है।
"Come on! Come on, here!","00:24:32,034 --> 00:24:34,389",आ जाओ! यहां आओ!
Andiamo!,"00:24:34,474 --> 00:24:36,544",Andiamo!
We're riding in high style now! We're a couple of swells!,"00:24:36,634 --> 00:24:40,309",हम अब उच्च शैली में सवारी कर रहे हैं! हम दो swells हैं!
"Practically goddamn royalty, ragazzo mio!","00:24:40,394 --> 00:24:43,192","व्यावहारिक रूप से भगवान रॉयल्टी, ragazzo mio!"
"You see, it's my destino!","00:24:43,274 --> 00:24:46,186","आप देखते हैं, यह मेरा भाग्य है!"
I go to America to be millionario!,"00:24:46,274 --> 00:24:48,663",मैं अमेरिका में करोड़पति बनने के लिए जाता हूं!
