Timeline,en_dialogue,hindi_dialogue
"00:29:52,458 --> 00:29:55,042",Perhaps when she was running things in Hong Kong.,शायद जब वह बातें चल रही थी हांगकांग में।
"00:29:55,127 --> 00:29:56,544",She's no idea what it all means.,वह कोई विचार नहीं है इसका क्या मतलब है।
"00:29:56,670 --> 00:29:57,795",You believe that?,तुम विश्वास करते हो कि?
"00:29:57,963 --> 00:29:59,964","The truth is, we don't have a clue who took the list","सच तो यह है, हमारे पास कोई सुराग नहीं है किसने सूची ली"
"00:06:42,778 --> 00:06:44,403",(GRUNTING),(घुरघुराना)
"00:30:01,258 --> 00:30:03,384",or what they plan to do with it.,या वे क्या इसके साथ करने की योजना है।
"00:30:10,225 --> 00:30:11,517",We can always do this later.,हम हमेशा बाद में ऐसा कर सकते हैं।
"00:30:12,394 --> 00:30:15,438",You know what? Let's.,आपको पता है कि? चलो।
"00:31:22,381 --> 00:31:25,466",I'd like to start with some simple word associations.,मैं शुरुआत करना चाहूंगा कुछ सरल के साथ शब्द संघों।
"00:31:25,551 --> 00:31:27,969",Just tell me the first word that pops into your head.,बस मुझे पहला शब्द बताओ कि आपके सिर में चबूतरे।
"00:31:28,136 --> 00:31:30,513","For example, I might say ""Day"" and you might say. . .","उदाहरण के लिए, मैं कह सकता हूं ""दिन"" और आप कह सकते हैं। । ।"
"00:31:30,639 --> 00:31:31,639",Wasted.,व्यर्थ।
"00:31:35,894 --> 00:31:37,228",All right.,ठीक है।
"00:31:41,608 --> 00:31:42,942",Gun.,बंदूक।
"00:31:44,069 --> 00:31:46,028",Shot. Agent.,शॉट। एजेंट।
"00:31:46,154 --> 00:31:47,530",Provocateur.,खास आदमी।
"00:31:47,656 --> 00:31:48,614",Woman.,महिला।
"00:31:48,740 --> 00:31:49,657",Provocatrix.,Provocatrix।
"00:31:49,908 --> 00:31:50,866",Heart.,दिल।
"00:31:50,993 --> 00:31:51,993",Target.,लक्ष्य।
"00:31:52,995 --> 00:31:54,203",Bird.,चिड़िया।
"00:31:54,329 --> 00:31:55,538",Sky.,आकाश।
"00:31:55,706 --> 00:31:56,747",M.,म।
"00:31:56,873 --> 00:31:57,915",Bitch.,कुतिया।
"00:32:00,335 --> 00:32:01,419",MAN: Sunlight.,MAN: सूर्य का प्रकाश।
"00:32:01,545 --> 00:32:02,670",Swim.,तैरने।
"00:32:02,754 --> 00:32:04,505",Moonlight. Dance.,चांदनी। नृत्य।
"00:32:04,673 --> 00:32:05,840",Murder.,हत्या।
"00:32:06,049 --> 00:32:07,258",Employment.,रोजगार।
"00:32:07,676 --> 00:32:09,552",Country. England.,देश। इंग्लैंड।
"00:32:09,678 --> 00:32:17,935",Skyfall.,आकाश गिरावट।
"00:32:21,356 --> 00:32:22,607",Done.,किया हुआ।
"00:32:28,905 --> 00:32:30,865","Well, this is going well.","खैर, यह अच्छा चल रहा है।"
"00:33:18,747 --> 00:33:20,498",Get these analyzed.,इनका विश्लेषण करवाएं।
"00:33:21,416 --> 00:33:23,084",For her eyes only.,केवल उसकी आँखों के लिए।
"00:33:51,446 --> 00:33:53,114",She's ready for you.,वह आपके लिए तैयार है।
"00:33:53,490 --> 00:33:55,700","I'm sorry, have we met before?","मुझे क्षमा करें, क्या हम पहले मिले हैं?"
"00:33:56,493 --> 00:33:58,619","I'm the one who should say ""sorry"".","मैं वही हूँ जो ""सॉरी"" कहना चाहिए।"
"00:34:00,872 --> 00:34:02,707",lt was only four ribs.,लेफ्टिनेंट केवल चार पसलियों था।
"00:34:02,999 --> 00:34:05,209",Some of the less vital organs.,कम महत्वपूर्ण अंगों में से कुछ।
"00:34:06,962 --> 00:34:08,421",Nothing major.,कोई बड़ी बात नहीं।
"00:34:13,802 --> 00:34:15,386",Not enough excitement in Istanbul?,पर्याप्त नहीं इस्तांबुल में उत्साह?
"00:34:15,554 --> 00:34:17,138",I've been reassigned.,मुझे आश्वस्त किया गया है।
"00:34:17,222 --> 00:34:19,306",Temporary suspension from field work.,अस्थायी निलंबन फील्ड वर्क से।
"00:34:19,474 --> 00:34:20,891",Really? Mmm.,वास्तव में? Mmm।
"00:34:20,976 --> 00:34:22,643",Something to do with killing 007.,कुछ करने के लिए 007 की हत्या के साथ।
"00:34:23,019 --> 00:34:24,770","Well, you gave it your best shot.","अच्छा, आपने दिया आपका सबसे अच्छा शॉट।"
"00:34:24,896 --> 00:34:26,647",That was hardly my best shot.,वह शायद ही मेरा सर्वश्रेष्ठ शॉट था।
"00:34:27,065 --> 00:34:29,066",I'm not sure I could survive your best.,मुझे यकीन नहीं है मैं अपने सर्वश्रेष्ठ से बच सकता है।
"00:34:29,234 --> 00:34:30,985",I doubt you'll get the chance.,मुझे संदेह है कि आपको मौका मिलेगा।
"00:34:31,403 --> 00:34:34,405","Well, do me a favor, will you? If they do ever let you back out there,","अच्छा, मुझे एक एहसान करो, क्या तुम करोगे? अगर वे कभी करते हैं तुम वहाँ से बाहर वापस,"
"00:34:35,991 --> 00:34:37,158",warn me first.,पहले मुझे आगाह करो।
"00:34:37,826 --> 00:34:40,494","I'm assisting Gareth Mallory in the transition,","मैं गैरेथ मालोरी की सहायता कर रहा हूं संक्रमण में,"
"00:34:40,662 --> 00:34:42,496",and then I'll be back in the field.,और फिर मैं हूँ वापस मैदान में।
