Timeline,en_dialogue,tamil_dialogue
"00:28:09,813 --> 00:28:12,440","TANNER: The assailant hacked into the environmental control system,","டேனர்: தாக்குதல் நடத்தியவர் வெட்டினார் சுற்றுச்சூழலுக்குள் கட்டுப்பாட்டு அமைப்பு,"
"00:28:12,524 --> 00:28:14,108",locked out the safety protocols,பூட்டப்பட்டது பாதுகாப்பு நெறிமுறைகள்
"00:28:14,276 --> 00:28:17,612","and turned on the gas, all of which should have been impossible.","மற்றும் எரிவாயுவை இயக்கியது, இவை அனைத்தும் வேண்டும் சாத்தியமற்றது."
"00:28:17,946 --> 00:28:20,114","On top of that, they hacked into her files.","அதற்கு மேல், அவர்கள் அவளுடைய கோப்புகளை ஹேக் செய்தனர்."
"00:28:20,657 --> 00:28:23,534","They knew her appointments, knew she'd be out of the building.","அவளுடைய நியமனங்கள் அவர்களுக்குத் தெரியும், அவள் வெளியே இருப்பாள் என்று தெரியும் கட்டிடத்தின்."
"00:28:23,660 --> 00:28:25,453",They weren't targeting her.,அவர்கள் அவளை குறிவைக்கவில்லை.
"00:28:26,163 --> 00:28:28,039",They wanted her to see it.,அவள் அதைப் பார்க்க வேண்டும் என்று அவர்கள் விரும்பினர்.
"00:28:29,458 --> 00:28:30,750","Where are we, Tanner?","டேனர், நாங்கள் எங்கே இருக்கிறோம்?"
"00:28:30,876 --> 00:28:32,168",New digs.,புதிய தோண்டல்கள்.
"00:28:40,052 --> 00:28:43,221","The old building was declared ""strategically vulnerable"".","பழைய கட்டிடம் அறிவிக்கப்பட்டது ""மூலோபாய ரீதியாக பாதிக்கப்படக்கூடியது""."
"00:28:43,555 --> 00:28:45,473",That's putting it mildly.,அது லேசாக வைக்கிறது.
"00:28:45,641 --> 00:28:48,976",He was able to breach the most secure computer system in Britain.,அவரால் முடிந்தது மிகவும் பாதுகாப்பான மீறல் பிரிட்டனில் கணினி அமைப்பு.
"00:28:49,061 --> 00:28:50,853",So we're on war footing now.,எனவே நாங்கள் இப்போது போர்க்கால அடிப்படையில் இருக்கிறோம்.
"00:28:51,688 --> 00:28:53,856",This was part of Churchill's bunker.,இது ஒரு பகுதியாக இருந்தது சர்ச்சிலின் பதுங்கு குழி.
"00:28:54,316 --> 00:28:55,566",We're still discovering tunnels,நாங்கள் இன்னும் இருக்கிறோம் சுரங்கங்களை கண்டுபிடிப்பது
"00:28:55,692 --> 00:28:56,984",dating back to the 1 8th Century.,பழமையானது 18 ஆம் நூற்றாண்டு.
"00:28:57,152 --> 00:28:59,487","Quite fascinating, if it wasn't for the rats.","மிகவும் கவர்ச்சிகரமான, எலிகள் இல்லையென்றால்."
"00:28:59,696 --> 00:29:01,155",When do I see M?,நான் எப்போது M ஐப் பார்ப்பேன்?
"00:29:01,240 --> 00:29:04,700","Tomorrow you'll see M and Mallory, too, if you're lucky.","நாளை நீங்கள் பார்க்கலாம் எம் மற்றும் மல்லோரியும், நீங்கள் அதிர்ஷ்டசாலி என்றால்."
"00:29:04,827 --> 00:29:05,993",Who's Mallory?,மல்லோரி யார்?
"00:29:06,161 --> 00:29:08,830",The new Chairman of the Intelligence and Security Committee.,புதிய தலைவர் உளவுத்துறையின் மற்றும் பாதுகாப்பு குழு.
"00:29:08,914 --> 00:29:09,997",Charming man. I think you and he,வசீகரமான மனிதர். நீயும் அவனும் என்று நினைக்கிறேன்
"00:29:10,082 --> 00:29:11,499",are really going to hit it off.,உண்மையில் உள்ளன அதை அடிக்கப் போகிறது.
"00:29:13,752 --> 00:29:15,753",Welcome to the new Ml6.,புதிய Ml6க்கு வரவேற்கிறோம்.
"00:29:32,229 --> 00:29:34,897","We've attempted to trace the computer message, but","நாங்கள் கண்டுபிடிக்க முயற்சித்தோம் கணினி செய்தி, ஆனால்"
"00:29:35,065 --> 00:29:38,025","it was sent by an asymmetrical security algorithm,","அது ஒரு சமச்சீரற்ற மூலம் அனுப்பப்பட்டது பாதுகாப்பு அல்காரிதம்,"
"00:29:38,193 --> 00:29:39,694",which bounced the signal all over the globe,இது சிக்னலைத் தாண்டியது உலகம் முழுவதும்
"00:29:39,778 --> 00:29:41,779",through over a thousand different servers.,மூலம் ஆயிரம் வெவ்வேறு சர்வர்கள்.
"00:29:41,864 --> 00:29:43,573","And now that they've accessed M's codes,","இப்போது அவர்கள் செய்திருக்கிறார்கள் எம் குறியீடுகளை அணுகியது,"
"00:29:43,699 --> 00:29:46,367",it's only a matter of time before they're able to decrypt the list.,அது ஒரு நேரம் மட்டுமே அவர்கள் முடியும் முன் பட்டியலை மறைகுறியாக்க.
"00:29:46,452 --> 00:29:48,953",Q-Branch have been analyzing the picture but so far nothing.,கியூ-பிராஞ்ச் இருந்தது படத்தை பகுப்பாய்வு செய்தல் ஆனால் இதுவரை எதுவும் இல்லை.
"00:29:49,621 --> 00:29:52,373",The general feeling is it's probably someone from her past.,என்பது பொதுவான உணர்வு அது ஒருவேளை யாரோ அவளுடைய கடந்த காலத்திலிருந்து.
"00:29:52,458 --> 00:29:55,042",Perhaps when she was running things in Hong Kong.,ஒருவேளை அவள் எப்போது விஷயங்களை இயக்கிக் கொண்டிருந்தது ஹாங்காங்கில்.
"00:29:55,127 --> 00:29:56,544",She's no idea what it all means.,அவளுக்கு எதுவும் தெரியாது அது என்ன அர்த்தம்.
"00:29:56,670 --> 00:29:57,795",You believe that?,நீங்கள் அதை நம்புகிறீர்களா?
"00:29:57,963 --> 00:29:59,964","The truth is, we don't have a clue who took the list","உண்மை என்னவென்றால், எங்களுக்கு ஒரு துப்பும் இல்லை யார் பட்டியலை எடுத்தார்கள்"
"00:06:42,778 --> 00:06:44,403",(GRUNTING),(கிரண்டிங்)
"00:30:01,258 --> 00:30:03,384",or what they plan to do with it.,அல்லது அவர்கள் என்ன அதை செய்ய திட்டம்.
"00:30:10,225 --> 00:30:11,517",We can always do this later.,இதை நாம் எப்போது வேண்டுமானாலும் பின்னர் செய்யலாம்.
"00:30:12,394 --> 00:30:15,438",You know what? Let's.,என்ன தெரியுமா? நாம்.
"00:31:22,381 --> 00:31:25,466",I'd like to start with some simple word associations.,நான் தொடங்க விரும்புகிறேன் சில எளிமையானது வார்த்தை சங்கங்கள்.
"00:31:25,551 --> 00:31:27,969",Just tell me the first word that pops into your head.,முதல் வார்த்தையை மட்டும் சொல்லுங்கள் அது உங்கள் தலையில் தோன்றும்.
"00:31:28,136 --> 00:31:30,513","For example, I might say ""Day"" and you might say. . .","உதாரணமாக, நான் ""நாள்"" என்று கூறலாம். மற்றும் நீங்கள் சொல்லலாம். . ."
"00:31:30,639 --> 00:31:31,639",Wasted.,வீணானது.
"00:31:35,894 --> 00:31:37,228",All right.,சரி.
"00:31:41,608 --> 00:31:42,942",Gun.,துப்பாக்கி.
"00:31:44,069 --> 00:31:46,028",Shot. Agent.,சுடப்பட்டது. முகவர்.
"00:31:46,154 --> 00:31:47,530",Provocateur.,தூண்டிவிடுபவர்.
"00:31:47,656 --> 00:31:48,614",Woman.,பெண்.
"00:31:48,740 --> 00:31:49,657",Provocatrix.,ப்ரோவோகாட்ரிக்ஸ்.
"00:31:49,908 --> 00:31:50,866",Heart.,இதயம்.
"00:31:50,993 --> 00:31:51,993",Target.,இலக்கு.
"00:31:52,995 --> 00:31:54,203",Bird.,பறவை.
"00:31:54,329 --> 00:31:55,538",Sky.,வானம்.
"00:31:55,706 --> 00:31:56,747",M.,எம்.
"00:31:56,873 --> 00:31:57,915",Bitch.,பிச்.
"00:32:00,335 --> 00:32:01,419",MAN: Sunlight.,மனிதன்: சூரிய ஒளி.
"00:32:01,545 --> 00:32:02,670",Swim.,நீந்தவும்.
"00:32:02,754 --> 00:32:04,505",Moonlight. Dance.,நிலவொளி. நடனம்.
"00:32:04,673 --> 00:32:05,840",Murder.,கொலை.
"00:32:06,049 --> 00:32:07,258",Employment.,வேலைவாய்ப்பு.
"00:32:07,676 --> 00:32:09,552",Country. England.,நாடு. இங்கிலாந்து.
"00:32:09,678 --> 00:32:17,935",Skyfall.,ஸ்கைஃபால்.
"00:32:21,356 --> 00:32:22,607",Done.,முடிந்தது.
"00:32:28,905 --> 00:32:30,865","Well, this is going well.","சரி, இது நன்றாகப் போகிறது."
"00:33:18,747 --> 00:33:20,498",Get these analyzed.,இவற்றை பகுப்பாய்வு செய்யுங்கள்.
"00:33:21,416 --> 00:33:23,084",For her eyes only.,அவள் கண்களுக்கு மட்டும்.
"00:33:51,446 --> 00:33:53,114",She's ready for you.,அவள் உங்களுக்காக தயாராக இருக்கிறாள்.
"00:33:53,490 --> 00:33:55,700","I'm sorry, have we met before?","மன்னிக்கவும், நாம் முன்பு சந்தித்திருக்கிறோமா?"
"00:33:56,493 --> 00:33:58,619","I'm the one who should say ""sorry"".","நான் தான் ""மன்னிக்கவும்"" என்று சொல்ல வேண்டும்."
"00:34:00,872 --> 00:34:02,707",lt was only four ribs.,அது நான்கு விலா எலும்புகள் மட்டுமே.
"00:34:02,999 --> 00:34:05,209",Some of the less vital organs.,குறைவான முக்கிய உறுப்புகள் சில.
"00:34:06,962 --> 00:34:08,421",Nothing major.,பெரிதாக எதுவும் இல்லை.
"00:34:13,802 --> 00:34:15,386",Not enough excitement in Istanbul?,போதாது இஸ்தான்புல்லில் பரபரப்பு?
"00:34:15,554 --> 00:34:17,138",I've been reassigned.,நான் மீண்டும் பணியமர்த்தப்பட்டேன்.
"00:34:17,222 --> 00:34:19,306",Temporary suspension from field work.,தற்காலிக இடைநீக்கம் களப்பணியிலிருந்து.
"00:34:19,474 --> 00:34:20,891",Really? Mmm.,உண்மையில்? ம்ம்ம்.
"00:34:20,976 --> 00:34:22,643",Something to do with killing 007.,ஏதாவது செய்ய வேண்டும் கொலையுடன் 007.
"00:34:23,019 --> 00:34:24,770","Well, you gave it your best shot.","சரி, நீங்கள் கொடுத்தீர்கள் உங்கள் சிறந்த ஷாட்."
"00:34:24,896 --> 00:34:26,647",That was hardly my best shot.,அது என்னுடைய சிறந்த ஷாட் அல்ல.
"00:34:27,065 --> 00:34:29,066",I'm not sure I could survive your best.,நான் உறுதியாக தெரியவில்லை உங்களால் சிறப்பாக வாழ முடியும்.
"00:34:29,234 --> 00:34:30,985",I doubt you'll get the chance.,உங்களுக்கு வாய்ப்பு கிடைக்குமா என்பது சந்தேகமே.
"00:34:31,403 --> 00:34:34,405","Well, do me a favor, will you? If they do ever let you back out there,","சரி, எனக்கு ஒரு உதவி செய், செய்வீர்களா? அவர்கள் எப்போதாவது அனுமதித்தால் நீ அங்கே திரும்பு"
"00:34:35,991 --> 00:34:37,158",warn me first.,முதலில் என்னை எச்சரி.
"00:34:37,826 --> 00:34:40,494","I'm assisting Gareth Mallory in the transition,","நான் கரேத் மல்லோரிக்கு உதவி செய்கிறேன் மாற்றத்தில்,"
"00:34:40,662 --> 00:34:42,496",and then I'll be back in the field.,பின்னர் நான் இருப்பேன் மீண்டும் களத்தில்.
