Timeline,en_dialogue,tamil_dialogue
"00:17:27,296 --> 00:17:28,797",Can l spend it?,நான் செலவு செய்யலாமா?
"00:17:29,549 --> 00:17:31,466",I have a paycheck due this week and--,எனக்கு இந்த வாரம் சம்பளம் பாக்கி இருக்கிறது மற்றும்--
"00:17:31,634 --> 00:17:34,970",-You're a month late again. Again. -l promise as soon as--,- நீங்கள் மீண்டும் ஒரு மாதம் தாமதமாகிவிட்டீர்கள். மீண்டும். - நான் விரைவில் உறுதியளிக்கிறேன் --
"00:17:35,263 --> 00:17:38,640","If promises were crackers, my daughter would be fat.","வாக்குறுதிகள் பட்டாசு என்றால், என் மகள் குண்டாக இருப்பாள்."
"00:17:39,225 --> 00:17:43,728","I'm really sorry, Mr. Ditkovitch. All I got is this 20 for the rest of the week.","நான் மிகவும் வருந்துகிறேன், திரு. டிட்கோவிச். அனைத்து வாரம் முழுவதும் இந்த 20 தான் கிடைத்தது."
"00:17:44,397 --> 00:17:45,939","""Sorry"" doesn't pay the rent.","""மன்னிக்கவும்"" வாடகை செலுத்தவில்லை."
"00:17:46,107 --> 00:17:50,986",And don't try to sneak past me. I have ears like a cat and eyes like a rodent.,மேலும் என்னைக் கடந்து செல்ல முயற்சிக்காதீர்கள். என்னிடம் உள்ளது பூனை போன்ற காதுகள் மற்றும் ஒரு கொறித்துண்ணி போன்ற கண்கள்.
"00:17:52,655 --> 00:17:55,532","-Thanks, Mr. Ditkovitch. -Hi, Pete.","-நன்றி, திரு. டிட்கோவிச். - ஹாய், பீட்."
"00:18:42,371 --> 00:18:43,955",Hello?,வணக்கம்?
"00:18:51,339 --> 00:18:53,048",Rent?,வாடகை?
"00:18:58,137 --> 00:19:00,513",Doctor? Mr. Osborn's here.,டாக்டரா? திரு. ஆஸ்போர்ன் இங்கே இருக்கிறார்.
"00:19:00,681 --> 00:19:04,559","Nobel Prize, Otto. Nobel Prize. And we'll all be rich.","நோபல் பரிசு, ஓட்டோ. நோபல் பரிசு. நாம் அனைவரும் பணக்காரர்களாக இருப்போம்."
"00:19:04,894 --> 00:19:06,519","It's not about the prizes, Harry.","இது பரிசுகளைப் பற்றியது அல்ல, ஹாரி."
"00:19:06,687 --> 00:19:08,480",But you need money. You need Oscorp.,ஆனால் பணம் வேண்டும். உங்களுக்கு ஆஸ்கார்ப் தேவை.
"00:19:08,648 --> 00:19:09,940",Who do we have here?,நாம் இங்கே யார் இருக்கிறார்கள்?
"00:19:10,107 --> 00:19:11,858",This is my good friend I called you about.,இவர் என் நல்ல நண்பர் நான் உன்னை பற்றி அழைத்தேன்.
"00:19:12,026 --> 00:19:13,693",He got me through high-school science.,அவர் என்னை கடந்து சென்றார் உயர்நிலைப் பள்ளி அறிவியல்.
"00:19:13,861 --> 00:19:16,863","Peter Parker, sir. I'm writing a paper on you for--","பீட்டர் பார்க்கர், சார். நான் உங்களுக்காக ஒரு காகிதத்தை எழுதுகிறேன் -"
"00:19:17,031 --> 00:19:18,448",I know what you're doing here...,நீ இங்கே என்ன செய்கிறாய் என்று எனக்குத் தெரியும்...
"00:19:18,616 --> 00:19:20,909",...but l don't have time to talk to students now.,ஆனால் எனக்கு நேரமில்லை இப்போது மாணவர்களுடன் பேச வேண்டும்.
"00:19:21,869 --> 00:19:23,703","But Oscorp pays the bills, so....","ஆனால் ஆஸ்கார்ப் பில்களை செலுத்துகிறது, அதனால்...."
"00:19:23,871 --> 00:19:26,206",That's why I have to take off. Board meeting.,அதனால்தான் நான் புறப்பட வேண்டும். நிருவாகசபை கூட்டம்.
"00:19:26,374 --> 00:19:29,751",But my job is done here. Got you two geniuses together.,ஆனால் என் வேலை இங்கே முடிந்தது. உங்கள் இரண்டு மேதைகளை ஒன்றாக இணைத்துள்ளீர்கள்.
"00:19:29,919 --> 00:19:34,506","Good luck tomorrow, Otto. Nobel Prize. We'll see you in Sweden!","நாளை நல்ல அதிர்ஷ்டம், ஓட்டோ. நோபல் பரிசு. ஸ்வீடனில் சந்திப்போம்!"
"00:19:37,218 --> 00:19:38,718","Interesting fellow, your friend.","சுவாரஸ்யமான தோழர், உங்கள் நண்பர்."
"00:19:39,345 --> 00:19:41,012",I won't take much of your time.,நான் உங்கள் நேரத்தை அதிகம் எடுத்துக்கொள்ள மாட்டேன்.
"00:19:41,180 --> 00:19:45,558",Now I remember you. You're Connors' student. He tells me you're brilliant.,இப்போது நான் உன்னை நினைவுகூர்கிறேன். நீங்கள் கானர்ஸ்' மாணவர். நீங்கள் புத்திசாலி என்று அவர் என்னிடம் கூறுகிறார்.
"00:19:46,352 --> 00:19:48,436",He also tells me you're lazy.,நீ சோம்பேறியாக இருக்கிறாய் என்றும் சொல்கிறார்.
"00:19:49,438 --> 00:19:50,689",I'm trying to do better.,நான் சிறப்பாக செய்ய முயற்சிக்கிறேன்.
"00:19:50,856 --> 00:19:54,442","Being brilliant's not enough, young man. You have to work hard.","புத்திசாலித்தனமாக இருப்பது போதாது, இளைஞன். கடினமாக உழைக்க வேண்டும்."
"00:19:54,777 --> 00:19:57,946","Intelligence is not a privilege, it's a gift.","புலனாய்வு என்பது ஒரு பாக்கியம் அல்ல, அது ஒரு பரிசு."
"00:19:58,114 --> 00:20:00,282",And you use it for the good of mankind.,மற்றும் நீங்கள் அதை பயன்படுத்த மனிதகுலத்தின் நன்மைக்காக.
"00:20:00,449 --> 00:20:01,908",You want to try it back there?,அங்கு மீண்டும் முயற்சிக்க விரும்புகிறீர்களா?
"00:20:02,743 --> 00:20:04,286",So is that it?,அப்படியானால் அதுவா?
"00:20:04,453 --> 00:20:08,873",Yes. My design to initiate and sustain fusion.,ஆம். தொடங்குவதற்கான எனது வடிவமைப்பு மற்றும் இணைவைத் தக்கவைக்கும்.
"00:20:09,292 --> 00:20:12,168",I understand you use harmonics of atomic frequencies.,நீங்கள் ஹார்மோனிக்ஸ் பயன்படுத்துகிறீர்கள் என்பது எனக்குப் புரிகிறது அணு அதிர்வெண்கள்.
"00:20:12,336 --> 00:20:13,712",Sympathetic frequencies.,அனுதாப அலைவரிசைகள்.
"00:20:13,879 --> 00:20:15,922",Harmonic reinforcement?,ஹார்மோனிக் வலுவூட்டல்?
"00:20:16,257 --> 00:20:17,966",Go on.,தொடருங்கள்.
"00:20:18,551 --> 00:20:22,095",An exponential increase in energy output.,ஒரு அதிவேக அதிகரிப்பு ஆற்றல் வெளியீட்டில்.
"00:20:22,263 --> 00:20:23,930",A huge amount of energy.,ஒரு பெரிய அளவு ஆற்றல்.
"00:20:24,098 --> 00:20:28,268",Like a perpetual sun providing renewable power for the whole world.,ஒரு நிரந்தர சூரியன் வழங்குவது போல உலகம் முழுவதும் புதுப்பிக்கத்தக்க ஆற்றல்.
"00:20:28,436 --> 00:20:31,646",Are you sure you could stabilise the fusion reaction?,நீங்கள் உறுதியாக இருக்க முடியும் இணைவு எதிர்வினை?
"00:20:31,814 --> 00:20:35,150","Peter, what have we been talking about for the last hour and a half?","பீட்டர், என்ன பேசிக்கொண்டிருக்கிறோம் கடந்த ஒன்றரை மணி நேரம் பற்றி?"
"00:20:35,818 --> 00:20:37,652",This is my life's work.,இது என் வாழ்க்கையின் வேலை.
"00:20:37,945 --> 00:20:41,156",I certainly know the consequences of the slightest miscalculation.,பின்விளைவுகளை நான் நிச்சயமாக அறிவேன் சிறிய தவறான கணக்கீடு.
"00:20:41,324 --> 00:20:43,616",I'm sorry. I didn't mean to question you.,என்னை மன்னிக்கவும். நான் உன்னைக் கேள்வி கேட்க விரும்பவில்லை.
"00:20:43,784 --> 00:20:47,162","Rosie, our new friend thinks I'm gonna blow up the city.","ரோஸி, எங்கள் புதிய தோழி நினைக்கிறாள் நான் நகரத்தை வெடிக்கச் செய்வேன்."
"00:20:47,330 --> 00:20:49,164",You can sleep soundly tonight.,இன்றிரவு நீங்கள் நிம்மதியாக தூங்கலாம்.
"00:20:49,332 --> 00:20:51,041",Otto's done his homework.,ஓட்டோ தனது வீட்டுப்பாடத்தை முடித்தார்.
"00:20:51,208 --> 00:20:54,336","Come to the demonstration tomorrow, and you'll see for yourself.",நாளை ஆர்ப்பாட்டத்திற்கு வாருங்கள். மற்றும் நீங்களே பார்ப்பீர்கள்.
"00:20:54,795 --> 00:20:57,005","And you need to sleep soundly tonight, Otto.","மற்றும் உங்களுக்கு வேண்டும் இன்றிரவு நன்றாக தூங்க, ஓட்டோ."
"00:20:57,173 --> 00:20:59,341",Did Edison sleep before he turned on the light?,எடிசன் தூங்கினாரா? அவர் விளக்கை ஏற்றுவதற்கு முன்?
"00:20:59,800 --> 00:21:02,135",Did Marconi sleep before he turned on the radio?,மார்கோனி தூங்கினாரா அவர் வானொலியை இயக்குவதற்கு முன்?
"00:21:02,303 --> 00:21:04,429",Did Beethoven sleep before he wrote the 5th?,பீத்தோவன் தூங்கினாரா? அவர் 5 வது எழுதுவதற்கு முன்?
"00:21:04,597 --> 00:21:07,891",Did Bernoulli sleep before he found the curves of quickest descent?,பெர்னூலி அவர் கண்டுபிடிக்கும் முன் தூங்கினாரா? விரைவான வம்சாவளியின் வளைவுகள்?
"00:21:08,059 --> 00:21:10,560","Rosie, l love this boy.","ரோஸி, நான் இந்த பையனை விரும்புகிறேன்."
"00:21:10,728 --> 00:21:14,522","Peter, tell us about yourself. Do you have a girlfriend?","பீட்டர், உங்களைப் பற்றி எங்களிடம் கூறுங்கள். உனக்கு காதலி இருக்கிறாளா?"
"00:21:15,566 --> 00:21:17,150",Well....,சரி....
"00:21:18,235 --> 00:21:19,652",I don't really know.,எனக்கு உண்மையில் தெரியாது.
"00:21:19,820 --> 00:21:22,906","Well, shouldn't you know? I mean, who would know?","சரி, உங்களுக்குத் தெரிய வேண்டாமா? அதாவது, யாருக்குத் தெரியும்?"
"00:21:23,157 --> 00:21:26,117",Leave him alone. Maybe it's a secret love.,அவனை விட்டுவிடு. ஒருவேளை அது ரகசிய காதலாக இருக்கலாம்.
"00:21:26,285 --> 00:21:28,203",Love should never be a secret.,காதல் ஒருபோதும் ரகசியமாக இருக்கக்கூடாது.
"00:21:28,371 --> 00:21:31,623",If you keep something as complicated as love stored up inside...,நீங்கள் சிக்கலான ஒன்றை வைத்திருந்தால் உள்ளுக்குள் காதல் சேமித்து வைத்தது போல...
"00:21:32,375 --> 00:21:34,000",...gonna make you sick.,...உன்னை நோயுறச் செய்யும்.
"00:21:34,585 --> 00:21:36,419",I finally got lucky in love.,கடைசியில் காதலில் எனக்கு அதிர்ஷ்டம் கிடைத்தது.
"00:21:36,587 --> 00:21:37,921",We both did.,நாங்கள் இருவரும் செய்தோம்.
"00:21:38,089 --> 00:21:41,800",But it's hardly perfect. You have to work at it.,ஆனால் அது அரிதாகவே சரியானது. நீங்கள் அதில் வேலை செய்ய வேண்டும்.
"00:21:41,967 --> 00:21:45,678","I met him on the college steps, and l knew it wasn't going to be easy.",கல்லூரி படிக்கட்டில் அவரை சந்தித்தேன். அது எளிதாக இருக்காது என்று எனக்குத் தெரியும்.
"00:21:45,846 --> 00:21:49,099","He was studying science, and l was studying English literature.","அவர் அறிவியல் படித்தார், நான் ஆங்கில இலக்கியம் படித்துக் கொண்டிருந்தேன்."
"00:21:49,266 --> 00:21:52,435",That's right. l was trying to explain the theory of relativity.,அது சரி. நான் விளக்க முயன்றேன் சார்பியல் கோட்பாடு.
"00:21:52,603 --> 00:21:55,105",And Rosie was trying to explain T.S. Eliot.,ரோஸி முயற்சி செய்து கொண்டிருந்தாள் விளக்க டி.எஸ். எலியட்.
"00:21:56,399 --> 00:21:58,358",I still don't understand what he was talking about.,எனக்கு இன்னும் புரியவில்லை அவர் என்ன பேசினார்.
"00:21:58,526 --> 00:21:59,734","-Yes, you do. -l'm serious.",-சரி நீங்கள் செய்யுங்கள். - நான் தீவிரமாக இருக்கிறேன்.
"00:21:59,902 --> 00:22:03,446",T.S. Eliot is more complicated than advanced science.,டி.எஸ். எலியட் மிகவும் சிக்கலானவர் மேம்பட்ட அறிவியலை விட.
"00:22:04,031 --> 00:22:07,951","But if you want to get a woman to fall in love with you, feed her poetry.","ஆனால் நீங்கள் ஒரு பெண்ணை வீழ்த்த விரும்பினால் உன்னை காதலிக்கிறேன், அவள் கவிதைகளை ஊட்டி."
"00:22:08,411 --> 00:22:09,619",Poetry.,கவிதை.
"00:22:11,080 --> 00:22:12,288",Never fails.,ஒருபோதும் தோல்வியடையாது.
"00:22:16,919 --> 00:22:19,838",A tall and slender maiden All alone upon a prairie,ஒரு உயரமான மற்றும் மெல்லிய கன்னி புல்வெளியில் தனியாக
"00:22:20,005 --> 00:22:22,382",Brightest green were all her garments,பிரகாசமான பச்சை நிறமே அவளுடைய ஆடைகள்
"00:22:22,550 --> 00:22:24,926",And her hair was like the sunshine,அவளுடைய தலைமுடி சூரிய ஒளியைப் போல இருந்தது
"00:22:25,302 --> 00:22:27,971",Day by day he gazed upon her,நாளுக்கு நாள் அவளைப் பார்த்தான்
"00:23:25,196 --> 00:23:26,863",Rent!,வாடகை!
"00:23:28,741 --> 00:23:30,450",Where is my money?!,என் பணம் எங்கே?!
"00:23:56,101 --> 00:23:58,394",You seem jittery tonight.,இன்றிரவு நீங்கள் பதற்றமாக இருப்பதாகத் தெரிகிறது.
"00:23:58,562 --> 00:24:00,230",You never know who's coming.,யார் வருகிறார்கள் என்று உங்களுக்குத் தெரியாது.
"00:24:15,704 --> 00:24:18,665","Ladies, five minutes. Five minutes.","பெண்களே, ஐந்து நிமிடங்கள். ஐந்து நிமிடங்கள்."
"00:24:35,849 --> 00:24:37,183",How'd you do that?,நீங்கள் அதை எப்படி செய்தீர்கள்?
"00:24:40,187 --> 00:24:42,564","Work out, plenty of rest.","உடற்பயிற்சி, நிறைய ஓய்வு."
"00:24:42,731 --> 00:24:44,524","You know, eat your green vegetables.","உங்களுக்கு தெரியும், உங்கள் பச்சை காய்கறிகளை சாப்பிடுங்கள்."
"00:24:45,442 --> 00:24:48,945",That's what my mom is always saying. I just never actually believed her.,என் அம்மா எப்பொழுதும் சொல்வது இதைத்தான். நான் அவளை ஒருபோதும் நம்பவில்லை.
"00:24:51,740 --> 00:24:53,116",Come on. Go.,வா. போ.
"00:24:56,036 --> 00:24:57,453",Keep it steady.,அதை நிலையாக வைத்திருங்கள்.
"00:25:19,977 --> 00:25:21,477",It's a web.,இது ஒரு வலை.
"00:25:22,605 --> 00:25:24,314","Go, Spidey, go!","போ, ஸ்பைடி, போ!"
"00:25:32,323 --> 00:25:33,656",We got trouble!,எங்களுக்கு சிக்கல்!
"00:25:52,259 --> 00:25:54,218",Get me down!,என்னை வீழ்த்து!
"00:25:54,928 --> 00:25:57,764",I am more than content with what Mr. Moncrieff said.,நான் உள்ளடக்கத்தை விட அதிகம் திரு. Moncreeff சொன்னதுடன்.
"00:25:57,931 --> 00:26:01,225",His voice alone inspires one with absolute credulity.,அவரது குரல் மட்டுமே ஒருவரை ஊக்குவிக்கிறது முழுமையான நம்பகத்தன்மையுடன்.
"00:26:01,393 --> 00:26:03,519",Then you think we should forgive them?,பிறகு நாங்கள் வேண்டும் என்று நினைக்கிறீர்கள் அவர்களை மன்னிக்கவா?
"00:26:06,398 --> 00:26:08,066",Yes.,ஆம்.
"00:26:08,567 --> 00:26:10,068","I mean, no.","அதாவது, இல்லை."
"00:26:14,365 --> 00:26:18,660","Hey. Hey. Hey, chief. You park there, I'm towing it.","ஏய். ஏய். ஏய், தலைவரே. நீ அங்கே நிறுத்து, நான் இழுத்து வருகிறேன்."
"00:26:19,328 --> 00:26:20,662",Whatever.,எதுவாக.
