en_dialogue,Timeline,tamil_dialogue
"ROBB: Doctor, your, uh... your time in Europe,","00:13:01,349 --> 00:13:03,718","ராப்: டாக்டர், உங்கள், ஓ... ஐரோப்பாவில் உங்கள் நேரம்,"
you seemed to meet with a wide range,"00:13:03,751 --> 00:13:05,320",நீங்கள் சந்திப்பது போல் இருந்தது பரந்த அளவிலான
of other countries' physicists.,"00:13:05,353 --> 00:13:06,788",மற்ற நாடுகளின் இயற்பியலாளர்கள்.
"Yes, that's right.","00:13:06,822 --> 00:13:07,823","ஆம், அது சரிதான்."
Any Russians?,"00:13:07,856 --> 00:13:10,124",ரஷ்யர்கள் யாராவது?
None that spring to mind.,"00:13:11,192 --> 00:13:12,627",எதுவும் நினைவுக்கு வரவில்லை.
If you'll just allow me to continue with my statement...,"00:13:12,660 --> 00:13:15,563",நீங்கள் என்னை அனுமதித்தால் போதும் எனது அறிக்கையுடன் தொடரவும்...
"Mr. Robb, you'll have ample opportunity to cross-examine.","00:13:15,597 --> 00:13:18,566","மிஸ்டர். ராப், உங்களுக்கு போதுமான அளவு கிடைக்கும் குறுக்கு விசாரணை செய்ய வாய்ப்பு."
"ROBERT: After Göttingen, I moved on to Leiden in Holland","00:13:20,803 --> 00:13:23,738","ராபர்ட்: கோட்டிங்கனுக்குப் பிறகு, ஐ ஹாலந்தில் உள்ள லைடனுக்கு சென்றார்"
<i>where I first met Isidor Rabi.</i>,,
(clears throat) Excuse me.,"00:13:26,842 --> 00:13:29,344",(தொண்டையை அடைக்கிறது) மன்னிக்கவும்.
(grunts),"00:13:29,377 --> 00:13:30,478",(முணுமுணுப்பு)
(sighs),"00:13:32,380 --> 00:13:33,247",(பெருமூச்சு)
"A Yank, lecturing on the new physics?","00:13:33,281 --> 00:13:35,617","ஒரு யாங்க், விரிவுரை புதிய இயற்பியல் பற்றி?"
This I have to hear.,"00:13:35,650 --> 00:13:36,718",இதை நான் கேட்க வேண்டும்.
I'm an American myself.,"00:13:36,751 --> 00:13:38,786",நானே ஒரு அமெரிக்கன்.
How surprising.,"00:13:38,821 --> 00:13:40,321",எவ்வளவு ஆச்சரியம்.
Um...,"00:13:40,355 --> 00:13:41,422",உம்...
Let me know if you need any help with the English.,"00:13:41,456 --> 00:13:43,725",உங்களுக்குத் தேவைப்பட்டால் எனக்குத் தெரியப்படுத்துங்கள் ஆங்கிலத்தில் ஏதேனும் உதவி.
(scattered laughter),"00:13:45,259 --> 00:13:48,162",(சிரிந்த சிரிப்பு)
(speaking Dutch),"00:13:50,732 --> 00:13:53,401",(டச்சு மொழி பேசும்)
"Wait, what's he saying?","00:13:57,705 --> 00:13:59,674","காத்திருங்கள், அவர் என்ன சொல்கிறார்?"
(door opens),"00:14:02,777 --> 00:14:05,279",(கதவு திறக்கிறது)
(Rabi grunts),"00:14:07,850 --> 00:14:09,283",(ரபி முணுமுணுக்கிறார்)
"No, thank you.","00:14:10,218 --> 00:14:11,252","பரவாயில்லை, நன்றி."
It's a long way to Zurich.,"00:14:11,285 --> 00:14:13,254",சூரிச்சிற்கு வெகு தொலைவில் உள்ளது.
"You get any skinnier, we're gonna lose you","00:14:13,287 --> 00:14:14,927","நீங்கள் ஒல்லியாக இருப்பீர்கள், நாங்கள் உன்னை இழப்போம்"
between the seat cushions.,"00:14:14,957 --> 00:14:16,791",இருக்கை மெத்தைகளுக்கு இடையில்.
I'm Rabi.,"00:14:16,825 --> 00:14:17,860",நான் ரபி.
Oppenheimer.,"00:14:17,893 --> 00:14:19,260",ஓபன்ஹெய்மர்.
I caught your lecture on molecules.,"00:14:19,293 --> 00:14:21,329",நான் உன்னைப் பிடித்தேன் மூலக்கூறுகள் பற்றிய விரிவுரை.
Caught some of it.,"00:14:21,362 --> 00:14:22,497",அதில் சிலவற்றைப் பிடித்தார்.
We're a couple of New York Jews. How do you know Dutch?,"00:14:23,631 --> 00:14:25,800",நாங்கள் ஒரு ஜோடி நியூயார்க் யூதர்கள். உங்களுக்கு டச்சு மொழி எப்படி தெரியும்?
"Well, I thought I'd better learn it","00:14:25,834 --> 00:14:27,402","சரி, நான் நினைத்தேன் நான் அதை கற்றுக்கொள்வது நல்லது"
when I got here this semester.,"00:14:27,435 --> 00:14:28,612",நான் இந்த செமஸ்டர் வந்ததும்.
You learned enough Dutch in six weeks,"00:14:28,636 --> 00:14:30,238",நீங்கள் கற்றுக் கொண்டது போதும் ஆறு வாரங்களில் டச்சு
to give a lecture on quantum mechanics?,"00:14:30,271 --> 00:14:31,974",ஒரு விரிவுரை வழங்க வேண்டும் குவாண்டம் இயக்கவியல்?
Wanted to challenge myself.,"00:14:32,007 --> 00:14:33,508",எனக்கு நானே சவால் விட விரும்பினேன்.
Quantum physics wasn't challenging enough.,"00:14:33,541 --> 00:14:35,911",குவாண்டம் இயற்பியல் இல்லை போதுமான சவால்.
<i>- Schvitzer. - Schvitzer?</i>,,
- Show-off. - (chuckles),"00:14:37,712 --> 00:14:39,614",- ஷோ-ஆஃப். - (சிரிக்கிறார்)
"Dutch in six weeks, but you never learned Yiddish?","00:14:39,647 --> 00:14:41,492","ஆறு வாரங்களில் டச்சு, ஆனால் நீங்கள் இத்திஷ் கற்கவில்லையா?"
They don't speak it so much my side of the park.,"00:14:41,516 --> 00:14:43,584",அவர்கள் அப்படி பேசுவதில்லை பூங்காவின் என் பக்கம் அதிகம்.
Screw you.,"00:14:43,618 --> 00:14:44,686",திருக்குறள்.
You homesick?,"00:14:45,787 --> 00:14:47,288",நீங்கள் வீடற்றவரா?
"Oh, you know it.","00:14:47,321 --> 00:14:48,723","ஓ, உங்களுக்குத் தெரியும்."
Ever get the feeling our kind isn't entirely welcome here?,"00:14:49,691 --> 00:14:52,694",எப்பொழுதும் நம் வகையான உணர்வைப் பெறுங்கள் இங்கு முற்றிலும் வரவேற்கப்படவில்லையா?
Physicists?,"00:14:52,727 --> 00:14:53,795",இயற்பியலாளர்களா?
'S funny.,"00:14:53,829 --> 00:14:55,329",வேடிக்கையானது.
Not in the department.,"00:14:55,363 --> 00:14:57,432",துறையில் இல்லை.
They're all Jewish too.,"00:14:57,465 --> 00:14:58,766",அவர்களும் யூதர்கள்.
Eat.,"00:15:00,869 --> 00:15:02,270",சாப்பிடு.
There's a German you have to seek out.,"00:15:04,572 --> 00:15:06,708",நீ ஒரு ஜெர்மன் தேட வேண்டும்.
- Heisenberg. - Right.,"00:15:07,742 --> 00:15:10,278",- ஹைசன்பெர்க். - சரி.
(Heisenberg speaking German),"00:15:12,346 --> 00:15:14,682",(ஹைசன்பெர்க் ஜெர்மன் பேசுகிறார்)
One might be led to the presumption,"00:15:19,454 --> 00:15:20,956",ஒருவர் வழிநடத்தப்படலாம் அனுமானத்திற்கு
"that behind the quantum world,","00:15:20,989 --> 00:15:23,458",குவாண்டம் உலகின் பின்னால்
"there still hides a real world in which causality holds,","00:15:23,491 --> 00:15:27,361","இன்னும் ஒரு நிஜ உலகம் மறைகிறது இதில் காரணகாரியம் உள்ளது,"
"but such speculation seem to us,","00:15:27,395 --> 00:15:29,597",ஆனால் அத்தகைய ஊகம் நமக்குத் தோன்றுகிறது
"to say it explicitly, fruitless. Thank you.","00:15:29,630 --> 00:15:32,366","அதை வெளிப்படையாக சொல்ல, பலனற்ற. நன்றி."
Have a great day.,"00:15:32,400 --> 00:15:33,836",இந்த நாள் இனிதாகட்டும்.
- Wonderful. - Thank you.,"00:15:39,041 --> 00:15:40,742",- அற்புதம். - நன்றி.
"Oppenheimer, yes.","00:15:42,044 --> 00:15:43,979","ஓபன்ஹைமர், ஆம்."
I liked your paper on molecules.,"00:15:44,012 --> 00:15:45,881",மூலக்கூறுகள் பற்றிய உங்கள் கட்டுரை எனக்குப் பிடித்திருந்தது.
Probably because you inspired it.,"00:15:45,914 --> 00:15:47,415",ஒருவேளை ஏனெனில் நீங்கள் அதை ஊக்கப்படுத்தினீர்கள்.
"If I inspire anything else, let me know.","00:15:47,448 --> 00:15:48,960","நான் எதையும் தூண்டினால் இல்லையெனில், எனக்கு தெரியப்படுத்துங்கள்."
We could publish together.,"00:15:48,984 --> 00:15:50,024",நாம் சேர்ந்து வெளியிடலாம்.
I have to get back to America.,"00:15:50,052 --> 00:15:51,887",நான் அமெரிக்கா திரும்ப வேண்டும்.
Why? There's no one there,"00:15:51,920 --> 00:15:53,654",ஏன்? அங்கே யாரும் இல்லை
taking quantum mechanics seriously.,"00:15:53,688 --> 00:15:55,891",குவாண்டம் எடுத்து இயக்கவியல் தீவிரமாக.
- That's exactly why. - (sighs),"00:15:55,924 --> 00:15:57,525",- அதனால் தான். - (பெருமூச்சு)
He's pining for the canyons of Manhattan.,"00:15:57,558 --> 00:15:59,995",அவர் பாடுபடுகிறார் மன்ஹாட்டனின் பள்ளத்தாக்குகள்.
ROBERT: Canyons of New Mexico.,"00:16:00,028 --> 00:16:02,463",ராபர்ட்: நியூ மெக்ஸிகோவின் பள்ளத்தாக்குகள்.
- You're from New Mexico? - No.,"00:16:02,497 --> 00:16:03,640",- நீங்கள் நியூ மெக்சிகோவைச் சேர்ந்தவரா? - இல்லை.
"New York, but my brother and I have a ranch","00:16:03,664 --> 00:16:05,767","நியூயார்க், ஆனால் என் சகோதரர் எனக்கு ஒரு பண்ணை உள்ளது"
outside Santa Fe. (inhales),"00:16:05,800 --> 00:16:07,903",சாண்டா ஃபேக்கு வெளியே. (உள்ளிழுக்கிறது)
That's the America I miss right now.,"00:16:07,936 --> 00:16:10,304",அதுதான் அமெரிக்கா நான் இப்போது மிஸ் செய்கிறேன்.
"Then it's best you get home, cowboys.","00:16:10,338 --> 00:16:12,406","அப்படியானால் நீங்கள் தான் சிறந்தது கவ்பாய்ஸ், வீட்டிற்குச் செல்லுங்கள்."
- (Robert chuckles) - (chuckles) That's him.,"00:16:12,440 --> 00:16:14,052",- (ராபர்ட் சிரிக்கிறார்) - (சிரிக்கிறார்) அது அவர்தான்.
"No, me and horses. I don't think so.","00:16:14,076 --> 00:16:17,512","இல்லை, நானும் குதிரைகளும். நான் அப்படி நினைக்கவில்லை."
- (Rabi chuckles) - Nice to meet you.,"00:16:17,545 --> 00:16:19,680",- (ரபி சிரிக்கிறார்) - உங்களை சந்தித்ததில் மகிழ்ச்சி.
Did you ever encounter Heisenberg again?,"00:16:21,415 --> 00:16:23,551",நீங்கள் எப்போதாவது சந்தித்திருக்கிறீர்களா மீண்டும் ஹைசன்பெர்க்?
