en_dialogue,Timeline,tamil_dialogue
Yes. Those blue stripes they don't make you bigger bro.,"00:20:10,294 --> 00:20:12,754",ஆம். அந்த நீல நிற கோடுகள் அவர்கள் உங்களை பெரிதாக்கவில்லை அண்ணா.
"Yes, I can still beat you up.","00:20:13,338 --> 00:20:14,882","ஆம், என்னால் இன்னும் உன்னை வெல்ல முடியும்."
What a day. - Long.,"00:20:18,719 --> 00:20:20,429",என்ன ஒரு நாள். - நீண்ட.
"Really hilarious, folks. But you know what's really horrible?","00:20:23,599 --> 00:20:26,518","மிகவும் வேடிக்கையாக உள்ளது, மக்களே. ஆனால் உண்மையில் என்ன கொடுமை தெரியுமா?"
"You can breathe earth air for hours,","00:20:26,553 --> 00:20:28,312","நீங்கள் சுவாசிக்க முடியும் மணிக்கணக்கில் பூமி காற்று,"
and I can inhale yours air for ten seconds.,"00:20:28,687 --> 00:20:31,023",நான் உன்னுடைய சுவாசத்தை உள்ளிழுக்க முடியும் பத்து வினாடிகள் காற்று.
"Yes, Monkey, that's really awful.","00:20:31,064 --> 00:20:33,317","ஆம், குரங்கு, அது மிகவும் மோசமானது."
For you.,"00:20:33,734 --> 00:20:35,244",உங்களுக்காக.
"Bye, Max. - Hi, kids.","00:20:41,700 --> 00:20:43,194","வருகிறேன், மேக்ஸ். - வணக்கம், குழந்தைகள்."
"Bye. What's up, Max?","00:20:43,195 --> 00:20:44,654","விடைபெறுகிறேன். என்ன விஷயம், மேக்ஸ்?"
"What's up, Norm?","00:20:44,655 --> 00:20:46,165","என்ன, நார்ம்?"
Hi Mom.,"00:20:51,460 --> 00:20:53,003",வணக்கம் அம்மா.
Maybe I'm just going crazy here but I see actual proof,"00:21:03,055 --> 00:21:07,142",ஒருவேளை நான் இங்கே பைத்தியமாகப் போகிறேன் ஆனால் நான் உண்மையான ஆதாரத்தைக் காண்கிறேன்
systematic response on a global level.,"00:21:07,476 --> 00:21:11,522",முறையான பதில் உலகளாவிய அளவில்.
Can not...,"00:21:12,022 --> 00:21:13,532",முடியாது...
"I will not use the term ""intelligence."" It is...","00:21:14,274 --> 00:21:17,069","""உளவுத்துறை"" என்ற வார்த்தையை நான் பயன்படுத்த மாட்டேன். இது..."
"Perhaps ""awareness"" is a better word. 2 3 4 00:21:21,406 --> 00:21:26,537 It's like she's whole biosphere Pandora conscious",,
and capable of such cognitive reaction.,"00:21:26,954 --> 00:21:30,207",மற்றும் அத்தகைய திறன் கொண்டது அறிவாற்றல் எதிர்வினை.
"Shit, I can't say that.","00:21:32,334 --> 00:21:34,211","பாவம், அதை என்னால் சொல்ல முடியாது."
He will crucify me.,"00:21:34,419 --> 00:21:35,929",அவர் என்னை சிலுவையில் அறைவார்.
I must say...,"00:21:36,088 --> 00:21:37,547",நான் சொல்ல வேண்டும்...
Who do you think pumped her up?,"00:21:37,548 --> 00:21:40,474",அவளை உயர்த்தியது யார் என்று நினைக்கிறீர்கள்?
I'm pretty sure it was Norm. -100%.,"00:21:40,509 --> 00:21:44,471",அது இயல்பானது என்று நான் உறுதியாக நம்புகிறேன். -100%.
You two don't deserve to live. -No no. Think about that.,"00:21:44,513 --> 00:21:47,474",நீங்கள் இருவரும் வாழத் தகுதியற்றவர்கள். - இல்லை இல்லை. என்று யோசியுங்கள்.
He is the teacher's pet. He is always with her in the laboratory.,"00:21:47,516 --> 00:21:50,477",அவர் ஆசிரியரின் செல்லப்பிள்ளை. அவர் எப்போதும் அவளுடன் ஆய்வகத்தில் இருக்கிறார்.
I would kill myself. I would drink acid.,"00:21:50,519 --> 00:21:54,481",நானே கொன்றுவிடுவேன். நான் ஆசிட் குடிப்பேன்.
"Bro, you are right. He is on everyone recording. Brother, look how he's looking at her.","00:21:54,523 --> 00:21:59,486","அண்ணா நீங்கள் சொல்வது சரிதான். அவர் எல்லோர் மீதும் இருக்கிறார் பதிவு. தம்பி, அவன் அவளை எப்படிப் பார்க்கிறான் என்று பார்."
"I mean, their two avatars they were in the forest alone...","00:22:00,529 --> 00:22:05,075","அதாவது, அவர்களின் இரண்டு அவதாரங்கள் அவர்கள் தனியாக காட்டில் இருந்தார்கள்."
Bullshit! - People.,"00:22:05,117 --> 00:22:07,417",முட்டாள்தனம்! - மக்கள்.
Sometimes it's not so great know who your father is.,"00:22:07,452 --> 00:22:10,497",சில நேரங்களில் அது அவ்வளவு சிறப்பாக இருக்காது உன் தந்தை யார் என்று தெரியும்.
No preference. I don't even remember him.,"00:22:15,502 --> 00:22:18,463",விருப்பம் இல்லை. எனக்கு அவரை நினைவில் கூட இல்லை.
"No, Spider. - Mate.","00:22:18,505 --> 00:22:20,465","இல்லை, ஸ்பைடர். - தோழி."
Spiders...,"00:22:20,507 --> 00:22:23,510",சிலந்திகள்...
You are not him.,"00:22:23,545 --> 00:22:26,513",நீ அவன் இல்லை.
BRIDGEHEAD CITY,"00:22:34,479 --> 00:22:37,482",பிரிட்ஜ்ஹெட் நகரம்
Go! Straight to the terminal.,"00:23:05,511 --> 00:23:08,472",போ! நேராக முனையத்திற்கு.
Don't stop you!,"00:23:08,514 --> 00:23:11,517",உன்னைத் தடுக்காதே!
Take off the masks.,"00:23:14,520 --> 00:23:16,480",முகமூடிகளை கழற்றவும்.
"Sir, this is the general.","00:23:20,484 --> 00:23:23,487","ஐயா, இவர்தான் ஜெனரல்."
General Ardmore.,"00:23:32,496 --> 00:23:34,006",ஜெனரல் ஆர்ட்மோர்.
"I'm glad, Colonel. I've heard good things,","00:23:34,498 --> 00:23:38,460","நான் மகிழ்ச்சியடைகிறேன், கர்னல். நான் நல்ல விஷயங்களைக் கேட்டேன்,"
but a lot has changed since your last service here.,"00:23:38,502 --> 00:23:41,213",ஆனால் நிறைய மாறிவிட்டது இங்கே உங்கள் கடைசி சேவையிலிருந்து.
Take a walk with me.,"00:23:41,248 --> 00:23:42,758",என்னுடன் நடந்து செல்லுங்கள்.
The new operations center is here. It just worked.,"00:23:45,509 --> 00:23:49,471",புதிய செயல்பாட்டு மையம் இங்கே உள்ளது. அது வேலை செய்தது.
These editors can build a building in 6 days.,"00:23:49,513 --> 00:23:53,475",இந்த ஆசிரியர்களால் முடியும் 6 நாட்களில் கட்டிடம் கட்ட வேண்டும்.
We have done more in a year than for the previous 30.,"00:23:53,517 --> 00:23:58,438",ஒரு வருடத்தில் இன்னும் அதிகமாக செய்துள்ளோம் முந்தைய 30 ஐ விட.
"We're not here to run a mine, Colonel.","00:23:58,522 --> 00:24:00,691","கர்னல், சுரங்கத்தை நடத்த நாங்கள் இங்கு வரவில்லை."
As a planetary commander I have a more important mission.,"00:24:01,191 --> 00:24:04,528",கிரக தளபதியாக எனக்கு இன்னும் முக்கியமான பணி உள்ளது.
The earth is dying.,"00:24:09,491 --> 00:24:11,458",பூமி இறந்து கொண்டிருக்கிறது.
Our task is to subdue this wilderness.,"00:24:11,493 --> 00:24:15,462",நமது பணி இந்த வனப்பகுதியை அடக்க வேண்டும்.
The goal is to make Pandora a new home for humanity.,"00:24:15,497 --> 00:24:20,502",பண்டோராவை உருவாக்குவதே குறிக்கோள் மனிதகுலத்திற்கு ஒரு புதிய வீடு.
"But before we can do that, we must pacify the enemies.","00:24:21,503 --> 00:24:26,508","ஆனால் அதைச் செய்வதற்கு முன், நாம் எதிரிகளை சமாதானப்படுத்த வேண்டும்."
Sali's attacks they become bolder and more frequent.,"00:24:28,510 --> 00:24:32,472",சாலியின் தாக்குதல்கள் அவர்கள் தைரியமான மற்றும் அடிக்கடி ஆக.
His attacks are well planned.,"00:24:32,514 --> 00:24:34,398",அவரது தாக்குதல்கள் நன்கு திட்டமிடப்பட்டவை.
It has good coordination between of its ground and air troops.,"00:24:34,433 --> 00:24:37,352",இடையே நல்ல ஒருங்கிணைப்பு உள்ளது அதன் தரை மற்றும் விமானப் படைகள்.
His troops they attack our remote places.,"00:24:37,519 --> 00:24:40,112",அவரது படைகள் அவர்கள் எங்கள் தொலைதூர இடங்களைத் தாக்குகிறார்கள்.
"Mines, pipelines, cutting our supply chain.","00:24:40,147 --> 00:24:43,400","சுரங்கங்கள், குழாய்கள், எங்கள் விநியோகச் சங்கிலியை வெட்டுகிறோம்."
They attacked the maglev two days ago.,"00:24:43,525 --> 00:24:47,487",இரண்டு நாட்களுக்கு முன்பு அவர்கள் மக்லேவ் மீது தாக்குதல் நடத்தினர்.
Some information about Sally's operative base? -Yes. Show me the mountains.,"00:24:51,492 --> 00:24:56,497",சாலியின் செயல்பாட்டாளர் பற்றிய சில தகவல்கள் அடிப்படை? -ஆம். மலைகளைக் காட்டு.
It is a cave system in the Hallelujah Mountains somewhere.,"00:24:57,498 --> 00:25:00,501",இது ஒரு குகை அமைப்பு எங்கோ ஹல்லேலூஜா மலைகளில்.
"But every time we send ours troops up there, we are suffering losses.","00:25:02,503 --> 00:25:06,507","ஆனால் ஒவ்வொரு முறையும் நாங்கள் எங்களுடையதை அனுப்புகிறோம் அங்குள்ள துருப்புக்கள், நாங்கள் இழப்பை சந்திக்கிறோம்."
Our machines dig up the hornet's nest.,"00:25:07,508 --> 00:25:10,511",எங்கள் இயந்திரங்கள் ஹார்னெட்டின் கூட்டை தோண்டி எடுக்கின்றன.
After 10 minutes in the enemy airspace they overwhelm us.,"00:25:11,512 --> 00:25:15,516",எதிரியில் 10 நிமிடங்களுக்குப் பிறகு வான்வெளியில் அவர்கள் நம்மை மூழ்கடிக்கிறார்கள்.
"Colonel, we believe yours will The blue team will be accepted as the home team","00:25:17,518 --> 00:25:21,438","கர்னல், உங்கள் விருப்பம் என்று நாங்கள் நம்புகிறோம் நீல அணி சொந்த அணியாக ஏற்றுக்கொள்ளப்படும்"
and will not cause an immune response.,"00:25:21,480 --> 00:25:24,483",மற்றும் நோய் எதிர்ப்பு சக்தியை ஏற்படுத்தாது.
"And how can we test that hypothesis, general?","00:25:24,525 --> 00:25:27,486","மற்றும் நாம் எப்படி சோதிக்க முடியும் அந்த கருதுகோள், பொதுவானதா?"
In a hard way.,"00:25:28,487 --> 00:25:30,489",கடினமான வழியில்.
Excellent.,"00:25:31,490 --> 00:25:33,492",சிறப்பானது.
We are entering the hostile air space. -I understand.,"00:25:46,505 --> 00:25:50,509",நாங்கள் பகைக்குள் நுழைகிறோம் காற்று இடம். - எனக்கு புரிகிறது.
"Brother! - Come on, Monkey! - People, wait for me!","00:26:00,519 --> 00:26:03,480","தம்பி! - வா, குரங்கு! - மக்களே, எனக்காக காத்திருங்கள்!"
"Tuk, keep up. -OK OK.","00:26:40,517 --> 00:26:44,438","துக், தொடருங்கள். - சரி சரி."
"Bro, why did you even take her?","00:26:44,479 --> 00:26:46,481","அண்ணா, நீ ஏன் அவளை அழைத்துச் சென்றாய்?"
"She is a real robber. Says, ""I will say. You must not go to the battlefield.""","00:26:46,523 --> 00:26:51,486","அவள் ஒரு உண்மையான கொள்ளைக்காரி. கூறுகிறார், ""சொல்கிறேன். நீங்கள் போர்க்களத்திற்கு செல்லக்கூடாது."""
"""I'll tell mom if you don't take me."" - Don't tease her.","00:26:51,521 --> 00:26:54,364","""என்னை அழைத்துச் செல்லாவிட்டால் நான் அம்மாவிடம் சொல்கிறேன்."" - அவளை கிண்டல் செய்யாதே."
Come on. - Crazy!,"00:26:56,533 --> 00:26:59,953",வாருங்கள். - பைத்தியம்!
"Are there any corpses up there? -Brother, look at this. Come on.","00:27:01,455 --> 00:27:04,124","அங்கே ஏதாவது சடலங்கள் உள்ளனவா? - தம்பி, இதைப் பார். வாருங்கள்."
Fuck it.,"00:27:49,002 --> 00:27:50,512",ஃபக் இட்.
Curry? Kiri.,"00:28:00,514 --> 00:28:03,517",கறி? கிரி.
Kiri... Kiri.,"00:28:06,520 --> 00:28:08,480",கிரி... கிரி.
Kiri.,"00:28:10,190 --> 00:28:11,775",கிரி.
"Are you OK? - I did that again, didn't I?","00:28:15,487 --> 00:28:19,491","நீங்கள் நலமா? - நான் அதை மீண்டும் செய்தேன், இல்லையா?"
Yes you are.,"00:28:19,526 --> 00:28:21,493",ஆம் நீங்கள் தான்.
Kiri! - Kiri!,"00:28:22,494 --> 00:28:24,461",கிரி! - கிரி!
"Kiri, we have to go back. -Okay, come on.","00:28:24,496 --> 00:28:26,498","கிரி, நாம் திரும்பிச் செல்ல வேண்டும். - சரி, வா."
What is that?,"00:28:32,379 --> 00:28:34,339",அது என்ன?
We should always be at home before the eclipse.,"00:28:34,381 --> 00:28:37,384",நாம் எப்போதும் இருக்க வேண்டும் கிரகணத்திற்கு முன் வீட்டில்.
