en_dialogue,Timeline,kannada_dialogue
"Rose: There, that's nice.","00:14:21,874 --> 00:14:24,308","ಗುಲಾಬಿ: ಅಲ್ಲಿ, ಅದು ಚೆನ್ನಾಗಿದೆ."
Have to have my pictures when I travel.,"00:14:24,394 --> 00:14:26,988",ನಾನು ಪ್ರಯಾಣಿಸುವಾಗ ನನ್ನ ಚಿತ್ರಗಳನ್ನು ಹೊಂದಿರಬೇಕು.
Is there anything you'd like?,"00:14:27,074 --> 00:14:29,542",ನೀವು ಬಯಸುವ ಏನಾದರೂ ಇದೆಯೇ?
Yes.,"00:14:31,154 --> 00:14:32,587",ಹೌದು.
I would like to see my drawing.,"00:14:32,674 --> 00:14:35,188",ನನ್ನ ರೇಖಾಚಿತ್ರವನ್ನು ನೋಡಲು ನಾನು ಬಯಸುತ್ತೇನೆ.
"Brock: Louis XVI wore a fabulous stone, the Blue Diamond of the Crown,...","00:14:47,354 --> 00:14:52,587","ಬ್ರಾಕ್: ಲೂಯಿಸ್ XVI ಅಸಾಧಾರಣ ಕಲ್ಲು ಧರಿಸಿದ್ದರು, ಕಿರೀಟದ ನೀಲಿ ವಜ್ರ,..."
..which disappeared in 1792.,"00:14:52,674 --> 00:14:55,586",..ಇದು 1792 ರಲ್ಲಿ ಕಣ್ಮರೆಯಾಯಿತು.
"About that time old Louis lost everything, from the neck up.","00:14:55,674 --> 00:14:59,303",ಆ ಸಮಯದಲ್ಲಿ ಹಳೆಯ ಲೂಯಿಸ್ ಕುತ್ತಿಗೆಯಿಂದ ಹಿಡಿದು ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಂಡರು.
"The theory goes that the Crown Diamond was chopped, too.","00:14:59,394 --> 00:15:03,831",ಸಿದ್ಧಾಂತವು ಹೋಗುತ್ತದೆ ಕ್ರೌನ್ ಡೈಮಂಡ್ ಅನ್ನು ಸಹ ಕತ್ತರಿಸಲಾಯಿತು.
"Recut into a heart shape that became known as ""The Heart of the Ocean"".","00:15:03,914 --> 00:15:07,987","ಆಯಿತು ಹೃದಯದ ಆಕಾರಕ್ಕೆ ಮರುಕಳಿಸಿ ""ಸಾಗರದ ಹೃದಯ"" ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ."
Today it'd be worth more than the Hope Diamond.,"00:15:08,074 --> 00:15:10,349",ಇಂದು ಅದು ಹೆಚ್ಚು ಮೌಲ್ಯಯುತವಾಗಿದೆ ಹೋಪ್ ಡೈಮಂಡ್‌ಗಿಂತ.
"It was a dreadful, heavy thing.","00:15:10,434 --> 00:15:12,743","ಇದು ಭಯಾನಕ, ಭಾರವಾದ ವಿಷಯವಾಗಿತ್ತು."
I only wore it this once.,"00:15:12,834 --> 00:15:15,587",ನಾನು ಇದನ್ನು ಒಮ್ಮೆ ಮಾತ್ರ ಧರಿಸಿದ್ದೇನೆ.
"You actually think this is you, Nana?","00:15:15,674 --> 00:15:17,869","ಇದು ನೀವೇ ಎಂದು ನೀವು ನಿಜವಾಗಿಯೂ ಯೋಚಿಸುತ್ತೀರಾ, ನಾನಾ?"
"It is me, dear.","00:15:17,954 --> 00:15:19,831","ಇದು ನಾನು, ಪ್ರಿಯ."
Wasn't I a dish?,"00:15:19,914 --> 00:15:21,905",ನಾನು ಭಕ್ಷ್ಯವಾಗಿರಲಿಲ್ಲವೇ?
I tracked it down through insurance records.,"00:15:23,274 --> 00:15:25,993",ನಾನು ಅದನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡಿದ್ದೇನೆ ವಿಮಾ ದಾಖಲೆಗಳ ಮೂಲಕ.
An old claim that was settled under terms of absolute secrecy.,"00:15:26,074 --> 00:15:29,703",ಹಳೆಯ ಹಕ್ಕು ಇತ್ಯರ್ಥವಾಯಿತು ಸಂಪೂರ್ಣ ಗೌಪ್ಯತೆಯ ನಿಯಮಗಳ ಅಡಿಯಲ್ಲಿ.
"Can you tell me who the claimant was, Rose?","00:15:29,794 --> 00:15:34,026","ನೀನು ನನಗೆ ಹೇಳಲು ಸಾಧ್ಯವೇ ಹಕ್ಕುದಾರ ಯಾರು, ರೋಸ್?"
I imagine someone named Hockley.,"00:15:34,114 --> 00:15:36,230",ನಾನು ಯಾರೋ ಹಾಕ್ಲಿ ಎಂದು ಊಹಿಸುತ್ತೇನೆ.
"Nathan Hockley, that's right.","00:15:36,314 --> 00:15:38,544","ನಾಥನ್ ಹಾಕ್ಲಿ, ಅದು ಸರಿ."
Pittsburgh steel tycoon.,"00:15:38,634 --> 00:15:40,590",ಪಿಟ್ಸ್‌ಬರ್ಗ್ ಉಕ್ಕಿನ ಉದ್ಯಮಿ.
The claim was for a necklace his son Caledon bought his fiancée - you -,"00:15:40,674 --> 00:15:45,464",ಅವನ ಮಗನಿಗೆ ಹಾರಕ್ಕಾಗಿ ಹಕ್ಕು ಕ್ಯಾಲೆಡನ್ ತನ್ನ ನಿಶ್ಚಿತ ವರನನ್ನು ಖರೀದಿಸಿದನು - ನೀವು -
..a week before he sailed on Titanic.,"00:15:45,554 --> 00:15:48,387",.. ಅವರು ಟೈಟಾನಿಕ್‌ನಲ್ಲಿ ಪ್ರಯಾಣಿಸುವ ಒಂದು ವಾರದ ಮೊದಲು.
"It was filed right after the sinking,...","00:15:48,474 --> 00:15:51,227","ಮುಳುಗಿದ ನಂತರ ಅದನ್ನು ಸಲ್ಲಿಸಲಾಯಿತು,..."
..so the diamond had to have gone down with the ship.,"00:15:51,314 --> 00:15:55,466",..ಆದ್ದರಿಂದ ವಜ್ರವು ಹೊಂದಬೇಕಿತ್ತು ಹಡಗಿನೊಂದಿಗೆ ಕೆಳಗೆ ಹೋದರು.
You see the date?,"00:15:56,914 --> 00:15:58,905",ನೀವು ದಿನಾಂಕವನ್ನು ನೋಡುತ್ತೀರಾ?
"""April 14, 1912.""","00:15:59,554 --> 00:16:01,510","""ಏಪ್ರಿಲ್ 14, 1912."""
"If your grandmother is who she says she is,...","00:16:01,594 --> 00:16:03,983","ನಿಮ್ಮ ಅಜ್ಜಿಯಾಗಿದ್ದರೆ ಅವಳು ಯಾರೆಂದು ಹೇಳುತ್ತಾಳೆ,..."
..she was wearing the diamond the day the Titanic sank.,"00:16:04,074 --> 00:16:06,952",.. ಅವಳು ವಜ್ರವನ್ನು ಧರಿಸಿದ್ದಳು ಟೈಟಾನಿಕ್ ಮುಳುಗಿದ ದಿನ.
And that makes you my new best friend.,"00:16:07,034 --> 00:16:10,390",ಮತ್ತು ಅದು ನಿಮ್ಮನ್ನು ನನ್ನ ಹೊಸ ಉತ್ತಮ ಸ್ನೇಹಿತನನ್ನಾಗಿ ಮಾಡುತ್ತದೆ.
These are some of the things we recovered from your stateroom.,"00:16:10,474 --> 00:16:14,911",ಇವುಗಳಲ್ಲಿ ಕೆಲವು ವಿಷಯಗಳು ನಿಮ್ಮ ಸ್ಟೇಟ್‌ರೂಮ್‌ನಿಂದ ನಾವು ಚೇತರಿಸಿಕೊಂಡಿದ್ದೇವೆ.
This was mine!,"00:16:16,834 --> 00:16:18,825",ಇದು ನನ್ನದಾಗಿತ್ತು!
How extraordinary!,"00:16:19,594 --> 00:16:21,550",ಎಷ್ಟು ಅಸಾಧಾರಣ!
And it looks the same as it did the last time I saw it.,"00:16:21,634 --> 00:16:25,627",ಮತ್ತು ಅದು ಮಾಡಿದಂತೆಯೇ ಕಾಣುತ್ತದೆ ನಾನು ಅದನ್ನು ಕೊನೆಯ ಬಾರಿಗೆ ನೋಡಿದೆ.
The reflection has changed a bit.,"00:16:30,994 --> 00:16:33,383",ಪ್ರತಿಬಿಂಬವು ಸ್ವಲ್ಪ ಬದಲಾಗಿದೆ.
Are you ready to go back to Titanic?,"00:16:49,434 --> 00:16:51,902",ನೀವು ಟೈಟಾನಿಕ್‌ಗೆ ಹಿಂತಿರುಗಲು ಸಿದ್ಧರಿದ್ದೀರಾ?
"Okay, here we go. She hits the berg on the starboard side, right?","00:16:55,234 --> 00:16:59,512","ಸರಿ, ಇಲ್ಲಿ ನಾವು ಹೋಗುತ್ತೇವೆ. ಅವಳು ಬೆರ್ಗ್ ಅನ್ನು ಹೊಡೆಯುತ್ತಾಳೆ ಸ್ಟಾರ್ಬೋರ್ಡ್ ಬದಿಯಲ್ಲಿ, ಸರಿ?"
"She bumps along, punching holes along the side, below the waterline.","00:16:59,594 --> 00:17:04,304","ಅವಳು ಉದ್ದಕ್ಕೂ ಬಡಿದು, ರಂಧ್ರಗಳನ್ನು ಹೊಡೆಯುತ್ತಾಳೆ ಪಕ್ಕದ ಉದ್ದಕ್ಕೂ, ನೀರಿನ ಕೆಳಗೆ."
Then the forward compartments start to flood.,"00:17:04,394 --> 00:17:07,989",ನಂತರ ಮುಂದೆ ವಿಭಾಗಗಳು ಪ್ರವಾಹಕ್ಕೆ ಪ್ರಾರಂಭಿಸಿ.
"As the water rises, it spills over the watertight bulkheads...","00:17:08,074 --> 00:17:11,191",ನೀರು ಹೆಚ್ಚಾದಂತೆ ಅದು ಮೇಲೆ ಚೆಲ್ಲುತ್ತದೆ ನೀರಿಲ್ಲದ ಬೃಹತ್ತಲೆಗಳು...
"..which don't go any higher than ""E"" deck.","00:17:11,274 --> 00:17:13,868","..ಇದು ಯಾವುದೇ ಎತ್ತರಕ್ಕೆ ಹೋಗುವುದಿಲ್ಲ ""E"" ಡೆಕ್‌ಗಿಂತ."
"So now as the bow goes down, the stern rises up,...","00:17:13,954 --> 00:17:17,663","ಆದ್ದರಿಂದ ಈಗ ಬಿಲ್ಲು ಕೆಳಗೆ ಹೋದಂತೆ, ಸ್ಟರ್ನ್ ಏರುತ್ತದೆ,..."
"..slow at first, then faster and faster,...","00:17:17,754 --> 00:17:20,109","..ಮೊದಲಿಗೆ ನಿಧಾನವಾಗಿ, ನಂತರ ವೇಗವಾಗಿ ಮತ್ತು ವೇಗವಾಗಿ,..."
..until she's got her whole ass up in the air. A big ass.,"00:17:20,194 --> 00:17:23,630",.. ಅವಳು ತನ್ನ ಸಂಪೂರ್ಣ ಕತ್ತೆಯನ್ನು ಪಡೆಯುವವರೆಗೆ ಆಕಾಶದಲ್ಲಿ. ಒಂದು ದೊಡ್ಡ ಕತ್ತೆ.
"We're talking 20,000, 30,000 tons, okay?","00:17:23,714 --> 00:17:27,229","ನಾವು 20,000, 30,000 ಟನ್‌ಗಳ ಬಗ್ಗೆ ಮಾತನಾಡುತ್ತಿದ್ದೇವೆ, ಸರಿ?"
"The hull's not designed to deal with that pressure, so what happens?","00:17:27,314 --> 00:17:31,387","ಹಲ್ ಅನ್ನು ವ್ಯವಹರಿಸಲು ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿಲ್ಲ ಆ ಒತ್ತಡದಿಂದ, ಏನಾಗುತ್ತದೆ?"
"She splits, right down to the keel, and the stern falls back level.","00:17:31,474 --> 00:17:36,707","ಅವಳು ಬೇರ್ಪಡುತ್ತಾಳೆ, ಕೀಲ್‌ನ ಕೆಳಗೆ, ಮತ್ತು ಸ್ಟರ್ನ್ ಮತ್ತೆ ಮಟ್ಟಕ್ಕೆ ಬೀಳುತ್ತದೆ."
As the bow sinks it pulls the stern vertical...,"00:17:36,794 --> 00:17:39,547",ಬಿಲ್ಲು ಮುಳುಗಿದಂತೆ ಇದು ಕಟ್ಟುನಿಟ್ಟಾದ ಲಂಬವನ್ನು ಎಳೆಯುತ್ತದೆ ...
..and then finally detaches.,"00:17:39,634 --> 00:17:41,864",.. ತದನಂತರ ಅಂತಿಮವಾಗಿ ಬೇರ್ಪಡುತ್ತದೆ.
"The stern section bobs there like a cork for a few minutes,...","00:17:41,954 --> 00:17:46,391","ಅಲ್ಲಿ ಸ್ಟರ್ನ್ ಸೆಕ್ಷನ್ ಬಾಬ್ಸ್ ಕೆಲವು ನಿಮಿಷಗಳ ಕಾಲ ಕಾರ್ಕ್‌ನಂತೆ,..."
"..floods, and finally goes under about 2.20am.","00:17:46,474 --> 00:17:49,034","..ಪ್ರವಾಹ, ಮತ್ತು ಅಂತಿಮವಾಗಿ ಕೆಳಗೆ ಹೋಗುತ್ತದೆ ಸುಮಾರು 2.20am."
Two hours and 40 minutes after the collision.,"00:17:49,114 --> 00:17:52,504",ಎರಡು ಗಂಟೆ 40 ನಿಮಿಷಗಳು ಘರ್ಷಣೆಯ ನಂತರ.
"The bow section planes away, landing about half a mile away,...","00:17:52,594 --> 00:17:57,110","ಬಿಲ್ಲು ವಿಭಾಗವು ದೂರದಲ್ಲಿದೆ, ಸುಮಾರು ಅರ್ಧ ಮೈಲಿ ದೂರದಲ್ಲಿ ಇಳಿದು,..."
"..going 20, 30 knots when it hits the ocean floor.","00:17:57,194 --> 00:18:00,231","..20, 30 ಗಂಟುಗಳು ಹೋಗುತ್ತಿವೆ ಅದು ಸಮುದ್ರದ ತಳವನ್ನು ಮುಟ್ಟಿದಾಗ."
"Pretty cool, huh?","00:18:02,794 --> 00:18:04,546","ಬಹಳ ತಂಪಾಗಿದೆ, ಹೌದಾ?"
"Thank you for that fine forensic analysis, Mr Bodine.","00:18:04,634 --> 00:18:09,754","ಆ ದಂಡಕ್ಕೆ ಧನ್ಯವಾದಗಳು ಫೋರೆನ್ಸಿಕ್ ವಿಶ್ಲೇಷಣೆ, ಶ್ರೀ ಬೋಡಿನ್."
"Of course, the experience of it was... somewhat different.","00:18:09,834 --> 00:18:15,466","ಸಹಜವಾಗಿ, ಅದರ ಅನುಭವ ... ಸ್ವಲ್ಪ ವಿಭಿನ್ನ."
Will you share it with us?,"00:18:15,554 --> 00:18:17,988",ನೀವು ಅದನ್ನು ನಮ್ಮೊಂದಿಗೆ ಹಂಚಿಕೊಳ್ಳುತ್ತೀರಾ?
- I'm taking her to rest. - No.,"00:19:10,394 --> 00:19:12,783",- ನಾನು ಅವಳನ್ನು ವಿಶ್ರಾಂತಿಗೆ ಕರೆದೊಯ್ಯುತ್ತಿದ್ದೇನೆ. - ಇಲ್ಲ.
"- Come on, Nana. - No!","00:19:12,874 --> 00:19:14,865","- ಬನ್ನಿ, ನಾನಾ. - ಇಲ್ಲ!"
Tape recorder.,"00:19:19,274 --> 00:19:21,265",ಧ್ವನಿ ಮುದ್ರಕ.
"Tell us, Rose.","00:19:22,594 --> 00:19:24,585","ನಮಗೆ ಹೇಳು, ರೋಸ್."
It's been 84 years.,"00:19:26,674 --> 00:19:28,630",84 ವರ್ಷಗಳಾಗಿವೆ.
Try to remember anything.,"00:19:28,714 --> 00:19:30,625",ಯಾವುದನ್ನಾದರೂ ನೆನಪಿಟ್ಟುಕೊಳ್ಳಲು ಪ್ರಯತ್ನಿಸಿ.
Anything at all.,"00:19:30,714 --> 00:19:32,227",ಏನಾದರು.
"Do you want to hear this or not, Mr Lovett?","00:19:32,314 --> 00:19:35,943","ನೀವು ಇದನ್ನು ಕೇಳಬೇಕೆ ಅಥವಾ ಬೇಡವೇ, ಶ್ರೀ ಲೊವೆಟ್?"
It's been 84 years...,"00:19:39,954 --> 00:19:42,946",84 ವರ್ಷಗಳು ಕಳೆದಿವೆ...
..and I can still smell the fresh paint.,"00:19:43,674 --> 00:19:47,269",.. ಮತ್ತು ನಾನು ಇನ್ನೂ ತಾಜಾ ಬಣ್ಣವನ್ನು ವಾಸನೆ ಮಾಡಬಹುದು.
The china had never been used.,"00:19:49,274 --> 00:19:51,868",ಚೀನಾವನ್ನು ಎಂದಿಗೂ ಬಳಸಲಿಲ್ಲ.
The sheets had never been slept in.,"00:19:52,754 --> 00:19:55,222",ಹಾಳೆಗಳು ಎಂದಿಗೂ ಮಲಗಿರಲಿಲ್ಲ.
"Titanic was called ""The Ship of Dreams"".","00:19:56,794 --> 00:20:00,184","ಟೈಟಾನಿಕ್ ಎಂದು ಕರೆಯಲಾಯಿತು ""ದಿ ಶಿಪ್ ಆಫ್ ಡ್ರೀಮ್ಸ್""."
And it was.,"00:20:02,074 --> 00:20:04,065",ಮತ್ತು ಅದು.
It really was.,"00:20:04,194 --> 00:20:06,185",ಇದು ನಿಜವಾಗಿಯೂ ಆಗಿತ್ತು.
All third-class passengers...,"00:20:33,474 --> 00:20:36,193",ಎಲ್ಲಾ ಮೂರನೇ ದರ್ಜೆಯ ಪ್ರಯಾಣಿಕರು...
"..with a forward berth,...","00:20:36,274 --> 00:20:38,310",".. ಫಾರ್ವರ್ಡ್ ಬರ್ತ್‌ನೊಂದಿಗೆ,..."
"..this way, please. This queue. Right here.","00:20:38,394 --> 00:20:41,466","..ಈ ರೀತಿಯಲ್ಲಿ, ದಯವಿಟ್ಟು. ಈ ಸಾಲು. ಇಲ್ಲಿಯೇ."
"Big boat, uh?","00:20:41,554 --> 00:20:42,782","ದೊಡ್ಡ ದೋಣಿ, ಉಹ್?"
"- Daddy, it's a ship. - You're right.","00:20:42,874 --> 00:20:45,104","- ಡ್ಯಾಡಿ, ಇದು ಹಡಗು. - ನೀನು ಸರಿ."
(Car horn),"00:20:45,194 --> 00:20:47,185",(ಕಾರ್ ಹಾರ್ನ್)
Why all the fuss? It doesn't look any bigger than the Mauretania.,"00:21:14,594 --> 00:21:18,951",ಇಷ್ಟೆಲ್ಲಾ ಗಲಾಟೆ ಯಾಕೆ? ಅದು ಕಾಣುತ್ತಿಲ್ಲ ಮೌರೆಟಾನಿಯಾಕ್ಕಿಂತ ದೊಡ್ಡದಾಗಿದೆ.
"You can be blasé about some things, Rose, but not about Titanic.","00:21:19,034 --> 00:21:22,868","ನೀವು ಕೆಲವು ವಿಷಯಗಳ ಬಗ್ಗೆ ಉದಾರವಾಗಿರಬಹುದು, ರೋಸ್, ಆದರೆ ಟೈಟಾನಿಕ್ ಬಗ್ಗೆ ಅಲ್ಲ."
It's 100 feet longer...,"00:21:22,954 --> 00:21:24,546",ಇದು 100 ಅಡಿ ಉದ್ದ...
..and far more luxurious.,"00:21:24,634 --> 00:21:26,590",.. ಮತ್ತು ಹೆಚ್ಚು ಐಷಾರಾಮಿ.
"Your daughter is difficult to impress, Ruth.","00:21:26,674 --> 00:21:29,586","ನಿಮ್ಮ ಮಗಳು ಕಷ್ಟ ಮೆಚ್ಚಿಸಲು, ರುತ್."
So this is the ship they say is unsinkable.,"00:21:29,674 --> 00:21:32,552",ಆದ್ದರಿಂದ ಇದು ಹಡಗು ಅವರು ಮುಳುಗುವುದಿಲ್ಲ ಎಂದು ಹೇಳುತ್ತಾರೆ.
God himself could not sink this ship.,"00:21:32,634 --> 00:21:35,194",ದೇವರೇ ಈ ಹಡಗನ್ನು ಮುಳುಗಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
"Sir, you have to check your baggage through the main terminal.","00:21:35,274 --> 00:21:38,869","ಸರ್, ನೀವು ನಿಮ್ಮ ಸಾಮಾನುಗಳನ್ನು ಪರಿಶೀಲಿಸಬೇಕು ಮುಖ್ಯ ಟರ್ಮಿನಲ್ ಮೂಲಕ."
"I put my faith in you, good sir. Now kindly see my man.","00:21:38,954 --> 00:21:42,185","ನಾನು ನಿಮ್ಮ ಮೇಲೆ ನಂಬಿಕೆ ಇಟ್ಟಿದ್ದೇನೆ, ಒಳ್ಳೆಯದು ಸರ್. ಈಗ ದಯವಿಟ್ಟು ನನ್ನ ಮನುಷ್ಯನನ್ನು ನೋಡಿ."
"Yes, sir. My pleasure, sir.","00:21:42,274 --> 00:21:44,230","ಹೌದು ಮಹನಿಯರೇ, ಆದೀತು ಮಹನಿಯರೇ. ನನ್ನ ಸಂತೋಷ, ಸರ್."
"All the trunks from that car there,...","00:21:45,554 --> 00:21:48,193","ಅಲ್ಲಿದ್ದ ಆ ಕಾರಿನ ಎಲ್ಲಾ ಟ್ರಂಕ್‌ಗಳು,..."
"..12 from here, and the safe,...","00:21:48,274 --> 00:21:51,505","..12 ಇಲ್ಲಿಂದ, ಮತ್ತು ಸುರಕ್ಷಿತ,..."
"..to the Parlour Suite, rooms B52, 54, 56.","00:21:51,594 --> 00:21:54,347",".. ಪಾರ್ಲರ್ ಸೂಟ್‌ಗೆ, ಕೊಠಡಿಗಳು B52, 54, 56."
(Whistle),"00:21:54,434 --> 00:21:55,833",(ಶಿಳ್ಳೆ)
Ladies...,"00:21:55,914 --> 00:21:57,870",ಹೆಂಗಸರು...
Better hurry.,"00:21:57,954 --> 00:21:59,592",ಉತ್ತಮ ಆತುರ.
"- My coat? - I have it, miss.","00:22:04,354 --> 00:22:06,822","- ನನ್ನ ಕೋಟ್? - ನನ್ನ ಬಳಿ ಇದೆ, ಮಿಸ್."
All third-class passengers queue here for health inspection.,"00:22:08,194 --> 00:22:12,824",ಎಲ್ಲಾ ಮೂರನೇ ದರ್ಜೆಯ ಪ್ರಯಾಣಿಕರು ಆರೋಗ್ಯ ತಪಾಸಣೆಗಾಗಿ ಇಲ್ಲಿ ಸರತಿ.
Chin up.,"00:22:12,914 --> 00:22:14,233",ಧೈರ್ಯವಾಗಿರು.
"Welcome aboard, ma'am. Welcome to Titanic.","00:22:18,954 --> 00:22:22,708","ಹಡಗಿಗೆ ಸ್ವಾಗತ, ಮೇಡಮ್. ಟೈಟಾನಿಕ್‌ಗೆ ಸುಸ್ವಾಗತ."
Rose: <i>It was the ship</i> <i>of dreams to everyone else.</i>,,
<i>To me it was a slave ship...</i>,,
<i>..taking me back to America in chains.</i>,,
<i>Outwardly I was everything</i> <i>a well-brought-up girl should be.</i>,,
"<i>Inside, I was screaming.</i>",,
(Steam whistle),"00:22:40,274 --> 00:22:41,992",(ಸ್ಟೀಮ್ ಶಿಳ್ಳೆ)
(Speaking Swedish),"00:22:52,474 --> 00:22:54,465",(ಸ್ವೀಡಿಷ್ ಮಾತನಾಡುತ್ತಾರೆ)
"Jack, you are pazzo. You bet everything we have.","00:22:55,754 --> 00:22:58,985","ಜ್ಯಾಕ್, ನೀನು ಪಾಝೋ. ನಮ್ಮಲ್ಲಿರುವ ಎಲ್ಲವನ್ನೂ ನೀವು ಬಾಜಿ ಕಟ್ಟುತ್ತೀರಿ."
"When you got nothing, you got nothing to lose.","00:22:59,074 --> 00:23:02,191","ನಿನಗೆ ಏನೂ ಸಿಗದಿದ್ದಾಗ, ನೀವು ಕಳೆದುಕೊಳ್ಳಲು ಏನೂ ಇಲ್ಲ."
Swedish: You moron. I can't believe you bet our tickets.,"00:23:03,634 --> 00:23:08,230",ಸ್ವೀಡಿಷ್: ನೀನು ಮೂರ್ಖ. ನೀವು ನಮ್ಮ ಟಿಕೆಟ್‌ಗಳನ್ನು ಬಾಜಿ ಕಟ್ಟುತ್ತೀರಿ ಎಂದು ನನಗೆ ನಂಬಲಾಗುತ್ತಿಲ್ಲ.
Sven?,"00:23:09,034 --> 00:23:10,023",ಸ್ವೆನ್?
All right... moment of truth.,"00:23:30,794 --> 00:23:33,308",ಸರಿ... ಸತ್ಯದ ಕ್ಷಣ.
Somebody's life's about to change.,"00:23:33,674 --> 00:23:36,188",ಯಾರೊಬ್ಬರ ಜೀವನವು ಬದಲಾಗಲಿದೆ.
Fabrizio?,"00:23:36,274 --> 00:23:37,229",ಫ್ಯಾಬ್ರಿಜಿಯೋ?
Niente.,"00:23:39,234 --> 00:23:40,223",ನಿಯೆಂಟೆ.
Olaf?,"00:23:42,794 --> 00:23:44,386",ಓಲಾಫ್?
Nothing.,"00:23:44,674 --> 00:23:45,743",ಏನೂ ಇಲ್ಲ.
Uh-oh. Two pair.,"00:23:49,714 --> 00:23:52,308",ಉಹ್-ಓಹ್. ಎರಡು ಜೋಡಿ.
"I'm sorry, Fabrizio.","00:23:52,514 --> 00:23:54,470","ಕ್ಷಮಿಸಿ, ಫ್ಯಾಬ್ರಿಜಿಯೊ."
"""Sorry""? You bet all the money!","00:23:54,554 --> 00:23:56,829","""ಕ್ಷಮಿಸಿ""? ನೀವು ಎಲ್ಲಾ ಹಣವನ್ನು ಬಾಜಿ ಕಟ್ಟುತ್ತೀರಿ!"
I'm sorry. You're not gonna see your mom for a long time.,"00:23:56,914 --> 00:24:00,623",ನನ್ನನ್ನು ಕ್ಷಮಿಸು. ನೀವು ನೋಡುವುದಿಲ್ಲ ನಿಮ್ಮ ತಾಯಿ ದೀರ್ಘಕಾಲ.
"Cos we're going to America! Full house, boys!","00:24:00,714 --> 00:24:03,990","ನಾವು ಅಮೆರಿಕಕ್ಕೆ ಹೋಗುತ್ತಿದ್ದೇವೆ! ಪೂರ್ಣ ಮನೆ, ಹುಡುಗರೇ!"
Whoa!,"00:24:04,074 --> 00:24:05,587",ಅಯ್ಯೋ!
Yeah!,"00:24:05,674 --> 00:24:06,948",ಹೌದು!
"Dio mio, grazie!","00:24:07,034 --> 00:24:09,070","ಡಿಯೋ ಮಿಯೋ, ಗ್ರೇಜಿ!"
(Cursing in Swedish),"00:24:10,674 --> 00:24:12,983",(ಸ್ವೀಡಿಷ್ ಭಾಷೆಯಲ್ಲಿ ಶಾಪ)
Come on!,"00:24:16,274 --> 00:24:17,866",ಬನ್ನಿ!
Figlio di puttana!,"00:24:17,954 --> 00:24:19,148",ಫಿಗ್ಲಿಯೋ ಡಿ ಪುಟ್ಟನಾ!
I'm going home!,"00:24:19,234 --> 00:24:20,906",ನಾನು ಮನೆಗೆ ಹೋಗುತ್ತೇನೆ!
I go to America!,"00:24:24,914 --> 00:24:26,870",ನಾನು ಅಮೆರಿಕಕ್ಕೆ ಹೋಗುತ್ತೇನೆ!
"No, mate.","00:24:26,954 --> 00:24:28,103","ಇಲ್ಲ, ಸಂಗಾತಿ."
"Titanic go to America, in five minutes.","00:24:28,194 --> 00:24:30,913",ಟೈಟಾನಿಕ್ ಐದು ನಿಮಿಷಗಳಲ್ಲಿ ಅಮೇರಿಕಾಕ್ಕೆ ಹೋಗುತ್ತದೆ.
"Come on! Come on, here!","00:24:32,034 --> 00:24:34,389","ಬನ್ನಿ! ಬನ್ನಿ, ಇಲ್ಲಿ!"
Andiamo!,"00:24:34,474 --> 00:24:36,544",ಆಂಡಿಯಾಮೊ!
We're riding in high style now! We're a couple of swells!,"00:24:36,634 --> 00:24:40,309",ನಾವು ಈಗ ಉನ್ನತ ಶೈಲಿಯಲ್ಲಿ ಸವಾರಿ ಮಾಡುತ್ತಿದ್ದೇವೆ! ನಾವು ಉಬ್ಬುಗಳು ಒಂದೆರಡು!
"Practically goddamn royalty, ragazzo mio!","00:24:40,394 --> 00:24:43,192","ಪ್ರಾಯೋಗಿಕವಾಗಿ ಗಾಡ್ಡ್ಯಾಮ್ ರಾಯಲ್ಟಿ, ragazzo mio!"
"You see, it's my destino!","00:24:43,274 --> 00:24:46,186","ನೀವು ನೋಡಿ, ಇದು ನನ್ನ ಡೆಸ್ಟಿನೋ!"
I go to America to be millionario!,"00:24:46,274 --> 00:24:48,663",ನಾನು ಮಿಲಿಯನೇರಿಯೋ ಆಗಲು ಅಮೆರಿಕಕ್ಕೆ ಹೋಗುತ್ತೇನೆ!
