Timeline,en_dialogue,kannada_dialogue
"00:20:43,993 --> 00:20:45,577","lt appears to be your computer, ma'am.","lt ಎಂದು ತೋರುತ್ತದೆ ನಿಮ್ಮ ಕಂಪ್ಯೂಟರ್, ಮಾಮ್."
"00:20:46,203 --> 00:20:47,329",Shut it down.,ಅದನ್ನು ಮುಚ್ಚಿ.
"00:20:48,164 --> 00:20:49,831",(TAUNTING MUSIC PLAYS),(ಸಂಗೀತ ನಾಟಕಗಳನ್ನು ಕೆಣಕುವುದು)
"00:20:53,377 --> 00:20:54,502",What is this?,ಇದು ಏನು?
"00:21:14,482 --> 00:21:15,482",(SIGHS),(ನಿಟ್ಟುಸಿರು)
"00:21:15,733 --> 00:21:17,859",For God's sake!,ದೇವರ ಸಲುವಾಗಿ!
"00:21:19,904 --> 00:21:21,404",Just get out of the way!,ದಾರಿ ತಪ್ಪಿಸಿ!
"00:21:22,281 --> 00:21:24,032",Don't you recognize the car? Madam.,ನೀವು ಕಾರನ್ನು ಗುರುತಿಸುವುದಿಲ್ಲವೇ? ಮೇಡಂ.
"00:21:24,367 --> 00:21:26,034",(EXPLOSION THUNDERS),(ಸ್ಫೋಟದ ಗುಡುಗುಗಳು)
"00:23:06,427 --> 00:23:08,636",CROWD (BUILDING IN VOLUME): Oh. . . !,ಜನಸಮೂಹ (ಪರಿಮಾಣದಲ್ಲಿ ಕಟ್ಟಡ): ಓಹ್. . . !
"00:23:54,600 --> 00:23:57,352",ANNOUNCER (OVER TV): This is CNN Breaking News.,ಅನೌನ್ಸರ್ (ಟಿವಿ ಓವರ್): ಇದು ಸಿಎನ್ಎನ್ ಬ್ರೇಕಿಂಗ್ ನ್ಯೂಸ್.
"00:23:57,686 --> 00:24:00,021",Emergency crews are still attempting to assess,ತುರ್ತು ಸಿಬ್ಬಂದಿ ಇನ್ನೂ ಇದ್ದಾರೆ ನಿರ್ಣಯಿಸಲು ಪ್ರಯತ್ನಿಸುತ್ತಿದೆ
"00:24:00,189 --> 00:24:02,524",the damage as investigators hunt for leads,ಹಾನಿ ತನಿಖಾಧಿಕಾರಿಗಳು ಪಾತ್ರಗಳಿಗಾಗಿ ಬೇಟೆಯಾಡುತ್ತಾರೆ
"00:24:02,691 --> 00:24:04,734",in what now appears to be a major,ಈಗ ಏನು ಮೇಜರ್ ಎಂದು ತೋರುತ್ತದೆ
"00:24:04,860 --> 00:24:06,945",terrorist attack in the heart of London.,ಇನ್ ಭಯೋತ್ಪಾದಕ ದಾಳಿ ಲಂಡನ್‌ನ ಹೃದಯ.
"00:24:08,572 --> 00:24:11,783",No-one has yet claimed responsibility for what sources are calling,ಯಾರೂ ಇನ್ನೂ ಇಲ್ಲ ಜವಾಬ್ದಾರಿಯನ್ನು ಪ್ರತಿಪಾದಿಸಿದರು ಯಾವ ಮೂಲಗಳು ಕರೆಯುತ್ತಿವೆ
"00:24:11,951 --> 00:24:16,204","a possible ""cyber-terrorist assault"" on the British Secret Service.","ಒಂದು ಸಾಧ್ಯ ""ಸೈಬರ್-ಭಯೋತ್ಪಾದಕ ಹಲ್ಲೆ"" ಬ್ರಿಟಿಷ್ ರಹಸ್ಯ ಸೇವೆಯಲ್ಲಿ."
"00:24:16,372 --> 00:24:18,581",Early reports from the scene indicate,ಆರಂಭಿಕ ವರದಿಗಳು ದೃಶ್ಯವು ಸೂಚಿಸುತ್ತದೆ
"00:24:18,707 --> 00:24:20,917","at least six dead, many more injured,","ಕನಿಷ್ಠ ಆರು ಮಂದಿ ಸತ್ತರು, ಇನ್ನೂ ಅನೇಕ ಗಾಯಗೊಂಡವರು,"
"00:24:21,127 --> 00:24:24,045",with victims being evacuated to local hospitals,ಬಲಿಪಶುಗಳನ್ನು ಸ್ಥಳಾಂತರಿಸುವುದರೊಂದಿಗೆ ಸ್ಥಳೀಯ ಆಸ್ಪತ್ರೆಗಳಿಗೆ
"00:24:24,130 --> 00:24:25,964",within minutes of the explosion.,ನಿಮಿಷಗಳಲ್ಲಿ ಸ್ಫೋಟದ.
"00:24:44,400 --> 00:24:46,151","It's time to go, ma'am.",ಮಾಮ್.
"00:24:49,113 --> 00:24:51,406",I'm going to find whoever did this.,ನಾನು ಹುಡುಕಲಿದ್ದೇನೆ ಯಾರು ಇದನ್ನು ಮಾಡಿದರು.
"00:25:40,623 --> 00:25:42,373",Where the hell have you been?,ನೀವು ಎಲ್ಲಿದ್ದೀರಿ?
"00:25:43,167 --> 00:25:45,126",Enjoying death.,ಸಾವನ್ನು ಆನಂದಿಸುತ್ತಿದೆ.
"00:25:46,462 --> 00:25:49,047",007 reporting for duty.,ಕರ್ತವ್ಯಕ್ಕಾಗಿ 007 ವರದಿ.
"00:25:56,472 --> 00:25:58,014",Why didn't you call?,ನೀವು ಯಾಕೆ ಕರೆ ಮಾಡಲಿಲ್ಲ?
"00:25:58,474 --> 00:26:00,475",You didn't get the postcard?,ನಿಮಗೆ ಪೋಸ್ಟ್‌ಕಾರ್ಡ್ ಸಿಗಲಿಲ್ಲವೇ?
"00:26:00,893 --> 00:26:02,727",You should try it some time. Get away from it all.,ನೀವು ಅದನ್ನು ಸ್ವಲ್ಪ ಸಮಯ ಪ್ರಯತ್ನಿಸಬೇಕು. ಅದರಿಂದ ದೂರವಿರಿ.
"00:26:02,853 --> 00:26:04,687",lt really lends perspective.,ಎಲ್ಟಿ ನಿಜವಾಗಿಯೂ ದೃಷ್ಟಿಕೋನವನ್ನು ನೀಡುತ್ತದೆ.
"00:26:05,314 --> 00:26:07,148","Ran out of drink where you were, did they?","ಪಾನೀಯದಿಂದ ಓಡಿಹೋಯಿತು ನೀವು ಎಲ್ಲಿದ್ದೀರಿ, ಅವರು ಮಾಡಿದ್ದೀರಾ?"
"00:26:07,358 --> 00:26:08,983",What was it you said?,ನೀವು ಏನು ಹೇಳಿದ್ದೀರಿ?
"00:26:09,401 --> 00:26:11,486","""Take the bloody shot.""","""ರಕ್ತಸಿಕ್ತ ಶಾಟ್ ತೆಗೆದುಕೊಳ್ಳಿ."""
"00:26:11,654 --> 00:26:13,029",I made a judgment call.,ನಾನು ತೀರ್ಪು ಕರೆ ಮಾಡಿದೆ.
"00:26:13,197 --> 00:26:15,657",You should have trusted me to finish the job.,ನೀವು ನನ್ನನ್ನು ನಂಬಬೇಕು ಕೆಲಸವನ್ನು ಮುಗಿಸಲು.
"00:26:15,824 --> 00:26:17,659",lt was the possibility of losing you,ಎಲ್ಟಿ ಸಾಧ್ಯತೆಯಾಗಿತ್ತು ನಿಮ್ಮನ್ನು ಕಳೆದುಕೊಳ್ಳುವ
"00:26:17,826 --> 00:26:20,328",or the certainty of losing all those other agents.,ಅಥವಾ ಕಳೆದುಕೊಳ್ಳುವ ನಿಶ್ಚಿತತೆ ಆ ಎಲ್ಲಾ ಇತರ ಏಜೆಂಟರು.
"00:26:20,579 --> 00:26:23,331",I made the only decision I could and you know it.,ನಾನು ಮಾತ್ರ ಮಾಡಿದ್ದೇನೆ ನಿರ್ಧಾರ ನನಗೆ ಸಾಧ್ಯವಾಯಿತು ಮತ್ತು ನಿಮಗೆ ತಿಳಿದಿದೆ.
"00:26:24,375 --> 00:26:25,667",I think you lost your nerve.,ನಿಮ್ಮ ನರವನ್ನು ನೀವು ಕಳೆದುಕೊಂಡಿದ್ದೀರಿ ಎಂದು ನಾನು ಭಾವಿಸುತ್ತೇನೆ.
"00:26:25,834 --> 00:26:28,253","What do you expect, a bloody apology?","ನೀವು ಏನು ನಿರೀಕ್ಷಿಸುತ್ತೀರಿ, ರಕ್ತಸಿಕ್ತ ಕ್ಷಮೆಯಾಚನೆ?"
"00:26:28,671 --> 00:26:30,046",You know the rules of the game.,ನಿಮಗೆ ತಿಳಿದಿದೆ ಆಟದ ನಿಯಮಗಳು.
"00:26:30,172 --> 00:26:31,589",You've been playing it long enough.,ನೀವು ಇದ್ದೀರಿ ಸಾಕಷ್ಟು ಉದ್ದವಾಗಿ ಆಡುತ್ತಿದ್ದಾರೆ.
"00:26:31,674 --> 00:26:32,715",We both have.,ನಾವಿಬ್ಬರೂ ಹೊಂದಿದ್ದೇವೆ.
"00:26:33,676 --> 00:26:34,926",Maybe too long.,ಬಹುಶಃ ತುಂಬಾ ಉದ್ದವಾಗಿದೆ.
"00:26:35,761 --> 00:26:37,262",Speak for yourself.,ನಿಮಗಾಗಿ ಮಾತನಾಡಿ.
"00:26:39,890 --> 00:26:41,849","Ronson didn't make it, did he?","ರಾನ್ಸನ್ ಅದನ್ನು ಮಾಡಲಿಲ್ಲ, ಅಲ್ಲವೇ?"
"00:26:42,935 --> 00:26:44,018",No.,ಇಲ್ಲ.
"00:26:47,356 --> 00:26:48,856",So this is it.,ಆದ್ದರಿಂದ ಇದು.
"00:26:49,275 --> 00:26:51,276",We're both played out.,ನಾವಿಬ್ಬರೂ ಆಡಿದ್ದೇವೆ.
"00:26:52,194 --> 00:26:54,404","Well, if you believe that, why did you come back?","ಸರಿ, ನೀವು ಅದನ್ನು ನಂಬಿದರೆ, ನೀವು ಯಾಕೆ ಹಿಂತಿರುಗಿದ್ದೀರಿ?"
"00:26:54,863 --> 00:26:56,197",Good question.,ಒಳ್ಳೆಯ ಪ್ರಶ್ನೆ.
"00:26:57,950 --> 00:26:59,784",Because we're under attack.,ಏಕೆಂದರೆ ನಾವು ಆಕ್ರಮಣಕ್ಕೊಳಗಾಗಿದ್ದೇವೆ.
"00:27:01,704 --> 00:27:03,788",And you know we need you.,ಮತ್ತು ನಾವು ನಿಮಗೆ ಬೇಕು ಎಂದು ನಿಮಗೆ ತಿಳಿದಿದೆ.
"00:27:08,043 --> 00:27:09,294","Well, I'm here.","ಸರಿ, ನಾನು ಇಲ್ಲಿದ್ದೇನೆ."
"00:27:11,046 --> 00:27:14,632",You'll have to be debriefed and declared fit for active service.,ನೀವು ವಿವರಿಸಬೇಕಾಗುತ್ತದೆ ಮತ್ತು ಫಿಟ್ ಎಂದು ಘೋಷಿಸಲಾಗಿದೆ ಸಕ್ರಿಯ ಸೇವೆಗಾಗಿ.
"00:27:15,217 --> 00:27:17,552","You can only return to duty when you've passed the tests,","ನೀವು ಮಾತ್ರ ಹಿಂತಿರುಗಬಹುದು ನೀವು ಬಂದಾಗ ಕರ್ತವ್ಯಕ್ಕೆ ಪರೀಕ್ಷೆಗಳನ್ನು ಉತ್ತೀರ್ಣರಾದರು,"
"00:27:17,720 --> 00:27:20,054",so take them seriously.,ಆದ್ದರಿಂದ ಅವರನ್ನು ಗಂಭೀರವಾಗಿ ಪರಿಗಣಿಸಿ.
"00:27:20,472 --> 00:27:22,640",And a shower might be in order.,ಮತ್ತು ಶವರ್ ಕ್ರಮದಲ್ಲಿರಬಹುದು.
"00:27:23,392 --> 00:27:24,892",I'll go home and change.,ನಾನು ಮನೆಗೆ ಹೋಗಿ ಬದಲಾಗುತ್ತೇನೆ.
"00:27:25,477 --> 00:27:29,063","Oh, we've sold your flat, put your things into storage.","ಓಹ್, ನಾವು ನಿಮ್ಮ ಫ್ಲಾಟ್ ಅನ್ನು ಮಾರಾಟ ಮಾಡಿದ್ದೇವೆ, ನಿಮ್ಮ ವಸ್ತುಗಳನ್ನು ಶೇಖರಣೆಗೆ ಇರಿಸಿ."
"00:27:30,107 --> 00:27:33,234",Standard procedure on the death of an unmarried employee,ಪ್ರಮಾಣಿತ ವಿಧಾನ ಸಾವಿನ ಮೇಲೆ ಅವಿವಾಹಿತ ಉದ್ಯೋಗಿ
"00:27:33,319 --> 00:27:35,611",with no next of kin.,ಮುಂದಿನ ರಕ್ತಸಂಬಂಧಗಳಿಲ್ಲ.
"00:27:35,738 --> 00:27:37,405",You should have called.,ನೀವು ಕರೆ ಮಾಡಿರಬೇಕು.
"00:27:37,573 --> 00:27:39,282",I'll find a hotel.,ನಾನು ಹೋಟೆಲ್ ಹುಡುಕುತ್ತೇನೆ.
"00:27:39,575 --> 00:27:41,909","Well, you're bloody well not sleeping here.","ಸರಿ, ನೀವು ರಕ್ತಸಿಕ್ತರಾಗಿದ್ದೀರಿ ಸರಿ ಇಲ್ಲಿ ಮಲಗುತ್ತಿಲ್ಲ."
"00:28:09,813 --> 00:28:12,440","TANNER: The assailant hacked into the environmental control system,","ಟ್ಯಾನರ್: ಆಕ್ರಮಣಕಾರನನ್ನು ಹ್ಯಾಕ್ ಮಾಡಲಾಗಿದೆ ಪರಿಸರಕ್ಕೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ,"
"00:28:12,524 --> 00:28:14,108",locked out the safety protocols,ಲಾಕ್ out ಟ್ ಸುರಕ್ಷತಾ ಪ್ರೋಟೋಕಾಲ್ಗಳು
"00:28:14,276 --> 00:28:17,612","and turned on the gas, all of which should have been impossible.","ಮತ್ತು ಅನಿಲವನ್ನು ಆನ್ ಮಾಡಿ, ಇವೆಲ್ಲವೂ ಮಾಡಬೇಕು ಅಸಾಧ್ಯ."
"00:28:17,946 --> 00:28:20,114","On top of that, they hacked into her files.","ಅದರ ಮೇಲೆ, ಅವರು ಅವಳ ಫೈಲ್‌ಗಳಲ್ಲಿ ಹ್ಯಾಕ್ ಮಾಡಿದರು."
"00:28:20,657 --> 00:28:23,534","They knew her appointments, knew she'd be out of the building.","ಅವಳ ನೇಮಕಾತಿಗಳನ್ನು ಅವರು ತಿಳಿದಿದ್ದರು, ಅವಳು ಹೊರಗುಳಿಯಬೇಕೆಂದು ತಿಳಿದಿತ್ತು ಕಟ್ಟಡದ."
"00:28:23,660 --> 00:28:25,453",They weren't targeting her.,ಅವರು ಅವಳನ್ನು ಗುರಿಯಾಗಿಸುತ್ತಿರಲಿಲ್ಲ.
"00:28:26,163 --> 00:28:28,039",They wanted her to see it.,ಅವಳು ಅದನ್ನು ನೋಡಬೇಕೆಂದು ಅವರು ಬಯಸಿದ್ದರು.
"00:28:29,458 --> 00:28:30,750","Where are we, Tanner?","ನಾವು ಎಲ್ಲಿದ್ದೇವೆ, ಟ್ಯಾನರ್?"
"00:28:30,876 --> 00:28:32,168",New digs.,ಹೊಸ ಡಿಗ್ಸ್.
"00:28:40,052 --> 00:28:43,221","The old building was declared ""strategically vulnerable"".","ಹಳೆಯ ಕಟ್ಟಡವನ್ನು ಘೋಷಿಸಲಾಯಿತು ""ಕಾರ್ಯತಂತ್ರದ ದುರ್ಬಲ""."
"00:28:43,555 --> 00:28:45,473",That's putting it mildly.,ಅದು ಸ್ವಲ್ಪಮಟ್ಟಿಗೆ ಹಾಕುತ್ತಿದೆ.
"00:28:45,641 --> 00:28:48,976",He was able to breach the most secure computer system in Britain.,ಅವರು ಸಾಧ್ಯವಾಯಿತು ಅತ್ಯಂತ ಸುರಕ್ಷಿತವನ್ನು ಉಲ್ಲಂಘಿಸಿ ಬ್ರಿಟನ್‌ನಲ್ಲಿ ಕಂಪ್ಯೂಟರ್ ಸಿಸ್ಟಮ್.
"00:28:49,061 --> 00:28:50,853",So we're on war footing now.,ಆದ್ದರಿಂದ ನಾವು ಈಗ ಯುದ್ಧದ ಹೆಜ್ಜೆಯಲ್ಲಿದ್ದೇವೆ.
"00:28:51,688 --> 00:28:53,856",This was part of Churchill's bunker.,ಇದು ಒಂದು ಭಾಗವಾಗಿತ್ತು ಚರ್ಚಿಲ್ ಅವರ ಬಂಕರ್.
"00:28:54,316 --> 00:28:55,566",We're still discovering tunnels,ನಾವು ಇನ್ನೂ ಸುರಂಗಗಳನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗುತ್ತಿದೆ
"00:28:55,692 --> 00:28:56,984",dating back to the 1 8th Century.,ಮತ್ತೆ ಡೇಟಿಂಗ್ 1 8 ನೇ ಶತಮಾನ.
"00:28:57,152 --> 00:28:59,487","Quite fascinating, if it wasn't for the rats.","ಸಾಕಷ್ಟು ಆಕರ್ಷಕ, ಅದು ಇಲಿಗಳಿಗೆ ಇಲ್ಲದಿದ್ದರೆ."
"00:28:59,696 --> 00:29:01,155",When do I see M?,ನಾನು ಯಾವಾಗ ಎಂ ಅನ್ನು ನೋಡುತ್ತೇನೆ?
"00:29:01,240 --> 00:29:04,700","Tomorrow you'll see M and Mallory, too, if you're lucky.","ನಾಳೆ ನೀವು ನೋಡುತ್ತೀರಿ ಎಂ ಮತ್ತು ಮಲ್ಲೊರಿ ಕೂಡ, ನೀವು ಅದೃಷ್ಟವಂತರಾಗಿದ್ದರೆ."
"00:29:04,827 --> 00:29:05,993",Who's Mallory?,ಮಲ್ಲೊರಿ ಯಾರು?
"00:29:06,161 --> 00:29:08,830",The new Chairman of the Intelligence and Security Committee.,ಹೊಸ ಅಧ್ಯಕ್ಷರು ಬುದ್ಧಿವಂತಿಕೆಯ ಮತ್ತು ಭದ್ರತಾ ಸಮಿತಿ.
"00:29:08,914 --> 00:29:09,997",Charming man. I think you and he,ಆಕರ್ಷಕ ಮನುಷ್ಯ. ನೀವು ಮತ್ತು ಅವನು ಎಂದು ನಾನು ಭಾವಿಸುತ್ತೇನೆ
"00:29:10,082 --> 00:29:11,499",are really going to hit it off.,ನಿಜವಾಗಿಯೂ ಅದನ್ನು ಹೊಡೆಯಲು ಹೋಗುತ್ತಿದೆ.
"00:29:13,752 --> 00:29:15,753",Welcome to the new Ml6.,ಹೊಸ ML6 ಗೆ ಸುಸ್ವಾಗತ.
"00:29:32,229 --> 00:29:34,897","We've attempted to trace the computer message, but","ನಾವು ಪತ್ತೆಹಚ್ಚಲು ಪ್ರಯತ್ನಿಸಿದ್ದೇವೆ ಕಂಪ್ಯೂಟರ್ ಸಂದೇಶ, ಆದರೆ"
"00:29:35,065 --> 00:29:38,025","it was sent by an asymmetrical security algorithm,","ಇದನ್ನು ಅಸಮಪಾರ್ಶ್ವದಿಂದ ಕಳುಹಿಸಲಾಗಿದೆ ಭದ್ರತಾ ಅಲ್ಗಾರಿದಮ್,"
"00:29:38,193 --> 00:29:39,694",which bounced the signal all over the globe,ಇದು ಸಿಗ್ನಲ್ ಅನ್ನು ಬೌನ್ಸ್ ಮಾಡಿದೆ ಪ್ರಪಂಚದಾದ್ಯಂತ
"00:29:39,778 --> 00:29:41,779",through over a thousand different servers.,ಮೂಲಕ ಸಾವಿರ ವಿಭಿನ್ನ ಸರ್ವರ್‌ಗಳು.
"00:29:41,864 --> 00:29:43,573","And now that they've accessed M's codes,","ಮತ್ತು ಈಗ ಅವರು ಎಂ ನ ಕೋಡ್‌ಗಳನ್ನು ಪ್ರವೇಶಿಸಲಾಗಿದೆ,"
"00:29:43,699 --> 00:29:46,367",it's only a matter of time before they're able to decrypt the list.,ಇದು ಕೇವಲ ಸಮಯದ ವಿಷಯ ಅವರು ಸಾಧ್ಯವಾಗುವ ಮೊದಲು ಪಟ್ಟಿಯನ್ನು ಡೀಕ್ರಿಪ್ಟ್ ಮಾಡಲು.
"00:29:46,452 --> 00:29:48,953",Q-Branch have been analyzing the picture but so far nothing.,ಪ್ರಶ್ನೆ-ಬ್ರಾಂಚ್ ಮಾಡಲಾಗಿದೆ ಚಿತ್ರವನ್ನು ವಿಶ್ಲೇಷಿಸಲಾಗುತ್ತಿದೆ ಆದರೆ ಇಲ್ಲಿಯವರೆಗೆ ಏನೂ ಇಲ್ಲ.
"00:29:49,621 --> 00:29:52,373",The general feeling is it's probably someone from her past.,ಸಾಮಾನ್ಯ ಭಾವನೆ ಇದು ಬಹುಶಃ ಯಾರಾದರೂ ಅವಳ ಹಿಂದಿನ ಕಾಲದಿಂದ.
"00:29:52,458 --> 00:29:55,042",Perhaps when she was running things in Hong Kong.,ಬಹುಶಃ ಅವಳು ಯಾವಾಗ ವಿಷಯಗಳನ್ನು ನಡೆಸುತ್ತಿದ್ದೆ ಹಾಂಗ್ ಕಾಂಗ್ನಲ್ಲಿ.
"00:29:55,127 --> 00:29:56,544",She's no idea what it all means.,ಅವಳು ತಿಳಿದಿಲ್ಲ ಇದರ ಅರ್ಥವೇನು.
"00:29:56,670 --> 00:29:57,795",You believe that?,ನೀವು ಅದನ್ನು ನಂಬುತ್ತೀರಾ?
"00:29:57,963 --> 00:29:59,964","The truth is, we don't have a clue who took the list","ಸತ್ಯ, ನಮಗೆ ಸುಳಿವು ಇಲ್ಲ ಯಾರು ಪಟ್ಟಿಯನ್ನು ತೆಗೆದುಕೊಂಡರು"
"00:06:42,778 --> 00:06:44,403",(GRUNTING),(ಗೊಣಗುವುದು)
"00:30:01,258 --> 00:30:03,384",or what they plan to do with it.,ಅಥವಾ ಅವರು ಏನು ಅದನ್ನು ಮಾಡಲು ಯೋಜಿಸಿ.
"00:30:10,225 --> 00:30:11,517",We can always do this later.,ನಾವು ಇದನ್ನು ಯಾವಾಗಲೂ ನಂತರ ಮಾಡಬಹುದು.
"00:30:12,394 --> 00:30:15,438",You know what? Let's.,ನಿಮಗೆ ಏನು ಗೊತ್ತು? ಮಾಡೋಣ.
"00:31:22,381 --> 00:31:25,466",I'd like to start with some simple word associations.,ನಾನು ಪ್ರಾರಂಭಿಸಲು ಬಯಸುತ್ತೇನೆ ಕೆಲವು ಸರಳದೊಂದಿಗೆ ಪದ ಸಂಘಗಳು.
"00:31:25,551 --> 00:31:27,969",Just tell me the first word that pops into your head.,ಮೊದಲ ಪದವನ್ನು ಹೇಳಿ ಅದು ನಿಮ್ಮ ತಲೆಗೆ ಪುಟಿಯುತ್ತದೆ.
"00:31:28,136 --> 00:31:30,513","For example, I might say ""Day"" and you might say. . .","ಉದಾಹರಣೆಗೆ, ನಾನು ""ದಿನ"" ಎಂದು ಹೇಳಬಹುದು ಮತ್ತು ನೀವು ಹೇಳಬಹುದು. . ."
"00:31:30,639 --> 00:31:31,639",Wasted.,ವ್ಯರ್ಥ.
"00:31:35,894 --> 00:31:37,228",All right.,ಸರಿ.
"00:31:41,608 --> 00:31:42,942",Gun.,ಗನ್.
"00:31:44,069 --> 00:31:46,028",Shot. Agent.,ಶಾಟ್. ಏಜೆಂಟ್.
"00:31:46,154 --> 00:31:47,530",Provocateur.,ಪ್ರಚೋದಕ.
"00:31:47,656 --> 00:31:48,614",Woman.,ಮಹಿಳೆ.
"00:31:48,740 --> 00:31:49,657",Provocatrix.,ಪ್ರೊವೊಕಾಟ್ರಿಕ್ಸ್.
"00:31:49,908 --> 00:31:50,866",Heart.,ಹೃದಯ.
"00:31:50,993 --> 00:31:51,993",Target.,ಗುರಿ.
"00:31:52,995 --> 00:31:54,203",Bird.,ಪಕ್ಷಿ.
"00:31:54,329 --> 00:31:55,538",Sky.,ಆಕಾಶ.
"00:31:55,706 --> 00:31:56,747",M.,ಎಂ.
"00:31:56,873 --> 00:31:57,915",Bitch.,ಬಿಚ್.
"00:32:00,335 --> 00:32:01,419",MAN: Sunlight.,ಮನುಷ್ಯ: ಸೂರ್ಯನ ಬೆಳಕು.
"00:32:01,545 --> 00:32:02,670",Swim.,ಈಜು.
"00:32:02,754 --> 00:32:04,505",Moonlight. Dance.,ಮೂನ್ಲೈಟ್. ನೃತ್ಯ.
"00:32:04,673 --> 00:32:05,840",Murder.,ಕೊಲೆ.
"00:32:06,049 --> 00:32:07,258",Employment.,ಉದ್ಯೋಗ.
"00:32:07,676 --> 00:32:09,552",Country. England.,ದೇಶ. ಇಂಗ್ಲೆಂಡ್.
"00:32:09,678 --> 00:32:17,935",Skyfall.,ಸ್ಕೈಫಾಲ್.
"00:32:21,356 --> 00:32:22,607",Done.,ಮುಗಿದಿದೆ.
"00:32:28,905 --> 00:32:30,865","Well, this is going well.","ಸರಿ, ಇದು ಚೆನ್ನಾಗಿ ನಡೆಯುತ್ತಿದೆ."
"00:33:18,747 --> 00:33:20,498",Get these analyzed.,ಇವುಗಳನ್ನು ವಿಶ್ಲೇಷಿಸಿ.
"00:33:21,416 --> 00:33:23,084",For her eyes only.,ಅವಳ ಕಣ್ಣುಗಳಿಗೆ ಮಾತ್ರ.
"00:33:51,446 --> 00:33:53,114",She's ready for you.,ಅವಳು ನಿಮಗಾಗಿ ಸಿದ್ಧಳಾಗಿದ್ದಾಳೆ.
"00:33:53,490 --> 00:33:55,700","I'm sorry, have we met before?","ಕ್ಷಮಿಸಿ, ನಾವು ಮೊದಲು ಭೇಟಿಯಾಗಿದ್ದೇವೆಯೇ?"
"00:33:56,493 --> 00:33:58,619","I'm the one who should say ""sorry"".","ನಾನು ಯಾರು ""ಕ್ಷಮಿಸಿ"" ಎಂದು ಹೇಳಬೇಕು."
"00:34:00,872 --> 00:34:02,707",lt was only four ribs.,ಎಲ್ಟಿ ಕೇವಲ ನಾಲ್ಕು ಪಕ್ಕೆಲುಬುಗಳು.
"00:34:02,999 --> 00:34:05,209",Some of the less vital organs.,ಕಡಿಮೆ ಪ್ರಮುಖ ಅಂಗಗಳು.
"00:34:06,962 --> 00:34:08,421",Nothing major.,ಪ್ರಮುಖ ಏನೂ ಇಲ್ಲ.
"00:34:13,802 --> 00:34:15,386",Not enough excitement in Istanbul?,ಸಾಕಾಗುವುದಿಲ್ಲ ಇಸ್ತಾಂಬುಲ್‌ನಲ್ಲಿ ಉತ್ಸಾಹ?
"00:34:15,554 --> 00:34:17,138",I've been reassigned.,ನನ್ನನ್ನು ಮರು ನಿಯೋಜಿಸಲಾಗಿದೆ.
"00:34:17,222 --> 00:34:19,306",Temporary suspension from field work.,ತಾತ್ಕಾಲಿಕ ಅಮಾನತು ಕ್ಷೇತ್ರಕಾರ್ಯದಿಂದ.
"00:34:19,474 --> 00:34:20,891",Really? Mmm.,ನಿಜವಾಗಿಯೂ? ಮ್ಮ್.
"00:34:20,976 --> 00:34:22,643",Something to do with killing 007.,ಮಾಡಲು ಏನಾದರೂ ಕೊಲ್ಲುವುದರೊಂದಿಗೆ 007.
"00:34:23,019 --> 00:34:24,770","Well, you gave it your best shot.","ಸರಿ, ನೀವು ಅದನ್ನು ಕೊಟ್ಟಿದ್ದೀರಿ ನಿಮ್ಮ ಅತ್ಯುತ್ತಮ ಶಾಟ್."
"00:34:24,896 --> 00:34:26,647",That was hardly my best shot.,ಅದು ನನ್ನ ಅತ್ಯುತ್ತಮ ಶಾಟ್ ಆಗಿರಲಿಲ್ಲ.
"00:34:27,065 --> 00:34:29,066",I'm not sure I could survive your best.,ನಾನು ಖಚಿತವಾಗಿಲ್ಲ ನಿಮ್ಮ ಉತ್ತಮವಾಗಿ ಬದುಕಬಹುದು.
"00:34:29,234 --> 00:34:30,985",I doubt you'll get the chance.,ನಿಮಗೆ ಅವಕಾಶ ಸಿಗುತ್ತದೆ ಎಂದು ನನಗೆ ಅನುಮಾನವಿದೆ.
"00:34:31,403 --> 00:34:34,405","Well, do me a favor, will you? If they do ever let you back out there,","ಸರಿ, ನನಗೆ ಸಹಾಯ ಮಾಡಿ, ನೀವು? ಅವರು ಎಂದಾದರೂ ಅವಕಾಶ ನೀಡಿದರೆ ನೀವು ಅಲ್ಲಿಗೆ ಹಿಂತಿರುಗುತ್ತೀರಿ,"
"00:34:35,991 --> 00:34:37,158",warn me first.,ಮೊದಲು ನನಗೆ ಎಚ್ಚರಿಕೆ ನೀಡಿ.
"00:34:37,826 --> 00:34:40,494","I'm assisting Gareth Mallory in the transition,","ನಾನು ಗರೆಥ್ ಮಲ್ಲೊರಿಗೆ ಸಹಾಯ ಮಾಡುತ್ತಿದ್ದೇನೆ ಪರಿವರ್ತನೆಯಲ್ಲಿ,"
"00:34:40,662 --> 00:34:42,496",and then I'll be back in the field.,ತದನಂತರ ನಾನು ಆಗುತ್ತೇನೆ ಮತ್ತೆ ಕ್ಷೇತ್ರಕ್ಕೆ.
