en_dialogue,Timeline,kannada_dialogue
"""Straws"" is just the Southern pronunciation.","00:09:52,727 --> 00:09:54,996","""ಸ್ಟ್ರಾಸ್"" ಕೇವಲ ದಕ್ಷಿಣ ಉಚ್ಚಾರಣೆ."
"- Ah. - Anyway,","00:09:55,029 --> 00:09:56,064","- ಆಹ್. - ಹೇಗಾದರೂ,"
welcome to the Institute.,"00:09:56,097 --> 00:09:57,532",ಸಂಸ್ಥೆಗೆ ಸ್ವಾಗತ.
I think you could be very happy here.,"00:09:57,565 --> 00:09:59,200",ನೀವು ಮಾಡಬಹುದು ಎಂದು ನಾನು ಭಾವಿಸುತ್ತೇನೆ ಇಲ್ಲಿ ತುಂಬಾ ಸಂತೋಷವಾಗಿರಿ.
"Yes, well, you'll love the commute.","00:09:59,234 --> 00:10:01,169","ಹೌದು, ಸರಿ, ನೀವು ಮಾಡುತ್ತೇವೆ ಪ್ರಯಾಣವನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ."
The position comes with that house,"00:10:01,202 --> 00:10:02,537",ಸ್ಥಾನ ಬರುತ್ತದೆ ಆ ಮನೆಯೊಂದಿಗೆ
for you and your wife,"00:10:02,570 --> 00:10:04,038",ನಿಮಗಾಗಿ ಮತ್ತು ನಿಮ್ಮ ಹೆಂಡತಿಗಾಗಿ
"and your, is it two children?","00:10:04,072 --> 00:10:06,241","ಮತ್ತು ನಿಮ್ಮ, ಇದು ಇಬ್ಬರು ಮಕ್ಕಳೇ?"
"Yes, two.","00:10:06,274 --> 00:10:07,075","ಹೌದು, ಎರಡು."
I'm a great admirer of your work.,"00:10:07,108 --> 00:10:10,044",ನಾನು ಮಹಾನ್ ಅಭಿಮಾನಿ ನಿಮ್ಮ ಕೆಲಸದ ಬಗ್ಗೆ.
"And you're a physicist by training, Mr. Strauss?","00:10:10,078 --> 00:10:12,280","ಮತ್ತು ನೀವು ಭೌತಶಾಸ್ತ್ರಜ್ಞರು ತರಬೇತಿಯ ಮೂಲಕ, ಶ್ರೀ ಸ್ಟ್ರಾಸ್?"
"I'm sorry, uh, common room 4:00 tea.","00:10:12,313 --> 00:10:14,382","ನನ್ನನ್ನು ಕ್ಷಮಿಸಿ, ಉಹ್, ಸಾಮಾನ್ಯ ಕೊಠಡಿ 4:00 ಚಹಾ."
"No, I'm not trained in physics or anything else.","00:10:14,416 --> 00:10:17,185","ಇಲ್ಲ, ನಾನು ತರಬೇತಿ ಪಡೆದಿಲ್ಲ ಭೌತಶಾಸ್ತ್ರ ಅಥವಾ ಇನ್ನೇನಾದರೂ."
- I'm a self-made man. - Ah.,"00:10:17,218 --> 00:10:19,053",- ನಾನು ಸ್ವಯಂ ನಿರ್ಮಿತ ಮನುಷ್ಯ. - ಆಹ್.
- I can relate to that. - Really?,"00:10:19,087 --> 00:10:21,089",- ನಾನು ಅದಕ್ಕೆ ಸಂಬಂಧಿಸಬಲ್ಲೆ. - ನಿಜವಾಗಿಯೂ?
"Yes, my father was one.","00:10:21,122 --> 00:10:23,458","ಹೌದು, ನನ್ನ ತಂದೆ ಒಬ್ಬರು."
And this would be your office.,"00:10:23,491 --> 00:10:27,061",ಮತ್ತು ಇದು ನಿಮ್ಮ ಕಛೇರಿಯಾಗಿರುತ್ತದೆ.
I'm told he's there most afternoons.,"00:10:36,237 --> 00:10:38,173",ಅವನು ಅಲ್ಲಿದ್ದಾನೆ ಎಂದು ನನಗೆ ಹೇಳಲಾಗಿದೆ ಹೆಚ್ಚಿನ ಮಧ್ಯಾಹ್ನಗಳು.
"You know, I've always wondered","00:10:38,206 --> 00:10:40,308","ನಿಮಗೆ ಗೊತ್ತಾ, ನಾನು ಯಾವಾಗಲೂ ಆಶ್ಚರ್ಯ ಪಡುತ್ತೇನೆ"
why you didn't involve him in the Manhattan Project.,"00:10:40,341 --> 00:10:43,945",ನೀವು ಅವನನ್ನು ಏಕೆ ಒಳಗೊಳ್ಳಲಿಲ್ಲ ಮ್ಯಾನ್ಹ್ಯಾಟನ್ ಯೋಜನೆಯಲ್ಲಿ.
Greatest scientific mind of our time.,"00:10:44,712 --> 00:10:48,216",ಶ್ರೇಷ್ಠ ವೈಜ್ಞಾನಿಕ ನಮ್ಮ ಕಾಲದ ಮನಸ್ಸು.
Of his time.,"00:10:48,249 --> 00:10:50,118",ಅವನ ಕಾಲದ.
Einstein published his Theory of Relativity,"00:10:50,151 --> 00:10:52,187",ಐನ್‌ಸ್ಟೈನ್ ಅವರದನ್ನು ಪ್ರಕಟಿಸಿದರು ಸಾಪೇಕ್ಷತಾ ಸಿದ್ಧಾಂತ
more than 40 years ago now.,"00:10:52,220 --> 00:10:55,156",ಈಗ 40 ವರ್ಷಗಳ ಹಿಂದೆ.
But never embraced the quantum world it revealed.,"00:10:56,224 --> 00:10:58,660",ಆದರೆ ಎಂದಿಗೂ ಅಪ್ಪಿಕೊಂಡಿಲ್ಲ ಕ್ವಾಂಟಮ್ ಪ್ರಪಂಚವನ್ನು ಬಹಿರಂಗಪಡಿಸಿತು.
"""God doesn't play dice.""","00:10:58,693 --> 00:11:00,228","""ದೇವರು ದಾಳಗಳನ್ನು ಆಡುವುದಿಲ್ಲ."""
Precisely.,"00:11:00,261 --> 00:11:02,230",ನಿಖರವಾಗಿ.
"You never thought of studying physics formally, Mr. Strauss?","00:11:02,263 --> 00:11:05,066","ನೀವು ಎಂದಿಗೂ ಅಧ್ಯಯನ ಮಾಡಲು ಯೋಚಿಸಲಿಲ್ಲ ಭೌತಶಾಸ್ತ್ರ ಔಪಚಾರಿಕವಾಗಿ, ಶ್ರೀ ಸ್ಟ್ರಾಸ್?"
"Well, I had offers, but I chose to sell shoes.","00:11:05,099 --> 00:11:07,469","ಸರಿ, ನನಗೆ ಕೊಡುಗೆಗಳಿವೆ, ಆದರೆ ನಾನು ಶೂಗಳನ್ನು ಮಾರಾಟ ಮಾಡಲು ನಿರ್ಧರಿಸಿದೆ."
Lewis Strauss was once a lowly shoe salesman.,"00:11:07,502 --> 00:11:11,005",ಲೆವಿಸ್ ಸ್ಟ್ರಾಸ್ ಒಮ್ಮೆ ಕಡಿಮೆ ಶೂ ಮಾರಾಟಗಾರ.
"No, just a shoe salesman.","00:11:11,773 --> 00:11:13,675","ಇಲ್ಲ, ಕೇವಲ ಶೂ ಮಾರಾಟಗಾರ."
Huh.,"00:11:13,708 --> 00:11:15,977",ಹುಹ್.
- I'd love to introduce you. - No need.,"00:11:17,245 --> 00:11:20,014",- ನಾನು ನಿಮ್ಮನ್ನು ಪರಿಚಯಿಸಲು ಇಷ್ಟಪಡುತ್ತೇನೆ. - ಅಗತ್ಯವಿಲ್ಲ.
I have known him for years.,"00:11:21,115 --> 00:11:22,584",ನಾನು ಅವರನ್ನು ವರ್ಷಗಳಿಂದ ಬಲ್ಲೆ.
(soft music continues),"00:11:29,157 --> 00:11:31,559",(ಮೃದು ಸಂಗೀತ ಮುಂದುವರಿಯುತ್ತದೆ)
Albert.,"00:11:43,806 --> 00:11:45,507",ಆಲ್ಬರ್ಟ್.
What was that? What did you say to him?,"00:11:50,111 --> 00:11:54,315",ಅದು ಏನಾಗಿತ್ತು? ಏನು ನೀವು ಅವನಿಗೆ ಹೇಳಿದ್ದೀರಾ?
"Oh, he's fine.","00:11:56,451 --> 00:11:57,485","ಓಹ್, ಅವನು ಚೆನ್ನಾಗಿದ್ದೇನೆ."
"Mr. Strauss, there are things in my past","00:11:59,354 --> 00:12:02,657","ಶ್ರೀ ಸ್ಟ್ರಾಸ್, ಅಲ್ಲಿ ನನ್ನ ಹಿಂದಿನ ವಿಷಯಗಳಾಗಿವೆ"
you ought to be aware of.,"00:12:02,690 --> 00:12:04,192",ನೀವು ತಿಳಿದಿರಬೇಕು.
"Well, as chairman of the AEC,","00:12:04,225 --> 00:12:06,127","ಸರಿ, ಎಇಸಿ ಅಧ್ಯಕ್ಷರಾಗಿ,"
I have access to your security file.,"00:12:06,160 --> 00:12:07,629",ನನಗೆ ಪ್ರವೇಶವಿದೆ ನಿಮ್ಮ ಭದ್ರತಾ ಫೈಲ್.
I've read it.,"00:12:07,662 --> 00:12:08,663",ನಾನು ಅದನ್ನು ಓದಿದ್ದೇನೆ.
- You're not worried? - No.,"00:12:08,696 --> 00:12:10,265",- ನೀವು ಚಿಂತಿಸುತ್ತಿಲ್ಲವೇ? - ಇಲ್ಲ.
Why would I be worried after everything,"00:12:10,298 --> 00:12:11,675",ನಾನು ಯಾಕೆ ಚಿಂತೆ ಮಾಡುತ್ತೇನೆ ಎಲ್ಲಾ ನಂತರ
you've done for your country?,"00:12:11,699 --> 00:12:13,167",ನಿಮ್ಮ ದೇಶಕ್ಕಾಗಿ ನೀವು ಮಾಡಿದ್ದೀರಾ?
"Well, times change, Mr. Strauss.","00:12:13,201 --> 00:12:14,669","ಸರಿ, ಸಮಯ ಬದಲಾಗಿದೆ, ಮಿಸ್ಟರ್ ಸ್ಟ್ರಾಸ್."
"Well, the purpose of this institute","00:12:14,702 --> 00:12:16,538","ಸರಿ, ಉದ್ದೇಶ ಈ ಸಂಸ್ಥೆಯ"
is to provide a haven for independent minds.,"00:12:16,571 --> 00:12:19,240",ಒಂದು ಆಶ್ರಯವನ್ನು ಒದಗಿಸುವುದು ಸ್ವತಂತ್ರ ಮನಸ್ಸುಗಳಿಗೆ.
That's you. You are the man for the job.,"00:12:20,174 --> 00:12:23,177",ಅದು ನೀನು. ನೀವು ಕೆಲಸಕ್ಕಾಗಿ ಮನುಷ್ಯ.
"Well, then I'll consider it.","00:12:23,211 --> 00:12:25,814","ಸರಿ, ನಂತರ ನಾನು ಅದನ್ನು ಪರಿಗಣಿಸುತ್ತೇನೆ."
I'll see you at the AEC meeting tomorrow.,"00:12:25,848 --> 00:12:28,116",ನಾನು ನಿಮ್ಮನ್ನು ಅಲ್ಲಿ ನೋಡುತ್ತೇನೆ ನಾಳೆ ಎಇಸಿ ಸಭೆ.
(scoffs),"00:12:31,419 --> 00:12:32,487",(ಅಪಹಾಸ್ಯ)
This is one of the most prestigious,"00:12:32,520 --> 00:12:34,088",ಇದು ಒಂದು ಅತ್ಯಂತ ಪ್ರತಿಷ್ಠಿತ
appointments in the country.,"00:12:34,122 --> 00:12:35,858",ದೇಶದಲ್ಲಿ ನೇಮಕಾತಿಗಳು.
"Yes, with a great commute.","00:12:35,891 --> 00:12:38,092","ಹೌದು, ಉತ್ತಮ ಪ್ರಯಾಣದೊಂದಿಗೆ."
That's why I'm considering it.,"00:12:38,126 --> 00:12:40,428",ಅದಕ್ಕಾಗಿಯೇ ನಾನು ಅದನ್ನು ಪರಿಗಣಿಸುತ್ತಿದ್ದೇನೆ.
"SENATOR McGEE: <i>So, Dr. Oppenheimer brought</i>",,
<i>your attention to his past associations</i>,,
<i>before you appointed him?</i>,,
Yes.,"00:12:45,868 --> 00:12:47,302",ಹೌದು.
And it didn't concern you?,"00:12:47,335 --> 00:12:49,170",ಮತ್ತು ಇದು ನಿಮಗೆ ಸಂಬಂಧಿಸಿಲ್ಲವೇ?
"Just then, I was entirely consumed","00:12:49,203 --> 00:12:50,738","ಆಗಷ್ಟೇ, ನಾನಿದ್ದೆ ಸಂಪೂರ್ಣವಾಗಿ ಸೇವಿಸಲಾಗುತ್ತದೆ"
with what he must have said to Einstein to sour him on me.,"00:12:50,772 --> 00:12:54,542",ಅವನು ಏನು ಹೇಳಿರಬೇಕು ಎಂಬುದರೊಂದಿಗೆ ಐನ್‌ಸ್ಟೈನ್‌ಗೆ ನನ್ನ ಮೇಲೆ ಹುಳಿ.
(laughter),"00:12:54,576 --> 00:12:57,078",(ನಗು)
But later?,"00:12:58,146 --> 00:12:59,347",ಆದರೆ ನಂತರ?
"Well, we all know what happened later.","00:12:59,380 --> 00:13:01,316","ಸರಿ, ನಮಗೆಲ್ಲರಿಗೂ ತಿಳಿದಿದೆ ನಂತರ ಏನಾಯಿತು."
"ROBB: Doctor, your, uh... your time in Europe,","00:13:01,349 --> 00:13:03,718","ರಾಬ್: ಡಾಕ್ಟರ್, ನಿಮ್ಮ, ಉಹ್... ಯುರೋಪಿನಲ್ಲಿ ನಿಮ್ಮ ಸಮಯ,"
you seemed to meet with a wide range,"00:13:03,751 --> 00:13:05,320",ನೀವು ಭೇಟಿಯಾದಂತೆ ತೋರುತ್ತಿದೆ ವ್ಯಾಪಕ ಶ್ರೇಣಿಯೊಂದಿಗೆ
of other countries' physicists.,"00:13:05,353 --> 00:13:06,788",ಇತರ ದೇಶಗಳ ಭೌತಶಾಸ್ತ್ರಜ್ಞರು.
"Yes, that's right.","00:13:06,822 --> 00:13:07,823",ಹೌದು ಅದು ಸರಿ.
Any Russians?,"00:13:07,856 --> 00:13:10,124",ಯಾವುದೇ ರಷ್ಯನ್ನರು?
None that spring to mind.,"00:13:11,192 --> 00:13:12,627",ಯಾವುದೂ ನೆನಪಿಗೆ ಬರುವುದಿಲ್ಲ.
If you'll just allow me to continue with my statement...,"00:13:12,660 --> 00:13:15,563",ನೀವು ನನಗೆ ಅವಕಾಶ ನೀಡಿದರೆ ನನ್ನ ಹೇಳಿಕೆಯನ್ನು ಮುಂದುವರಿಸಿ...
"Mr. Robb, you'll have ample opportunity to cross-examine.","00:13:15,597 --> 00:13:18,566","ಮಿ. ರಾಬ್, ನಿಮಗೆ ಸಾಕಷ್ಟು ಇರುತ್ತದೆ ಅಡ್ಡ ಪರೀಕ್ಷೆಗೆ ಅವಕಾಶ."
"ROBERT: After Göttingen, I moved on to Leiden in Holland","00:13:20,803 --> 00:13:23,738","ರಾಬರ್ಟ್: ಗೊಟ್ಟಿಂಗನ್ ನಂತರ, I ಹಾಲೆಂಡ್‌ನ ಲೈಡೆನ್‌ಗೆ ತೆರಳಿದರು"
<i>where I first met Isidor Rabi.</i>,,
(clears throat) Excuse me.,"00:13:26,842 --> 00:13:29,344",(ಗಂಟಲು ತೆರವುಗೊಳಿಸುತ್ತದೆ) ನನ್ನನ್ನು ಕ್ಷಮಿಸಿ.
(grunts),"00:13:29,377 --> 00:13:30,478",(ಗೊಣಗುವುದು)
(sighs),"00:13:32,380 --> 00:13:33,247",(ನಿಟ್ಟುಸಿರು)
"A Yank, lecturing on the new physics?","00:13:33,281 --> 00:13:35,617","ಎ ಯಾಂಕ್, ಉಪನ್ಯಾಸ ಹೊಸ ಭೌತಶಾಸ್ತ್ರದ ಮೇಲೆ?"
This I have to hear.,"00:13:35,650 --> 00:13:36,718",ಇದು ನಾನು ಕೇಳಲೇಬೇಕು.
I'm an American myself.,"00:13:36,751 --> 00:13:38,786",ನಾನು ಸ್ವತಃ ಅಮೇರಿಕನ್.
How surprising.,"00:13:38,821 --> 00:13:40,321",ಎಷ್ಟು ಆಶ್ಚರ್ಯಕರ.
Um...,"00:13:40,355 --> 00:13:41,422",ಉಮ್...
Let me know if you need any help with the English.,"00:13:41,456 --> 00:13:43,725",ನಿಮಗೆ ಬೇಕಾದರೆ ನನಗೆ ತಿಳಿಸಿ ಇಂಗ್ಲಿಷ್ನೊಂದಿಗೆ ಯಾವುದೇ ಸಹಾಯ.
(scattered laughter),"00:13:45,259 --> 00:13:48,162",(ಚದುರಿದ ನಗು)
(speaking Dutch),"00:13:50,732 --> 00:13:53,401",(ಡಚ್ ಮಾತನಾಡುವ)
"Wait, what's he saying?","00:13:57,705 --> 00:13:59,674","ನಿರೀಕ್ಷಿಸಿ, ಅವನು ಏನು ಹೇಳುತ್ತಿದ್ದಾನೆ?"
(door opens),"00:14:02,777 --> 00:14:05,279",(ಬಾಗಿಲು ತೆರೆಯುತ್ತದೆ)
(Rabi grunts),"00:14:07,850 --> 00:14:09,283",(ರಬಿ ಗುನುಗುತ್ತಾನೆ)
"No, thank you.","00:14:10,218 --> 00:14:11,252","ಇಲ್ಲ, ಧನ್ಯವಾದಗಳು."
It's a long way to Zurich.,"00:14:11,285 --> 00:14:13,254",ಇದು ಜ್ಯೂರಿಚ್‌ಗೆ ಬಹಳ ದೂರವಿದೆ.
"You get any skinnier, we're gonna lose you","00:14:13,287 --> 00:14:14,927","ನೀವು ಯಾವುದೇ ಸ್ಕಿನ್ನರ್ ಪಡೆಯುತ್ತೀರಿ, ನಾವು ನಿನ್ನನ್ನು ಕಳೆದುಕೊಳ್ಳುತ್ತೇವೆ"
between the seat cushions.,"00:14:14,957 --> 00:14:16,791",ಸೀಟ್ ಮೆತ್ತೆಗಳ ನಡುವೆ.
I'm Rabi.,"00:14:16,825 --> 00:14:17,860",ನಾನು ರಬಿ.
Oppenheimer.,"00:14:17,893 --> 00:14:19,260",ಓಪನ್ಹೈಮರ್.
I caught your lecture on molecules.,"00:14:19,293 --> 00:14:21,329",ನಾನು ನಿನ್ನನ್ನು ಹಿಡಿದೆ ಅಣುಗಳ ಕುರಿತು ಉಪನ್ಯಾಸ.
Caught some of it.,"00:14:21,362 --> 00:14:22,497",ಅದರಲ್ಲಿ ಒಂದಿಷ್ಟು ಸಿಕ್ಕಿತು.
We're a couple of New York Jews. How do you know Dutch?,"00:14:23,631 --> 00:14:25,800",ನಾವು ನ್ಯೂಯಾರ್ಕ್‌ನ ದಂಪತಿಗಳು ಯಹೂದಿಗಳು. ನಿಮಗೆ ಡಚ್ ಹೇಗೆ ಗೊತ್ತು?
"Well, I thought I'd better learn it","00:14:25,834 --> 00:14:27,402","ಸರಿ, ನಾನು ಯೋಚಿಸಿದೆ ನಾನು ಅದನ್ನು ಕಲಿಯುವುದು ಉತ್ತಮ"
when I got here this semester.,"00:14:27,435 --> 00:14:28,612",ನಾನು ಈ ಸೆಮಿಸ್ಟರ್‌ಗೆ ಬಂದಾಗ.
You learned enough Dutch in six weeks,"00:14:28,636 --> 00:14:30,238",ನೀನು ಕಲಿತಿದ್ದು ಸಾಕು ಆರು ವಾರಗಳಲ್ಲಿ ಡಚ್
to give a lecture on quantum mechanics?,"00:14:30,271 --> 00:14:31,974",ಕುರಿತು ಉಪನ್ಯಾಸ ನೀಡಲು ಕ್ವಾಂಟಮ್ ಮೆಕ್ಯಾನಿಕ್ಸ್?
Wanted to challenge myself.,"00:14:32,007 --> 00:14:33,508",ನನಗೆ ನಾನೇ ಸವಾಲು ಹಾಕಲು ಬಯಸಿದ್ದೆ.
Quantum physics wasn't challenging enough.,"00:14:33,541 --> 00:14:35,911",ಕ್ವಾಂಟಮ್ ಭೌತಶಾಸ್ತ್ರ ಇರಲಿಲ್ಲ ಸಾಕಷ್ಟು ಸವಾಲು.
<i>- Schvitzer. - Schvitzer?</i>,,
- Show-off. - (chuckles),"00:14:37,712 --> 00:14:39,614",- ತೋರಪಡಿಸುವಿಕೆ. - (ಮುಗುಳ್ನಕ್ಕು)
"Dutch in six weeks, but you never learned Yiddish?","00:14:39,647 --> 00:14:41,492","ಆರು ವಾರಗಳಲ್ಲಿ ಡಚ್, ಆದರೆ ನೀವು ಯಿಡ್ಡಿಷ್ ಕಲಿಯಲಿಲ್ಲವೇ?"
They don't speak it so much my side of the park.,"00:14:41,516 --> 00:14:43,584",ಅವರು ಹಾಗೆ ಮಾತನಾಡುವುದಿಲ್ಲ ಉದ್ಯಾನದ ನನ್ನ ಬದಿಯಲ್ಲಿ ಹೆಚ್ಚು.
Screw you.,"00:14:43,618 --> 00:14:44,686",ಸ್ಕ್ರೂ ಯು.
You homesick?,"00:14:45,787 --> 00:14:47,288",ನೀವು ಮನೆಮಾತಾಗಿದ್ದೀರಾ?
"Oh, you know it.","00:14:47,321 --> 00:14:48,723","ಓಹ್, ನಿನಗೆ ಗೊತ್ತು."
Ever get the feeling our kind isn't entirely welcome here?,"00:14:49,691 --> 00:14:52,694",ಎಂದಾದರೂ ನಮ್ಮ ರೀತಿಯ ಭಾವನೆಯನ್ನು ಪಡೆಯಿರಿ ಇಲ್ಲಿ ಸಂಪೂರ್ಣವಾಗಿ ಸ್ವಾಗತಾರ್ಹವಲ್ಲವೇ?
Physicists?,"00:14:52,727 --> 00:14:53,795",ಭೌತವಿಜ್ಞಾನಿಗಳು?
'S funny.,"00:14:53,829 --> 00:14:55,329",ತಮಾಷೆ.
Not in the department.,"00:14:55,363 --> 00:14:57,432",ಇಲಾಖೆಯಲ್ಲಿ ಇಲ್ಲ.
They're all Jewish too.,"00:14:57,465 --> 00:14:58,766",ಅವರೆಲ್ಲರೂ ಕೂಡ ಯಹೂದಿಗಳು.
Eat.,"00:15:00,869 --> 00:15:02,270",ತಿನ್ನು.
There's a German you have to seek out.,"00:15:04,572 --> 00:15:06,708",ನೀನೊಬ್ಬ ಜರ್ಮನ್ ಹುಡುಕಬೇಕು.
- Heisenberg. - Right.,"00:15:07,742 --> 00:15:10,278",- ಹೈಸೆನ್‌ಬರ್ಗ್. - ಸರಿ.
(Heisenberg speaking German),"00:15:12,346 --> 00:15:14,682",(ಹೈಸೆನ್‌ಬರ್ಗ್ ಜರ್ಮನ್ ಮಾತನಾಡುತ್ತಾರೆ)
One might be led to the presumption,"00:15:19,454 --> 00:15:20,956",ಒಬ್ಬರು ಮುನ್ನಡೆಸಬಹುದು ಊಹೆಗೆ
"that behind the quantum world,","00:15:20,989 --> 00:15:23,458","ಕ್ವಾಂಟಮ್ ಪ್ರಪಂಚದ ಹಿಂದೆ,"
"there still hides a real world in which causality holds,","00:15:23,491 --> 00:15:27,361","ಇನ್ನೂ ಒಂದು ನೈಜ ಪ್ರಪಂಚವನ್ನು ಮರೆಮಾಡುತ್ತದೆ ಇದರಲ್ಲಿ ಕಾರಣತ್ವವು ಇರುತ್ತದೆ,"
"but such speculation seem to us,","00:15:27,395 --> 00:15:29,597","ಆದರೆ ಅಂತಹ ಊಹಾಪೋಹಗಳು ನಮಗೆ ತೋರುತ್ತದೆ,"
"to say it explicitly, fruitless. Thank you.","00:15:29,630 --> 00:15:32,366","ಅದನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಹೇಳಲು, ಫಲವಿಲ್ಲದ. ಧನ್ಯವಾದ."
Have a great day.,"00:15:32,400 --> 00:15:33,836",ಶುಭ ದಿನ.
- Wonderful. - Thank you.,"00:15:39,041 --> 00:15:40,742",- ಅದ್ಭುತ. - ಧನ್ಯವಾದ.
"Oppenheimer, yes.","00:15:42,044 --> 00:15:43,979","ಓಪನ್‌ಹೈಮರ್, ಹೌದು."
I liked your paper on molecules.,"00:15:44,012 --> 00:15:45,881",ಅಣುಗಳ ಕುರಿತ ನಿಮ್ಮ ಕಾಗದ ನನಗೆ ಇಷ್ಟವಾಯಿತು.
Probably because you inspired it.,"00:15:45,914 --> 00:15:47,415",ಬಹುಶಃ ಕಾರಣ ನೀವು ಅದನ್ನು ಪ್ರೇರೇಪಿಸಿದ್ದೀರಿ.
"If I inspire anything else, let me know.","00:15:47,448 --> 00:15:48,960","ನಾನು ಏನನ್ನಾದರೂ ಪ್ರೇರೇಪಿಸಿದರೆ ಇಲ್ಲದಿದ್ದರೆ, ನನಗೆ ತಿಳಿಸಿ."
We could publish together.,"00:15:48,984 --> 00:15:50,024",ನಾವು ಒಟ್ಟಿಗೆ ಪ್ರಕಟಿಸಬಹುದು.
I have to get back to America.,"00:15:50,052 --> 00:15:51,887",ನಾನು ಮತ್ತೆ ಅಮೆರಿಕಕ್ಕೆ ಹೋಗಬೇಕು.
Why? There's no one there,"00:15:51,920 --> 00:15:53,654",ಏಕೆ? ಅಲ್ಲಿ ಯಾರೂ ಇಲ್ಲ
taking quantum mechanics seriously.,"00:15:53,688 --> 00:15:55,891",ಕ್ವಾಂಟಮ್ ತೆಗೆದುಕೊಳ್ಳುವುದು ಯಂತ್ರಶಾಸ್ತ್ರ ಗಂಭೀರವಾಗಿ.
- That's exactly why. - (sighs),"00:15:55,924 --> 00:15:57,525",- ಅದಕ್ಕಾಗಿಯೇ ನಿಖರವಾಗಿ. - (ನಿಟ್ಟುಸಿರು)
He's pining for the canyons of Manhattan.,"00:15:57,558 --> 00:15:59,995",ಅವರು pining ವಿಶೇಷವೇನು ಮ್ಯಾನ್ಹ್ಯಾಟನ್ನ ಕಣಿವೆಗಳು.
ROBERT: Canyons of New Mexico.,"00:16:00,028 --> 00:16:02,463",ರಾಬರ್ಟ್: ನ್ಯೂ ಮೆಕ್ಸಿಕೋದ ಕಣಿವೆಗಳು.
- You're from New Mexico? - No.,"00:16:02,497 --> 00:16:03,640",- ನೀವು ನ್ಯೂ ಮೆಕ್ಸಿಕೋದಿಂದ ಬಂದಿದ್ದೀರಾ? - ಇಲ್ಲ.
"New York, but my brother and I have a ranch","00:16:03,664 --> 00:16:05,767","ನ್ಯೂಯಾರ್ಕ್, ಆದರೆ ನನ್ನ ಸಹೋದರ ಮತ್ತು ನನ್ನ ಬಳಿ ಜಾನುವಾರು ಇದೆ"
outside Santa Fe. (inhales),"00:16:05,800 --> 00:16:07,903",ಸಾಂಟಾ ಫೆ ಹೊರಗೆ. (ಇನ್ಹೇಲ್ಸ್)
That's the America I miss right now.,"00:16:07,936 --> 00:16:10,304",ಅದು ಅಮೆರಿಕ ನಾನು ಇದೀಗ ತಪ್ಪಿಸಿಕೊಳ್ಳುತ್ತೇನೆ.
"Then it's best you get home, cowboys.","00:16:10,338 --> 00:16:12,406","ನಂತರ ಅದು ನಿಮಗೆ ಉತ್ತಮವಾಗಿದೆ ಮನೆಗೆ ಹೋಗು, ಕೌಬಾಯ್ಸ್."
- (Robert chuckles) - (chuckles) That's him.,"00:16:12,440 --> 00:16:14,052",- (ರಾಬರ್ಟ್ ನಗುತ್ತಾನೆ) - (ನಕ್ಕು) ಅದು ಅವನೇ.
"No, me and horses. I don't think so.","00:16:14,076 --> 00:16:17,512","ಇಲ್ಲ, ನಾನು ಮತ್ತು ಕುದುರೆಗಳು. ನಾನು ಹಾಗೆ ಯೋಚಿಸುವುದಿಲ್ಲ."
- (Rabi chuckles) - Nice to meet you.,"00:16:17,545 --> 00:16:19,680",- (ರಾಬಿ ಮುಗುಳ್ನಕ್ಕು) - ನಿಮ್ಮನ್ನು ಭೇಟಿಯಾಗಲು ಸಂತೋಷವಾಗಿದೆ.
Did you ever encounter Heisenberg again?,"00:16:21,415 --> 00:16:23,551",ನೀವು ಎಂದಾದರೂ ಎದುರಿಸಿದ್ದೀರಾ ಮತ್ತೆ ಹೈಸೆನ್‌ಬರ್ಗ್?
